"species","lon","lat","countryCode","gbifID"
"Hebe odora",171.55812,-42.90929,"NZ",1065609365
"Hebe odora",170.00733,-45.4809,"NZ",1038301639
"Hebe odora",170.4661,-45.83221,"NZ",1038303364
"Hebe odora",171.01954,-43.55825,"NZ",1038302531
"Hebe odora",171.71192,-43.15093,"NZ",1038304006
"Hebe odora",173.0117,-34.20398,"NZ",1088937046
"Hebe odora",170.49046,-45.85635,"NZ",175989316
"Hebe odora",175.52986,-39.20585,"NZ",1088903576
"Hebe odora",172.77361,-42,"NZ",574760043
"Hebe odora",172.76444,-42.43917,"NZ",575360139
"Hebe odora",167.145,-45.6021,"NZ",1091202440
"Hebe odora",172.3349,-42.95254,"NZ",90827056
"Hebe odora",171.92563,-42.25676,"NZ",90827349
"Hebe odora",171.90124,-42.25438,"NZ",90827300
"Hebe odora",172.09077,-42.73182,"NZ",90826192
"Hebe odora",172.08963,-42.73018,"NZ",90826108
"Hebe odora",167.91678,-45.6256,"NZ",90826112
"Hebe odora",167.919,-45.62731,"NZ",90826117
"Hebe odora",167.96732,-45.60497,"NZ",90826146
"Hebe odora",172.0855,-42.76559,"NZ",90826180
"Hebe odora",167.96854,-45.60418,"NZ",90826178
"Hebe odora",172.24655,-42.68728,"NZ",90825972
"Hebe odora",172.08549,-42.76477,"NZ",90826193
"Hebe odora",168.51642,-44.04988,"NZ",90826621
"Hebe odora",169.65316,-43.74476,"NZ",90825946
"Hebe odora",168.47168,-44.03225,"NZ",90827247
"Hebe odora",172.23143,-41.28378,"NZ",90826887
"Hebe odora",169.52849,-43.73856,"NZ",90825979
"Hebe odora",168.52299,-44.00973,"NZ",90826672
"Hebe odora",169.90354,-43.54937,"NZ",90827048
"Hebe odora",168.51072,-44.04973,"NZ",90826604
"Hebe odora",169.40676,-43.77919,"NZ",90826820
"Hebe odora",168.48872,-44.03352,"NZ",90827312
"Hebe odora",168.49399,-44.04189,"NZ",90826101
"Hebe odora",168.49709,-44.04855,"NZ",90826563
"Hebe odora",168.51879,-44.02525,"NZ",90827016
"Hebe odora",169.53808,-43.72309,"NZ",90826575
"Hebe odora",169.43026,-43.75657,"NZ",90826986
"Hebe odora",168.47209,-44.02403,"NZ",90826860
"Hebe odora",168.48246,-44.06709,"NZ",90827263
"Hebe odora",168.48835,-44.04092,"NZ",90825995
"Hebe odora",169.46084,-43.75877,"NZ",90826223
"Hebe odora",168.50502,-44.04959,"NZ",90826585
"Hebe odora",168.46639,-44.02388,"NZ",90826855
"Hebe odora",168.47779,-44.02418,"NZ",90826890
"Hebe odora",168.48348,-44.02433,"NZ",90826917
"Hebe odora",168.49488,-44.02463,"NZ",90826936
"Hebe odora",168.49974,-44.04121,"NZ",90826125
"Hebe odora",169.57055,-43.77219,"NZ",90826272
"Hebe odora",168.50543,-44.04137,"NZ",90826143
"Hebe odora",168.48307,-44.03255,"NZ",90827293
"Hebe odora",168.44007,-44.04786,"NZ",90827431
"Hebe odora",168.38755,-44.0053,"NZ",90826183
"Hebe odora",168.40903,-44.03057,"NZ",90826945
"Hebe odora",168.40575,-44.00579,"NZ",90826200
"Hebe odora",168.42611,-44.03103,"NZ",90826970
"Hebe odora",168.42085,-44.02266,"NZ",90826613
"Hebe odora",168.41515,-44.02251,"NZ",90826583
"Hebe odora",168.45982,-44.04099,"NZ",90825919
"Hebe odora",168.40376,-44.02219,"NZ",90826588
"Hebe odora",168.40945,-44.02235,"NZ",90826578
"Hebe odora",168.39992,-44.03032,"NZ",90826911
"Hebe odora",168.45573,-44.12069,"NZ",90826495
"Hebe odora",168.46461,-44.14808,"NZ",90826674
"Hebe odora",168.46135,-44.12249,"NZ",90826529
"Hebe odora",168.91819,-43.99384,"NZ",90826510
"Hebe odora",174.98699,-41.37071,"NZ",90826430
"Hebe odora",172.02532,-43.17826,"NZ",90826332
"Hebe odora",170.95391,-43.00942,"NZ",90826096
"Hebe odora",175.33031,-41.54679,"NZ",90827248
"Hebe odora",175.34012,-41.56409,"NZ",90827229
"Hebe odora",171.8843,-42.9286,"NZ",90826954
"Hebe odora",175.34014,-41.55586,"NZ",90827239
"Hebe odora",171.85014,-42.82993,"NZ",90826137
"Hebe odora",171.8479,-42.8283,"NZ",90826176
"Hebe odora",175.48502,-40.74002,"NZ",90826459
"Hebe odora",175.49801,-40.72602,"NZ",90826946
"Hebe odora",169.14514,-43.7601,"NZ",90825939
"Hebe odora",175.72,-39.23,"NZ",995702305
"Hebe odora",175.7,-39.1,"NZ",153575079
"Hebe odora",171.75,-43.2667,"NZ",993302892
"Hebe odora",171.75,-43.26,"NZ",38369698
"Hebe odora",169.07819,-46.35419,"NZ",175990729
"Hebe odora",173.83742,-42.1753,"NZ",90826303
"Hebe odora",172.86297,-41.88889,"NZ",90825977
"Hebe odora",172.89765,-41.91318,"NZ",90827385
"Hebe odora",172.01743,-42.90832,"NZ",90826181
"Hebe odora",171.9982,-42.88371,"NZ",90826431
"Hebe odora",176.05901,-39.17477,"NZ",90826646
"Hebe odora",176.07102,-39.21051,"NZ",90826852
"Hebe odora",176.01506,-39.09662,"NZ",90827417
"Hebe odora",176.02621,-39.11345,"NZ",90827452
"Hebe odora",176.0742,-39.15183,"NZ",90826624
"Hebe odora",176.05386,-39.18933,"NZ",90826851
"Hebe odora",176.02325,-39.12525,"NZ",90825935
"Hebe odora",175.98893,-39.13426,"NZ",90826091
"Hebe odora",176.01853,-39.09652,"NZ",90827394
"Hebe odora",176.02445,-39.12612,"NZ",90825934
"Hebe odora",176.02315,-39.0964,"NZ",90827334
"Hebe odora",176.01737,-39.09656,"NZ",90827367
"Hebe odora",176.02084,-39.09646,"NZ",90827399
"Hebe odora",176.06978,-39.20874,"NZ",90826926
"Hebe odora",175.97298,-39.19417,"NZ",90826232
"Hebe odora",176.01156,-39.14899,"NZ",90826471
"Hebe odora",176.07651,-39.15177,"NZ",90826597
"Hebe odora",176.05394,-39.19113,"NZ",90826904
"Hebe odora",176.06957,-39.15195,"NZ",90826639
"Hebe odora",176.05382,-39.18843,"NZ",90826919
"Hebe odora",176.04163,-39.12205,"NZ",90827401
"Hebe odora",176.07189,-39.15189,"NZ",90826602
"Hebe odora",167.21976,-45.99978,"NZ",90825897
"Hebe odora",167.122,-45.90721,"NZ",90827454
"Hebe odora",175.81796,-39.2558,"NZ",90826572
