"species","lon","lat","countryCode","gbifID"
"Hectorella caespitosa",171.53997,-42.9436,"NZ",1065588368
"Hectorella caespitosa",169.45278,-44.07229,"NZ",1088930711
"Hectorella caespitosa",168.44786,-45.29886,"NZ",1065606052
"Hectorella caespitosa",169.20937,-45.3408,"NZ",1065607577
"Hectorella caespitosa",168.85609,-45.12138,"NZ",1132410519
"Hectorella caespitosa",168.85403,-45.11987,"NZ",1038319595
"Hectorella caespitosa",169.71966,-43.95946,"NZ",1038320457
"Hectorella caespitosa",169.20214,-45.31745,"NZ",1052605895
"Hectorella caespitosa",169.21143,-44.84897,"NZ",1065605696
"Hectorella caespitosa",169.19169,-45.38979,"NZ",1065609923
"Hectorella caespitosa",169.21769,-44.85357,"NZ",1065607899
"Hectorella caespitosa",168.76545,-44.54106,"NZ",1088927220
"Hectorella caespitosa",168.81763,-45.06255,"NZ",1038307220
"Hectorella caespitosa",169.12,-44.87,"NZ",912301049
"Hectorella caespitosa",167.446,-45.0568,"NZ",1091223921
"Hectorella caespitosa",167.4,-45.7454,"NZ",1091303587
"Hectorella caespitosa",169.197,-44.8671,"NZ",1091119998
"Hectorella caespitosa",169.329,-45.0641,"NZ",1091296104
"Hectorella caespitosa",168.537,-44.7084,"NZ",1091222696
"Hectorella caespitosa",170.581,-43.2113,"NZ",1091282180
"Hectorella caespitosa",171.585,-42.9041,"NZ",1091202174
"Hectorella caespitosa",171.588,-42.9113,"NZ",1091221550
"Hectorella caespitosa",169.212,-45.3415,"NZ",1091256947
"Hectorella caespitosa",171.01655,-43.03193,"NZ",90838986
"Hectorella caespitosa",169.099,-45.5756,"NZ",1091135554
"Hectorella caespitosa",169.08333,-44.01667,"NZ",317865194
"Hectorella caespitosa",170.584,-43.3206,"NZ",1091125723
"Hectorella caespitosa",167.414,-45.7416,"NZ",1091246959
"Hectorella caespitosa",167.239,-45.4534,"NZ",1091270820
"Hectorella caespitosa",167.23,-45.4613,"NZ",1091280741
"Hectorella caespitosa",170.928,-43.5063,"NZ",1091322102
"Hectorella caespitosa",168.463,-45.3454,"NZ",1091254131
"Hectorella caespitosa",170.115,-43.6958,"NZ",1091132724
"Hectorella caespitosa",167.989,-44.758,"NZ",1091204149
"Hectorella caespitosa",169.885,-43.5817,"NZ",1091313289
"Hectorella caespitosa",170.069,-45.4252,"NZ",1091253166
"Hectorella caespitosa",170.016,-43.6932,"NZ",1091226865
"Hectorella caespitosa",170.050604994875,-43.6984593202532,"NZ",994595744
"Hectorella caespitosa",169.196,-44.8761,"NZ",1091259595
"Hectorella caespitosa",167.413,-45.7506,"NZ",1091106216
"Hectorella caespitosa",168.236,-44.6873,"NZ",1091195089
"Hectorella caespitosa",168.75,-44.9057,"NZ",1091296892
"Hectorella caespitosa",171.586,-42.8951,"NZ",1091295168
"Hectorella caespitosa",169.21,-44.8495,"NZ",1091307680
"Hectorella caespitosa",168.536,-45.5861,"NZ",1091205206
"Hectorella caespitosa",171.535,-42.9484,"NZ",1091250134
"Hectorella caespitosa",168.909,-44.2626,"NZ",1091264980
"Hectorella caespitosa",170.064,-43.7215,"NZ",1091130841
"Hectorella caespitosa",169.793,-43.9124,"NZ",1091247436
"Hectorella caespitosa",170.912,-43.2629,"NZ",1091184486
"Hectorella caespitosa",171.5,-43.5,"NZ",994117268
"Hectorella caespitosa",171.548,-42.9486,"NZ",1091327458
"Hectorella caespitosa",171.525,-42.8853,"NZ",1091134645
"Hectorella caespitosa",170.103,-43.4343,"NZ",1091181411
"Hectorella caespitosa",171.818,-42.8698,"NZ",1091134628
"Hectorella caespitosa",169.218,-45.3272,"NZ",1091204160
"Hectorella caespitosa",170.081,-45.4149,"NZ",1091200391
"Hectorella caespitosa",167.96,-44.946,"NZ",1091276251
"Hectorella caespitosa",169.212,-45.4081,"NZ",1091109085
"Hectorella caespitosa",168.006,-44.6517,"NZ",1091096745
"Hectorella caespitosa",171.412,-42.9918,"NZ",1091140696
"Hectorella caespitosa",170.142,-43.6424,"NZ",1091163843
"Hectorella caespitosa",170.063,-43.7395,"NZ",1091235158
"Hectorella caespitosa",169.927,-43.7269,"NZ",1091167258
"Hectorella caespitosa",171.598,-42.9132,"NZ",1091290479
"Hectorella caespitosa",167.961,-44.9371,"NZ",1091197363
"Hectorella caespitosa",168.358,-45.3683,"NZ",1091126263
