"species","lon","lat","countryCode","gbifID"
"Heteromeles arbutifolia",-121.5304,37.19899,"US",1065591812
"Heteromeles arbutifolia",-118.42379,33.96944,"US",1065595514
"Heteromeles arbutifolia",-120.07577,34.52067,"US",1052605667
"Heteromeles arbutifolia",-122.5284,37.92255,"US",1065596076
"Heteromeles arbutifolia",-121.77922,36.91466,"US",1065591700
"Heteromeles arbutifolia",-117.21715,32.89163,"US",1065596307
"Heteromeles arbutifolia",-122.22399,37.37189,"US",1065591572
"Heteromeles arbutifolia",-118.2268,34.07101,"US",1065591784
"Heteromeles arbutifolia",-118.10032,34.1716,"US",1065609334
"Heteromeles arbutifolia",-118.085,34.16224,"US",1065612177
"Heteromeles arbutifolia",-116.87754,32.60907,"US",1135207077
"Heteromeles arbutifolia",-118.09835,34.18252,"US",1135345372
"Heteromeles arbutifolia",-122.46055,37.80452,"US",1065611982
"Heteromeles arbutifolia",-118.09723,34.17907,"US",1088900131
"Heteromeles arbutifolia",-122.53258,37.91917,"US",1065602731
"Heteromeles arbutifolia",-122.09083,37.43541,"US",1135207096
"Heteromeles arbutifolia",-122.4196,37.70911,"US",1135207071
"Heteromeles arbutifolia",-117.04333,32.83954,"US",1088900863
"Heteromeles arbutifolia",-116.84391,32.59594,"US",1135207081
"Heteromeles arbutifolia",-119.68405,34.0192,"US",1088902464
"Heteromeles arbutifolia",-122.494,37.91802,"US",1135207080
"Heteromeles arbutifolia",-118.09715,34.18383,"US",1065612940
"Heteromeles arbutifolia",-118.09712,34.17707,"US",1088935617
"Heteromeles arbutifolia",-118.09728,34.17579,"US",1088940080
"Heteromeles arbutifolia",-123.09798,38.6951,"US",1088926488
"Heteromeles arbutifolia",-122.49285,38.37103,"US",1088909944
"Heteromeles arbutifolia",-118.16706,34.13459,"US",1135345735
"Heteromeles arbutifolia",-118.19564,34.09656,"US",1135345627
"Heteromeles arbutifolia",-118.09844,34.18447,"US",1132401066
"Heteromeles arbutifolia",-117.12089,32.80005,"US",1088914179
"Heteromeles arbutifolia",-122.28798,37.45904,"US",1088910755
"Heteromeles arbutifolia",-122.46477,37.76902,"US",1088911892
"Heteromeles arbutifolia",-117.95112,33.90058,"US",1088953025
"Heteromeles arbutifolia",-118.09745,34.18025,"US",1132401187
"Heteromeles arbutifolia",-122.46749,37.79615,"US",1088961739
"Heteromeles arbutifolia",-118.21003,34.12631,"US",1088960988
"Heteromeles arbutifolia",-118.21034,34.12603,"US",1088960929
"Heteromeles arbutifolia",-117.93046,33.97636,"US",1088948264
"Heteromeles arbutifolia",-121.90077,37.88845,"US",1088946368
"Heteromeles arbutifolia",-117.98016,33.96863,"US",1135207232
"Heteromeles arbutifolia",-118.21038,34.12614,"US",1135207238
"Heteromeles arbutifolia",-117.97331,33.97487,"US",1088943188
"Heteromeles arbutifolia",-122.3188,37.59068,"US",1088963321
"Heteromeles arbutifolia",-117.85135,34.05552,"US",1135345810
"Heteromeles arbutifolia",-117.93615,33.9698,"US",1088946417
"Heteromeles arbutifolia",-117.96017,33.97219,"US",1088943245
"Heteromeles arbutifolia",-122.32141,37.58985,"US",1088958056
"Heteromeles arbutifolia",-118.21003,34.12577,"US",1088960993
"Heteromeles arbutifolia",-118.94224,34.10505,"US",1088951174
"Heteromeles arbutifolia",-117.9232,33.97263,"US",1088956058
"Heteromeles arbutifolia",-117.90094,34.04377,"US",1088957595
"Heteromeles arbutifolia",-117.92658,33.9628,"US",1088944693
"Heteromeles arbutifolia",-117.60218,33.83683,"US",1088951950
"Heteromeles arbutifolia",-122.68866,38.56776,"US",1135207215
"Heteromeles arbutifolia",-117.21148,33.34051,"US",1088958524
"Heteromeles arbutifolia",-118.21049,34.12677,"US",1088960964
"Heteromeles arbutifolia",-117.99831,33.9669,"US",1088938073
"Heteromeles arbutifolia",-122.55331,39.28644,"US",1135207201
"Heteromeles arbutifolia",-122.4752,37.79587,"US",1088971641
"Heteromeles arbutifolia",-118.36529,33.75454,"US",1135346422
"Heteromeles arbutifolia",-118.00195,33.99479,"US",1088974812
"Heteromeles arbutifolia",-118.05379,34.00375,"US",1132401768
"Heteromeles arbutifolia",-122.13762,37.34882,"US",1092888689
"Heteromeles arbutifolia",-117.8663,33.97146,"US",1088964504
"Heteromeles arbutifolia",-118.11824,34.12587,"US",1135346309
"Heteromeles arbutifolia",-118.01692,34.19718,"US",1135346807
"Heteromeles arbutifolia",-118.09198,33.74956,"US",1088976582
"Heteromeles arbutifolia",-118.01291,33.99401,"US",1088978828
"Heteromeles arbutifolia",-118.02165,33.99015,"US",1092902490
"Heteromeles arbutifolia",-118.02296,33.98898,"US",1092902498
"Heteromeles arbutifolia",-122.38774,37.67661,"US",1135207272
"Heteromeles arbutifolia",-118.01788,34.17716,"US",1135346227
"Heteromeles arbutifolia",-117.82321,33.9169,"US",1088968099
"Heteromeles arbutifolia",-122.38221,37.91752,"US",1092906830
"Heteromeles arbutifolia",-118.10419,34.18818,"US",1098915085
"Heteromeles arbutifolia",-117.83505,33.56996,"US",1088967273
"Heteromeles arbutifolia",-122.14203,37.79151,"US",1092889333
"Heteromeles arbutifolia",-117.0838,33.05232,"US",1092910327
"Heteromeles arbutifolia",-122.20086,38.05309,"US",1088976154
"Heteromeles arbutifolia",-118.16062,34.21619,"US",1135346339
"Heteromeles arbutifolia",-118.00082,33.96752,"US",1135207275
"Heteromeles arbutifolia",-122.47034,37.78836,"US",1135207310
"Heteromeles arbutifolia",-118.00038,33.96888,"US",1135346631
"Heteromeles arbutifolia",-118.37841,33.74218,"US",1135346712
"Heteromeles arbutifolia",-118.24669,34.20123,"US",1135347119
"Heteromeles arbutifolia",-118.06161,34.17157,"US",1135347388
"Heteromeles arbutifolia",-116.66635,33.09716,"US",1098905782
"Heteromeles arbutifolia",-122.45747,37.79177,"US",1098921205
"Heteromeles arbutifolia",-118.42698,33.96614,"US",1099969110
"Heteromeles arbutifolia",-118.26814,34.10666,"US",1122967498
"Heteromeles arbutifolia",-118.22268,34.10197,"US",1135346902
"Heteromeles arbutifolia",-117.93093,33.98134,"US",1098898878
"Heteromeles arbutifolia",-117.91812,33.96911,"US",1092908655
"Heteromeles arbutifolia",-117.92499,34.16623,"US",1135347731
"Heteromeles arbutifolia",-118.16791,34.19457,"US",1135348070
"Heteromeles arbutifolia",-117.89751,33.89561,"US",1098908399
"Heteromeles arbutifolia",-117.80151,34.13355,"US",1135347582
"Heteromeles arbutifolia",-122.39502,37.73544,"US",1098912890
"Heteromeles arbutifolia",-118.87995,34.22071,"US",1135207602
"Heteromeles arbutifolia",-117.88887,33.65156,"US",1098917288
"Heteromeles arbutifolia",-122.67668,37.92677,"US",1098900743
"Heteromeles arbutifolia",-118.18414,34.14382,"US",1135346994
"Heteromeles arbutifolia",-118.40962,34.12088,"US",1135347812
"Heteromeles arbutifolia",-122.49104,38.3787,"US",1098917570
"Heteromeles arbutifolia",-122.28279,37.46634,"US",1098902717
"Heteromeles arbutifolia",-118.25302,34.24982,"US",1135347024
"Heteromeles arbutifolia",-118.30533,34.23318,"US",1135347034
"Heteromeles arbutifolia",-118.29714,34.20576,"US",1135346860
"Heteromeles arbutifolia",-118.20183,34.15478,"US",1135346948
"Heteromeles arbutifolia",-118.05945,34.17974,"US",1135347452
"Heteromeles arbutifolia",-122.46904,37.78814,"US",1135207551
"Heteromeles arbutifolia",-122.84796,38.01497,"US",1098906358
"Heteromeles arbutifolia",-118.15908,34.33464,"US",1135207584
"Heteromeles arbutifolia",-117.99285,33.9808,"US",1092907544
"Heteromeles arbutifolia",-122.82275,38.11826,"US",1099963434
"Heteromeles arbutifolia",-121.05358,39.20471,"US",1098913129
"Heteromeles arbutifolia",-118.31109,34.23254,"US",1135347096
"Heteromeles arbutifolia",-122.69659,38.40274,"US",1098913004
"Heteromeles arbutifolia",-118.19624,34.2252,"US",1135347932
"Heteromeles arbutifolia",-118.00351,33.9984,"US",1099961054
"Heteromeles arbutifolia",-118.2239,34.15045,"US",1135346932
"Heteromeles arbutifolia",-117.85589,34.12469,"US",1135347274
"Heteromeles arbutifolia",-117.79463,34.13172,"US",1135347551
"Heteromeles arbutifolia",-122.49389,37.91583,"US",1122965088
"Heteromeles arbutifolia",-118.93763,34.36065,"US",1134965580
"Heteromeles arbutifolia",-120.83976,35.34729,"US",1132419323
"Heteromeles arbutifolia",-118.93797,34.36041,"US",1132419784
"Heteromeles arbutifolia",-122.06361,37.2868,"US",1122964911
"Heteromeles arbutifolia",-118.20603,34.19376,"US",1135349335
"Heteromeles arbutifolia",-122.24861,37.29278,"US",1135209686
"Heteromeles arbutifolia",-118.58702,34.09293,"US",1135348894
"Heteromeles arbutifolia",-117.99399,34.00927,"US",1099973608
"Heteromeles arbutifolia",-117.93885,33.9706,"US",1099976835
"Heteromeles arbutifolia",-122.04012,37.81843,"US",1099977297
"Heteromeles arbutifolia",-118.16105,34.21888,"US",1135348249
"Heteromeles arbutifolia",-118.18808,34.07121,"US",1135348414
"Heteromeles arbutifolia",-120.27892,35.02701,"US",1122963822
"Heteromeles arbutifolia",-118.64471,34.2654,"US",1132408503
"Heteromeles arbutifolia",-122.63741,37.89439,"US",1135208112
"Heteromeles arbutifolia",-117.97083,34.18283,"US",1135349034
"Heteromeles arbutifolia",-118.08849,34.18565,"US",1135349310
"Heteromeles arbutifolia",-117.83287,34.09149,"US",1135348555
"Heteromeles arbutifolia",-119.96367,37.56743,"US",1099975165
