"species","lon","lat","countryCode","gbifID"
"Larrea tridentata",-114.51445,32.94795,"US",1052604788
"Larrea tridentata",-114.75758,32.71874,"US",1052605288
"Larrea tridentata",-115.01818,36.10306,"US",1065601610
"Larrea tridentata",-114.51071,32.95455,"US",1052605517
"Larrea tridentata",-104.52643,31.31678,"US",1065595634
"Larrea tridentata",-115.69018,32.64867,"US",1065588683
"Larrea tridentata",-115.01813,36.10309,"US",1065601637
"Larrea tridentata",-114.75595,32.71839,"US",1052605550
"Larrea tridentata",-106.874,32.37716,"US",1065597203
"Larrea tridentata",-115.01947,36.10756,"US",1065601713
"Larrea tridentata",-111.40675,32.64528,"US",1065605433
"Larrea tridentata",-116.40684,33.24717,"US",1065608110
"Larrea tridentata",-102.01713,26.80546,"MX",1122959294
"Larrea tridentata",-111.4059,32.64511,"US",1065605425
"Larrea tridentata",-111.40562,32.64519,"US",1065605520
"Larrea tridentata",-105.01584,30.77733,"US",1088908530
"Larrea tridentata",-116.15627,34.11973,"US",1065610696
"Larrea tridentata",-106.49063,31.78433,"US",1065611229
"Larrea tridentata",-116.43006,33.10764,"US",1065609538
"Larrea tridentata",-115.98463,32.74975,"US",1088911819
"Larrea tridentata",-115.98807,32.76017,"US",1088908049
"Larrea tridentata",-114.41733,36.17715,"US",1088922049
"Larrea tridentata",-100.39512,24.38195,"MX",1088930166
"Larrea tridentata",-100.55377,25.83441,"MX",1088930321
"Larrea tridentata",-102.96098,29.18263,"MX",1088932812
"Larrea tridentata",-117.28317,36.39918,"US",1088927170
"Larrea tridentata",-118.09501,35.16158,"US",1088933997
"Larrea tridentata",-100.53296,25.84501,"MX",1088930460
"Larrea tridentata",-103.33369,29.33534,"US",1088933591
"Larrea tridentata",-116.44328,33.85191,"US",1088919256
"Larrea tridentata",-117.11512,36.6073,"US",1088926691
"Larrea tridentata",-117.87217,35.2358,"US",1088926369
"Larrea tridentata",-106.50378,31.77207,"US",1088954019
"Larrea tridentata",-116.39155,33.13,"US",1088922116
"Larrea tridentata",-103.1414,29.4218,"US",1135523121
"Larrea tridentata",-100.39095,24.35361,"MX",1088930139
"Larrea tridentata",-100.53551,22.89649,"MX",1088930216
"Larrea tridentata",-106.55789,31.83061,"US",1088955704
"Larrea tridentata",-103.60167,29.16165,"US",1088935118
