"species","lon","lat","countryCode","gbifID"
"Libocedrus bidwillii",174.09259,-39.27522,"NZ",1052605241
"Libocedrus bidwillii",170.52725,-45.80664,"NZ",1088918208
"Libocedrus bidwillii",170.51523,-45.80092,"NZ",1088910085
"Libocedrus bidwillii",170.51181,-45.80001,"NZ",1088913474
"Libocedrus bidwillii",172.98562,-40.95848,"NZ",1135209670
"Libocedrus bidwillii",170.558,-45.81479,"NZ",1099972378
"Libocedrus bidwillii",171.8031,-41.76142,"NZ",1038317791
"Libocedrus bidwillii",174.09258,-39.27557,"NZ",1038317046
"Libocedrus bidwillii",170.47254,-45.83693,"NZ",1038319279
"Libocedrus bidwillii",171.55847,-42.89879,"NZ",1038320100
"Libocedrus bidwillii",171.55736,-42.89958,"NZ",1038327568
"Libocedrus bidwillii",171.4566,-41.96834,"NZ",1038326074
"Libocedrus bidwillii",171.23539,-43.89566,"NZ",1038328562
"Libocedrus bidwillii",172.73827,-40.85563,"NZ",1065611138
"Libocedrus bidwillii",169.48305,-46.42006,"NZ",1038338599
"Libocedrus bidwillii",174.09217,-39.27567,"NZ",1038299065
"Libocedrus bidwillii",172.85408,-43.71752,"NZ",1098915518
"Libocedrus bidwillii",172.60647,-43.67182,"NZ",1038300464
"Libocedrus bidwillii",170.59321,-45.79225,"NZ",1038301749
"Libocedrus bidwillii",171.39637,-42.62595,"NZ",1038305443
"Libocedrus bidwillii",171.76975,-41.77653,"NZ",1038314388
"Libocedrus bidwillii",175.52994,-39.20858,"NZ",1088903641
"Libocedrus bidwillii",172.748,-43.6939,"NZ",1091223700
"Libocedrus bidwillii",171.56834,-42.71281,"NZ",1038322456
"Libocedrus bidwillii",173.41095,-41.32507,"NZ",1132416081
"Libocedrus bidwillii",169.02268,-44.15296,"NZ",1038307172
"Libocedrus bidwillii",171.28616,-42.89122,"NZ",176011414
"Libocedrus bidwillii",171.17811,-42.81337,"NZ",176011581
"Libocedrus bidwillii",171.17989,-42.81502,"NZ",176011481
"Libocedrus bidwillii",171.17651,-42.81371,"NZ",176011502
"Libocedrus bidwillii",170.5226,-45.7765,"NZ",176011599
"Libocedrus bidwillii",173.02389,-43.81167,"NZ",574826514
"Libocedrus bidwillii",175.43,-39.4,"NZ",912124539
"Libocedrus bidwillii",171.951,-41.5845,"NZ",1091148255
"Libocedrus bidwillii",175.400434369492,-36.5484304689984,"NZ",994540046
"Libocedrus bidwillii",169.05,-46.3711,"NZ",1091304201
"Libocedrus bidwillii",175.46131,-39.36588,"NZ",176011550
"Libocedrus bidwillii",175.4855,-39.33789,"NZ",176011363
"Libocedrus bidwillii",171.144,-42.9625,"NZ",1091270123
"Libocedrus bidwillii",171.572,-43.3657,"NZ",1091144380
"Libocedrus bidwillii",169.36582,-44.03757,"NZ",176011383
"Libocedrus bidwillii",171.849,-41.751,"NZ",1091239801
"Libocedrus bidwillii",175.48217,-39.24698,"NZ",90898964
"Libocedrus bidwillii",168.550643334554,-44.115138710683,"NZ",994552661
"Libocedrus bidwillii",172.117215306583,-42.3151156881923,"NZ",994552212
"Libocedrus bidwillii",170.597,-43.1801,"NZ",1091148903
"Libocedrus bidwillii",172.475,-41.9573,"NZ",1091323092
"Libocedrus bidwillii",175.635,-39.5405,"NZ",1091096095
"Libocedrus bidwillii",173.658,-41.3841,"NZ",1091218371
"Libocedrus bidwillii",171.6321,-42.84603,"NZ",90898327
"Libocedrus bidwillii",171.80942,-42.73456,"NZ",100639420
