"species","lon","lat","countryCode","gbifID"
"Lycopodium fastigiatum",176.16605,-39.78268,"NZ",1065599370
"Lycopodium fastigiatum",172.8879,-41.82874,"NZ",1065592505
"Lycopodium fastigiatum",171.55237,-42.79137,"NZ",1052605303
"Lycopodium fastigiatum",148.42087,-36.2637600353947,"AU",1071519653
"Lycopodium fastigiatum",148.41841,-36.2632900353941,"AU",1071519708
"Lycopodium fastigiatum",167.78009,-46.92659,"NZ",1088923102
"Lycopodium fastigiatum",167.88068,-46.94289,"NZ",1088929184
"Lycopodium fastigiatum",168.16824,-44.74423,"NZ",1088941481
"Lycopodium fastigiatum",170.49995,-45.80076,"NZ",1088913665
"Lycopodium fastigiatum",169.79896,-45.862,"NZ",1088930696
"Lycopodium fastigiatum",176.36357,-39.35315,"NZ",1088940225
"Lycopodium fastigiatum",175.58023,-39.27271,"NZ",1088966142
"Lycopodium fastigiatum",168.15356,-45.30764,"NZ",1038316832
"Lycopodium fastigiatum",174.73485,-41.32286,"NZ",1038315508
"Lycopodium fastigiatum",169.77684,-44.35983,"NZ",1038318921
"Lycopodium fastigiatum",168.12721,-44.8266,"NZ",1038321241
"Lycopodium fastigiatum",174.72783,-41.32894,"NZ",1038317837
"Lycopodium fastigiatum",168.64371,-45.02261,"NZ",1038329537
"Lycopodium fastigiatum",168.64247,-45.02046,"NZ",1038329587
"Lycopodium fastigiatum",172.69405,-41.10471,"NZ",1038326016
"Lycopodium fastigiatum",171.70647,-43.32408,"NZ",1038339807
"Lycopodium fastigiatum",169.48305,-46.42006,"NZ",1038338629
"Lycopodium fastigiatum",169.86726,-44.41452,"NZ",1042820692
"Lycopodium fastigiatum",171.7416,-43.29638,"NZ",1052577302
"Lycopodium fastigiatum",169.76546,-44.26926,"NZ",1052598495
"Lycopodium fastigiatum",169.80743,-44.31082,"NZ",1065590089
"Lycopodium fastigiatum",171.69011,-42.80175,"NZ",1038332426
"Lycopodium fastigiatum",148.35007,-36.3589300355077,"AU",1071508140
"Lycopodium fastigiatum",174.09453,-39.27106,"NZ",1038313094
"Lycopodium fastigiatum",174.09912,-39.3075,"NZ",1038327872
"Lycopodium fastigiatum",148.34324,-36.5332500357121,"AU",1071508355
"Lycopodium fastigiatum",171.74943,-42.98706,"NZ",1038300359
"Lycopodium fastigiatum",148.34795,-36.3594700355083,"AU",1071508105
"Lycopodium fastigiatum",170.39349,-45.46519,"NZ",1038305686
"Lycopodium fastigiatum",170.38561,-45.47832,"NZ",1038306882
"Lycopodium fastigiatum",169.43391,-45.87362,"NZ",1038307811
"Lycopodium fastigiatum",147.854200147474,-41.5461847438295,"AU",994578334
"Lycopodium fastigiatum",172.58217,-41.51423,"NZ",1038313940
"Lycopodium fastigiatum",174.10476,-41.08948,"NZ",1038313888
"Lycopodium fastigiatum",172.56766,-41.52458,"NZ",1038313950
"Lycopodium fastigiatum",148.77667,-35.53139,"AU",995460615
"Lycopodium fastigiatum",146.336181570282,-42.0501810008154,"AU",994574852
"Lycopodium fastigiatum",172.0875,-42.29032,"NZ",1038296619
"Lycopodium fastigiatum",176.41289,-39.41523,"NZ",922260231
"Lycopodium fastigiatum",177.08313,-38.7498,"NZ",922264631
"Lycopodium fastigiatum",169.75367,-44.33411,"NZ",1088910137
"Lycopodium fastigiatum",168.18152,-45.2522,"NZ",1038338781
"Lycopodium fastigiatum",148.40061,-36.4303300355918,"AU",1070808509
"Lycopodium fastigiatum",145.905,-41.5250000400028,"AU",996223832
"Lycopodium fastigiatum",148.31084,-36.4159100355748,"AU",1070262915
"Lycopodium fastigiatum",148.26339,-36.4557700356216,"AU",1071598041
"Lycopodium fastigiatum",145.878570591194,-41.5445618003491,"AU",994567652
"Lycopodium fastigiatum",169.7775,-44.22396,"NZ",1038321828
"Lycopodium fastigiatum",169.143,-52.5436,"NZ",1091233136
"Lycopodium fastigiatum",148.625,-35.8737000349218,"AU",996213467
"Lycopodium fastigiatum",145.517720534702,-41.8319568304983,"AU",994568014
"Lycopodium fastigiatum",148.32028,-36.44714,"AU",1061553948
"Lycopodium fastigiatum",148.3167,-34.4083,"AU",993683044
"Lycopodium fastigiatum",148.349,-36.42,"AU",1065950219
"Lycopodium fastigiatum",148.3486,-36.42,"AU",993686209
"Lycopodium fastigiatum",148.34862,-36.4200000355796,"AU",1070395172
"Lycopodium fastigiatum",148.4497,-35.8902,"AU",116882552
"Lycopodium fastigiatum",148.4497,-35.8903,"AU",993665229
"Lycopodium fastigiatum",167.84675,-45.53467,"NZ",176015446
"Lycopodium fastigiatum",168.17049,-45.78408,"NZ",176019402
