"species","lon","lat","countryCode","gbifID"
"Mackaya bella",30.18,-23.75,"ZA",1007050137
"Mackaya bella",30.875,-29.875,"ZA",616293643
"Mackaya bella",30.875,-24.625,"ZA",462059744
"Mackaya bella",31.625,-28.875,"ZA",462059743
"Mackaya bella",31.125,-24.625,"ZA",462059739
"Mackaya bella",30.375,-24.125,"ZA",462059736
"Mackaya bella",31.375,-27.875,"ZA",462059735
"Mackaya bella",30.125,-24.125,"ZA",462059738
"Mackaya bella",30.375,-22.875,"ZA",462059733
"Mackaya bella",31.375,-25.875,"ZA",462059717
"Mackaya bella",30.125,-23.875,"ZA",462059718
"Mackaya bella",29.875,-31.375,"ZA",462059727
"Mackaya bella",29.625,-31.375,"ZA",462059728
"Mackaya bella",29.625,-31.625,"ZA",462059730
"Mackaya bella",31.125,-29.125,"ZA",462059732
"Mackaya bella",30.125,-23.625,"ZA",462059710
"Mackaya bella",31.125,-28.625,"ZA",462059720
"Mackaya bella",31.375,-28.875,"ZA",462059722
"Mackaya bella",30.125,-22.875,"ZA",462059713
"Mackaya bella",29.875,-23.125,"ZA",462059707
"Mackaya bella",31.375,-26.875,"SZ",462059719
"Mackaya bella",31.125,-25.875,"ZA",462059708
