"species","lon","lat","countryCode","gbifID"
"Metrosideros robusta",175.86594,-40.18141,"NZ",1052603927
"Metrosideros robusta",171.33805,-42.09188,"NZ",1088970078
"Metrosideros robusta",174.732,-41.29206,"NZ",1052604521
"Metrosideros robusta",175.1416,-40.93014,"NZ",1065593047
"Metrosideros robusta",172.86884,-40.84927,"NZ",1088980580
"Metrosideros robusta",175.86664,-40.18673,"NZ",1052606938
"Metrosideros robusta",175.11916,-41.049,"NZ",1065607877
"Metrosideros robusta",175.01753,-41.01143,"NZ",1065606337
"Metrosideros robusta",175.57556,-40.81034,"NZ",1088945151
"Metrosideros robusta",174.99833,-41.14167,"NZ",1088950866
"Metrosideros robusta",175.30292,-40.66762,"NZ",1088938212
"Metrosideros robusta",174.96083,-41.19746,"NZ",1088944190
"Metrosideros robusta",175.17563,-40.71829,"NZ",1088938995
"Metrosideros robusta",175.19476,-41.05463,"NZ",1092896552
"Metrosideros robusta",174.92544,-41.18691,"NZ",1092890880
"Metrosideros robusta",175.02333,-41.15389,"NZ",1092906392
"Metrosideros robusta",174.92472,-41.18737,"NZ",1092890889
"Metrosideros robusta",174.92486,-41.18751,"NZ",1092887671
"Metrosideros robusta",175.62213,-40.3718,"NZ",1098912252
"Metrosideros robusta",175.62259,-40.37168,"NZ",1098912292
"Metrosideros robusta",174.87142,-41.14856,"NZ",1098910458
"Metrosideros robusta",174.77973,-41.25789,"NZ",1132413837
"Metrosideros robusta",174.77762,-41.29865,"NZ",1132416049
"Metrosideros robusta",175.02861,-41.14944,"NZ",1122967382
"Metrosideros robusta",175.02865,-41.14967,"NZ",1122967337
"Metrosideros robusta",175.0905,-41.0994,"NZ",1135525924
"Metrosideros robusta",175.09183,-41.09553,"NZ",1135526723
"Metrosideros robusta",175.02658,-41.16194,"NZ",1135529527
"Metrosideros robusta",171.87263,-41.63764,"NZ",1038315566
"Metrosideros robusta",172.53528,-40.61774,"NZ",1038315545
"Metrosideros robusta",175.15381,-41.11016,"NZ",1038328108
"Metrosideros robusta",175.08763,-41.03607,"NZ",1038316459
"Metrosideros robusta",175.08051,-41.1229,"NZ",1038319886
"Metrosideros robusta",175.15377,-41.10904,"NZ",1038323238
"Metrosideros robusta",172.87084,-40.84777,"NZ",1038328207
"Metrosideros robusta",172.14682,-40.94225,"NZ",1038327863
"Metrosideros robusta",174.93654,-41.19186,"NZ",1038330515
"Metrosideros robusta",174.94818,-41.20202,"NZ",1038330474
"Metrosideros robusta",175.02706,-41.16195,"NZ",1038330859
"Metrosideros robusta",175.16666,-40.90086,"NZ",1038340155
"Metrosideros robusta",174.93777,-41.26992,"NZ",1038332576
"Metrosideros robusta",175.40555,-40.94611,"NZ",1038344140
"Metrosideros robusta",174.93522,-41.26871,"NZ",1038332522
"Metrosideros robusta",174.92054,-41.22351,"NZ",1052579106
"Metrosideros robusta",174.92072,-41.22357,"NZ",1052579104
"Metrosideros robusta",174.83214,-41.18173,"NZ",1052596771
"Metrosideros robusta",174.54819,-37.00006,"NZ",1052605810
"Metrosideros robusta",174.98248,-41.14301,"NZ",1065586220
"Metrosideros robusta",174.91252,-41.22307,"NZ",1052596601
"Metrosideros robusta",174.92314,-41.22516,"NZ",1052596615
"Metrosideros robusta",174.77214,-41.29519,"NZ",1052596748
"Metrosideros robusta",171.34093,-42.10115,"NZ",1092890768
"Metrosideros robusta",174.966,-41.1065,"NZ",1042813559
"Metrosideros robusta",175.89216,-37.61096,"NZ",1038306406
"Metrosideros robusta",175.08754,-41.05237,"NZ",1038312509
"Metrosideros robusta",171.34248,-42.09369,"NZ",1038296735
"Metrosideros robusta",174.99305,-41.16945,"NZ",1092909701
"Metrosideros robusta",174.79835,-41.30278,"NZ",1038298655
"Metrosideros robusta",171.34201,-42.09338,"NZ",1088888206
"Metrosideros robusta",170.96788,-42.71915,"NZ",176023322
"Metrosideros robusta",175.56429,-38.05426,"NZ",176021141
"Metrosideros robusta",176.243,-38.1329,"NZ",1091268926
"Metrosideros robusta",172.86927,-40.85102,"NZ",1038305218
"Metrosideros robusta",173.53979,-41.14605,"NZ",176026878
"Metrosideros robusta",174.85529,-41.19456,"NZ",176023547
"Metrosideros robusta",173.48764,-41.1823,"NZ",176025528
"Metrosideros robusta",174.84566,-41.19111,"NZ",176025567
"Metrosideros robusta",173.48882,-41.18049,"NZ",176023352
"Metrosideros robusta",175.03937,-41.17075,"NZ",176023409
"Metrosideros robusta",173.54092,-41.13884,"NZ",176025536
"Metrosideros robusta",173.43784,-41.22213,"NZ",176026858
"Metrosideros robusta",173.51223,-41.12636,"NZ",176023507
"Metrosideros robusta",174.99941,-40.95257,"NZ",176025561
"Metrosideros robusta",175.00575,-40.92634,"NZ",176025689
"Metrosideros robusta",174.88717,-41.18324,"NZ",176025512
"Metrosideros robusta",174.94701,-41.27231,"NZ",176025569
"Metrosideros robusta",173.40916,-41.21232,"NZ",176023558
"Metrosideros robusta",173.53836,-41.11634,"NZ",176023407
"Metrosideros robusta",174.87485,-41.08527,"NZ",176025529
"Metrosideros robusta",173.56157,-41.18647,"NZ",176026851
"Metrosideros robusta",173.40203,-41.21685,"NZ",176023400
"Metrosideros robusta",175.07077,-41.1837,"NZ",176025487
"Metrosideros robusta",174.88818,-41.17691,"NZ",176025623
"Metrosideros robusta",174.97489,-41.24663,"NZ",176025701
"Metrosideros robusta",173.5622,-41.12072,"NZ",176025771
"Metrosideros robusta",173.55019,-41.10818,"NZ",176025587
"Metrosideros robusta",174.8676,-41.12411,"NZ",176025674
"Metrosideros robusta",174.90614,-41.34504,"NZ",176023439
"Metrosideros robusta",175.06714,-41.18196,"NZ",176023537
"Metrosideros robusta",173.54658,-41.10279,"NZ",176025509
"Metrosideros robusta",174.90298,-41.11183,"NZ",176026665
"Metrosideros robusta",174.86487,-41.06921,"NZ",176026863
"Metrosideros robusta",173.47341,-41.19317,"NZ",176025540
"Metrosideros robusta",174.93923,-41.16977,"NZ",176025622
"Metrosideros robusta",174.92101,-41.24032,"NZ",176023386
"Metrosideros robusta",173.56337,-41.11802,"NZ",176026668
"Metrosideros robusta",174.95898,-41.19285,"NZ",176025715
"Metrosideros robusta",174.97008,-41.20527,"NZ",176025643
"Metrosideros robusta",174.83069,-41.1247,"NZ",176025578
"Metrosideros robusta",174.96891,-41.2062,"NZ",176023489
"Metrosideros robusta",174.82587,-41.12207,"NZ",176026671
"Metrosideros robusta",174.88748,-41.11118,"NZ",176025515
"Metrosideros robusta",175.63767,-40.72327,"NZ",176021206
"Metrosideros robusta",172.90044,-41.65511,"NZ",176023358
"Metrosideros robusta",173.37586,-41.22864,"NZ",176023347
"Metrosideros robusta",173.38777,-41.22681,"NZ",176023490
"Metrosideros robusta",173.48188,-41.20934,"NZ",176025679
"Metrosideros robusta",173.45577,-41.22746,"NZ",176023501
"Metrosideros robusta",173.42094,-41.18977,"NZ",176025504
"Metrosideros robusta",172.91005,-41.65061,"NZ",176025692
"Metrosideros robusta",173.43883,-41.1924,"NZ",176025548
"Metrosideros robusta",173.4258,-41.20506,"NZ",176023515
"Metrosideros robusta",172.63,-40.5857,"NZ",1091309633
"Metrosideros robusta",172.367196809881,-40.6984419418013,"NZ",994539784
"Metrosideros robusta",175.25,-40.6333,"NZ",995184734
"Metrosideros robusta",172.3667,-40.7,"NZ",995184756
"Metrosideros robusta",172.017211128418,-41.5317746959975,"NZ",994539639
"Metrosideros robusta",174.711,-38.4291,"NZ",1091256124
"Metrosideros robusta",175.05882,-41.22084,"NZ",90933072
"Metrosideros robusta",176.67067,-38.03505,"NZ",90932676
"Metrosideros robusta",175.536,-37.8626,"NZ",1091261363
"Metrosideros robusta",175.15641,-41.06228,"NZ",90935216
"Metrosideros robusta",175.20126,-41.00888,"NZ",90933242
"Metrosideros robusta",175.15533,-41.06227,"NZ",90933216
"Metrosideros robusta",176.43459,-38.08033,"NZ",90934559
"Metrosideros robusta",175.02019,-41.24494,"NZ",90933106
"Metrosideros robusta",175.21111,-37.11972,"NZ",574943402
"Metrosideros robusta",175.05885,-41.22174,"NZ",90932725
"Metrosideros robusta",175.03749,-41.0708,"NZ",90933227
"Metrosideros robusta",175.0298,-41.01419,"NZ",90934003
"Metrosideros robusta",175.0658,-41.02436,"NZ",90933209
"Metrosideros robusta",174.861,-36.7809,"NZ",1091137076
"Metrosideros robusta",174.78,-39.4255,"NZ",1091304248
"Metrosideros robusta",174.978,-41.3537,"NZ",1091248807
"Metrosideros robusta",174.91439,-41.28146,"NZ",176023397
"Metrosideros robusta",175.59747,-40.40059,"NZ",176021195
"Metrosideros robusta",172.133865733775,-41.1817736207636,"NZ",994551975
"Metrosideros robusta",177.08313,-38.7498,"NZ",922318080
"Metrosideros robusta",172.77,-34.4724,"NZ",1091262495
"Metrosideros robusta",174.85,-36.7901,"NZ",1091138914
"Metrosideros robusta",175.283793736356,-41.0984303625024,"NZ",994552427
"Metrosideros robusta",174.889,-38.1107,"NZ",1091132648
"Metrosideros robusta",174.600451267654,-36.4817632379812,"NZ",994471195
"Metrosideros robusta",176.43231,-38.0804,"NZ",90932847
"Metrosideros robusta",176.42906,-38.10755,"NZ",90932871
"Metrosideros robusta",173.50046959989,-35.5151083569122,"NZ",994471465
"Metrosideros robusta",175.00152,-39.36204,"NZ",90932742
"Metrosideros robusta",175.07998,-39.19433,"NZ",90932980
"Metrosideros robusta",175.04841,-39.33011,"NZ",90934322
"Metrosideros robusta",174.98242,-39.21865,"NZ",90932723
"Metrosideros robusta",175.3793,-36.06944,"NZ",90934590
"Metrosideros robusta",174.96386,-39.43188,"NZ",90934657
"Metrosideros robusta",175.03665,-39.18264,"NZ",90934114
"Metrosideros robusta",174.96704,-39.43189,"NZ",90934615
"Metrosideros robusta",175.08334,-39.16304,"NZ",90932923
"Metrosideros robusta",174.96915,-39.4319,"NZ",90934563
"Metrosideros robusta",174.97925,-39.21781,"NZ",90935274
"Metrosideros robusta",174.98856,-39.39328,"NZ",90932796
"Metrosideros robusta",174.9596,-39.43186,"NZ",90934687
"Metrosideros robusta",174.9774,-39.46571,"NZ",90933123
"Metrosideros robusta",174.98031,-39.21781,"NZ",90932706
"Metrosideros robusta",174.97101,-39.46815,"NZ",90932941
"Metrosideros robusta",174.96173,-39.43187,"NZ",90934694
"Metrosideros robusta",175.06638,-39.16628,"NZ",90935225
"Metrosideros robusta",175.08122,-39.16139,"NZ",90932881
"Metrosideros robusta",174.97419,-39.46816,"NZ",90932978
"Metrosideros robusta",174.97314,-39.46733,"NZ",90933022
"Metrosideros robusta",174.97421,-39.46651,"NZ",90933055
"Metrosideros robusta",175.06534,-39.16463,"NZ",90935267
"Metrosideros robusta",174.99461,-39.43778,"NZ",90934183
"Metrosideros robusta",174.9681,-39.4319,"NZ",90934318
"Metrosideros robusta",175.08439,-39.16305,"NZ",90933004
"Metrosideros robusta",175.39438,-36.08894,"NZ",90934725
"Metrosideros robusta",175.15584,-39.69615,"NZ",90932705
"Metrosideros robusta",174.99955,-39.19154,"NZ",90935266
"Metrosideros robusta",174.97503,-39.21614,"NZ",90935328
"Metrosideros robusta",174.99517,-39.35955,"NZ",90932698
"Metrosideros robusta",174.99462,-39.43613,"NZ",90933239
"Metrosideros robusta",174.98432,-39.39244,"NZ",90932959
"Metrosideros robusta",175.06137,-39.1226,"NZ",90934651
"Metrosideros robusta",174.96491,-39.43188,"NZ",90934621
"Metrosideros robusta",175.36059,-36.07436,"NZ",90934922
"Metrosideros robusta",175.15477,-39.69615,"NZ",90932669
"Metrosideros robusta",175.06031,-39.12343,"NZ",90934717
"Metrosideros robusta",174.99956,-39.1899,"NZ",90934984
"Metrosideros robusta",174.99882,-39.44274,"NZ",90933172
"Metrosideros robusta",175.35218,-36.08896,"NZ",90932635
"Metrosideros robusta",175.08228,-39.16222,"NZ",90932943
"Metrosideros robusta",175.05476,-39.33096,"NZ",90934645
"Metrosideros robusta",175.05608,-39.12423,"NZ",90934910
"Metrosideros robusta",174.99852,-39.18907,"NZ",90935016
"Metrosideros robusta",175.01829,-39.2361,"NZ",90932893
"Metrosideros robusta",175.08798,-37.98927,"NZ",90934598
"Metrosideros robusta",174.96454,-39.20209,"NZ",90934931
"Metrosideros robusta",175.03454,-39.18098,"NZ",90934195
"Metrosideros robusta",175.08592,-37.98761,"NZ",90932861
"Metrosideros robusta",174.96244,-39.20044,"NZ",90934979
"Metrosideros robusta",174.77896,-37.86997,"NZ",90932902
"Metrosideros robusta",174.90679,-39.27264,"NZ",90934860
"Metrosideros robusta",174.96982,-39.20542,"NZ",90934700
"Metrosideros robusta",175.0356,-39.18181,"NZ",90934214
"Metrosideros robusta",175.01939,-39.23198,"NZ",90933062
"Metrosideros robusta",175.0204,-39.2394,"NZ",90932797
"Metrosideros robusta",175.02039,-39.24105,"NZ",90932857
"Metrosideros robusta",174.9589,-39.24902,"NZ",90934163
"Metrosideros robusta",174.77791,-37.87079,"NZ",90934637
"Metrosideros robusta",175.01832,-39.23198,"NZ",90932987
"Metrosideros robusta",174.95781,-39.25149,"NZ",90934148
"Metrosideros robusta",175.03561,-39.18098,"NZ",90934245
"Metrosideros robusta",174.97957,-39.17416,"NZ",90934583
"Metrosideros robusta",174.93314,-39.15747,"NZ",90935230
"Metrosideros robusta",174.97747,-39.17168,"NZ",90934589
"Metrosideros robusta",175.01263,-39.13642,"NZ",90934168
"Metrosideros robusta",174.98167,-39.17746,"NZ",90934611
"Metrosideros robusta",175.01052,-39.13641,"NZ",90934218
"Metrosideros robusta",174.99125,-39.16927,"NZ",90934935
"Metrosideros robusta",174.99019,-39.16845,"NZ",90935017
"Metrosideros robusta",174.98271,-39.17911,"NZ",90934655
"Metrosideros robusta",175.00629,-39.13639,"NZ",90934216
"Metrosideros robusta",174.98061,-39.17582,"NZ",90934601
"Metrosideros robusta",174.98705,-39.16431,"NZ",90934834
"Metrosideros robusta",175.00946,-39.1364,"NZ",90934108
"Metrosideros robusta",174.93419,-39.15912,"NZ",90935226
"Metrosideros robusta",175.00734,-39.13639,"NZ",90934093
"Metrosideros robusta",174.99124,-39.17092,"NZ",90935010
"Metrosideros robusta",173.99987,-39.36744,"NZ",90935283
"Metrosideros robusta",173.45302,-35.59627,"NZ",90934602
"Metrosideros robusta",174.85435,-39.3292,"NZ",90934695
"Metrosideros robusta",174.86068,-39.33171,"NZ",90934897
"Metrosideros robusta",174.84154,-39.33818,"NZ",90934622
"Metrosideros robusta",174.84469,-39.34067,"NZ",90934610
"Metrosideros robusta",174.84257,-39.34148,"NZ",90934824
"Metrosideros robusta",174.84365,-39.33902,"NZ",90934732
"Metrosideros robusta",174.82687,-39.31834,"NZ",90934952
"Metrosideros robusta",174.95171,-39.35523,"NZ",90932972
