"species","lon","lat","countryCode","gbifID"
"Mitraria coccinea",-73.35314,-39.73803,"CL",574716326
"Mitraria coccinea",-71.67361,-30.66667,"CL",574644881
"Mitraria coccinea",-73.31917,-39.77139,"CL",575326890
"Mitraria coccinea",-73.3,-38.02,"CL",142970345
"Mitraria coccinea",-74.16667,-42.45,"CL",574880784
"Mitraria coccinea",-73.75,-40.51667,"CL",574723378
"Mitraria coccinea",-73.65,-40.43333,"CL",574683431
"Mitraria coccinea",-73.61056,-40.45806,"CL",575149631
"Mitraria coccinea",-73.25,-39.75,"CL",995832381
"Mitraria coccinea",-73.3,-39.7,"CL",153798369
"Mitraria coccinea",-72.72389,-42.82028,"CL",574812649
"Mitraria coccinea",-72.29578,-40.69319,"CL",574783278
"Mitraria coccinea",-72.32617,-40,"CL",574774974
"Mitraria coccinea",-72.92,-40.33,"CL",321074477
"Mitraria coccinea",-71.58333,-37.91667,"CL",574644382
"Mitraria coccinea",-71.62,-37.9,"CL",142970349
"Mitraria coccinea",-73.55,-45.87917,"CL",574687737
"Mitraria coccinea",-73.27,-45.89433,"CL",574664441
"Mitraria coccinea",-73.03,-41.14,"CL",321075220
"Mitraria coccinea",-72.23333,-40.76667,"CL",575156758
"Mitraria coccinea",-74.77,-49.5,"CL",142970332
"Mitraria coccinea",-72.5,-41.16667,"CL",574941283
"Mitraria coccinea",-72.3,-40.72,"CL",321074239
"Mitraria coccinea",-73.3,-40.23,"CL",321074240
"Mitraria coccinea",-73.58,-40.17,"CL",886134355
"Mitraria coccinea",-72.92,-37.75,"CL",321074320
"Mitraria coccinea",-72,-40.67,"CL",321074470
"Mitraria coccinea",-73.27,-40.12,"CL",321074377
"Mitraria coccinea",-72.85154,-41.13871,"CL",415995310
"Mitraria coccinea",-72.15,-40.75,"CL",888601312
"Mitraria coccinea",-72.83,-41,"CL",888770276
"Mitraria coccinea",-72.55,-41.2,"CL",165084096
"Mitraria coccinea",-72.03,-41.1,"CL",886134401
"Mitraria coccinea",-72,-38.68,"CL",886134267
"Mitraria coccinea",-73.76667,-42.41667,"CL",574811064
"Mitraria coccinea",-72.31,-43.39,"CL",416988848
"Mitraria coccinea",-72.03,-40.34,"CL",814365669
"Mitraria coccinea",-72.33,-39.85,"CL",416988891
