"species","lon","lat","countryCode","gbifID"
"Myrceugenia chrysocarpa",-71.95917,-39.88611,"CL",814302647
"Myrceugenia chrysocarpa",-71.605,-38.62528,"CL",574674983
"Myrceugenia chrysocarpa",-71.68694,-39.01056,"CL",575250516
"Myrceugenia chrysocarpa",-71.70028,-39.0125,"CL",575331081
"Myrceugenia chrysocarpa",-71.82583,-41.03278,"AR",574734292
"Myrceugenia chrysocarpa",-73.64694,-40,"CL",574732312
"Myrceugenia chrysocarpa",-73.66167,-40.44611,"CL",575157950
"Myrceugenia chrysocarpa",-73.64694,-40.43528,"CL",575102257
"Myrceugenia chrysocarpa",-72.62556,-42.29333,"CL",574853619
"Myrceugenia chrysocarpa",-71.695,-39.785,"CL",575032954
"Myrceugenia chrysocarpa",-70.06333,-40.05028,"CL",574981472
"Myrceugenia chrysocarpa",-71.69722,-38.63917,"CL",574853366
"Myrceugenia chrysocarpa",-72.43333,-40.18333,"CL",574901511
"Myrceugenia chrysocarpa",-73.46667,-40.16667,"CL",574736163
"Myrceugenia chrysocarpa",-72.88333,-41.5,"CL",574850344
"Myrceugenia chrysocarpa",-72.5,-41.16667,"CL",574865754
"Myrceugenia chrysocarpa",-73.3,-40.23,"CL",321122789
"Myrceugenia chrysocarpa",-73.43,-39.87,"CL",912243262
"Myrceugenia chrysocarpa",-70.8906,-35.8156,"CL",666378516
"Myrceugenia chrysocarpa",-71.71667,-38.68333,"CL",574790322
