"species","lon","lat","countryCode","gbifID"
"Myrceugenia correifolia",-72.00417,-34.54694,"CL",814302507
"Myrceugenia correifolia",-71.60944,-35.09,"CL",574903987
"Myrceugenia correifolia",-71.3,-32.21667,"CL",575057274
"Myrceugenia correifolia",-71.67694,-30.655,"CL",575121456
"Myrceugenia correifolia",-71.75,-30.75,"CL",321123245
"Myrceugenia correifolia",-71.67,-33.33,"CL",321123266
"Myrceugenia correifolia",-71.68854,-30.66333,"CL",991895221
"Myrceugenia correifolia",-71,-30,"CL",1099075408
"Myrceugenia correifolia",-70.8906,-35.8156,"CL",666196497
"Myrceugenia correifolia",-71.61667,-30.66667,"CL",574890233
