"species","lon","lat","countryCode","gbifID"
"Myrceugenia exsucca",-71.84,-41.98333,"CL",665872142
"Myrceugenia exsucca",-73.05056,-41.41139,"CL",574945174
"Myrceugenia exsucca",-73.26861,-39.80278,"CL",575050090
"Myrceugenia exsucca",-71.7,-40.68333,"AR",575318638
"Myrceugenia exsucca",-72.71667,-42.28333,"CL",574838091
"Myrceugenia exsucca",-73.36417,-37.57222,"CL",575099679
"Myrceugenia exsucca",-72.51,-38.24917,"CL",575251851
"Myrceugenia exsucca",-72.26639,-40.23278,"CL",575112032
"Myrceugenia exsucca",-71.62,-42.08,"AR",321123008
"Myrceugenia exsucca",-73.17389,-39.78361,"CL",575016050
"Myrceugenia exsucca",-71.7,-37.81667,"CL",575078594
"Myrceugenia exsucca",-72.46667,-35.85,"CL",575223375
"Myrceugenia exsucca",-71.48333,-37.36667,"CL",575243133
"Myrceugenia exsucca",-71.75,-39.33,"CL",321122724
"Myrceugenia exsucca",-71.7,-38.85,"CL",574850345
"Myrceugenia exsucca",-71.52,-33.58,"CL",321123377
"Myrceugenia exsucca",-72.67,-36.92,"CL",321123431
"Myrceugenia exsucca",-73.67,-40.17,"CL",321123441
"Myrceugenia exsucca",-71.55,-41.52,"AR",321123392
"Myrceugenia exsucca",-71.55,-41.51667,"AR",1046367716
"Myrceugenia exsucca",-71.82,-37.7,"CL",321123054
"Myrceugenia exsucca",-71.33555,-41.09027,"AR",675231837
"Myrceugenia exsucca",-70.8906,-35.8156,"CL",666378554
"Myrceugenia exsucca",-71,-30,"CL",1099075413
"Myrceugenia exsucca",-71.25,-32.87,"CL",912243279
