"species","lon","lat","countryCode","gbifID"
"Myrsine australis",175.01609,-37.4489,"NZ",1088900508
"Myrsine australis",172.43537,-40.64355,"NZ",1065603070
"Myrsine australis",170.1626,-43.22365,"NZ",1065601181
"Myrsine australis",173.57184,-41.29886,"NZ",1065607831
"Myrsine australis",174.82777,-41.29917,"NZ",1088911690
"Myrsine australis",167.78009,-46.92659,"NZ",1088921921
"Myrsine australis",167.59441,-45.57006,"NZ",1088922299
"Myrsine australis",174.1207,-39.10274,"NZ",1088931497
"Myrsine australis",172.93974,-43.77337,"NZ",1088948186
"Myrsine australis",174.50888,-37.04039,"NZ",1088967460
"Myrsine australis",174.92507,-41.18731,"NZ",1092887930
"Myrsine australis",174.66594,-36.87924,"NZ",1088980653
"Myrsine australis",168.62456,-45.04756,"NZ",1092903338
"Myrsine australis",175.59917,-40.40186,"NZ",1098914463
"Myrsine australis",175.02778,-41.13167,"NZ",1098920751
"Myrsine australis",173.82983,-42.24436,"NZ",1122963924
"Myrsine australis",175.11205,-41.09345,"NZ",1132407740
"Myrsine australis",174.66453,-36.8794,"NZ",1132418863
"Myrsine australis",175.85352,-40.1516,"NZ",1122962354
"Myrsine australis",174.75238,-41.28766,"NZ",1099972351
"Myrsine australis",174.71731,-36.75853,"NZ",1122962079
"Myrsine australis",175.31354,-41.11546,"NZ",1132405560
"Myrsine australis",173.51693,-35.0202,"NZ",1135526699
"Myrsine australis",174.75268,-41.29152,"NZ",1135530243
"Myrsine australis",174.88331,-41.38716,"NZ",1134967729
"Myrsine australis",170.1656,-43.22257,"NZ",1088904421
"Myrsine australis",175.50484,-41.39637,"NZ",1038317714
"Myrsine australis",175.14493,-41.08315,"NZ",1038319403
"Myrsine australis",175.08034,-41.1228,"NZ",1038319469
"Myrsine australis",174.75329,-41.29122,"NZ",1038319737
"Myrsine australis",174.83398,-41.22355,"NZ",1038320023
"Myrsine australis",170.5099,-45.85553,"NZ",1038318323
"Myrsine australis",174.73316,-41.29412,"NZ",1038319157
"Myrsine australis",174.69797,-36.73709,"NZ",1038319165
"Myrsine australis",175.74445,-37.9577,"NZ",1038317814
"Myrsine australis",171.57358,-42.8036,"NZ",1038320793
"Myrsine australis",172.59532,-43.31604,"NZ",1038321806
"Myrsine australis",170.56391,-45.8897,"NZ",1038322697
