"species","lon","lat","countryCode","gbifID"
"Nothofagus fusca",171.95669,-43.29551,"NZ",176028765
"Nothofagus fusca",168.76419,-45.26743,"NZ",176029047
"Nothofagus fusca",170.97887,-42.71556,"NZ",176028997
"Nothofagus fusca",172.47803,-43.64151,"NZ",176032391
"Nothofagus fusca",171.32,-42.42,"NZ",912300967
"Nothofagus fusca",172.4,-42.38,"NZ",912301067
"Nothofagus fusca",173.015,-43.81083,"NZ",574755914
"Nothofagus fusca",171.92572,-43.29009,"NZ",176028987
"Nothofagus fusca",174.99941,-40.95257,"NZ",176031103
"Nothofagus fusca",173.55019,-41.10818,"NZ",176031245
"Nothofagus fusca",173.53979,-41.14605,"NZ",176034439
"Nothofagus fusca",173.51223,-41.12636,"NZ",176034623
"Nothofagus fusca",173.53836,-41.11634,"NZ",176031044
"Nothofagus fusca",174.8676,-41.12411,"NZ",176029036
"Nothofagus fusca",174.88717,-41.18324,"NZ",176030935
"Nothofagus fusca",173.56157,-41.18647,"NZ",176032222
"Nothofagus fusca",173.40916,-41.21232,"NZ",176032564
"Nothofagus fusca",175.06714,-41.18196,"NZ",176029072
"Nothofagus fusca",173.48764,-41.1823,"NZ",176031271
"Nothofagus fusca",175.00575,-40.92634,"NZ",176029145
"Nothofagus fusca",174.88818,-41.17691,"NZ",176029157
"Nothofagus fusca",173.5622,-41.12072,"NZ",176031060
"Nothofagus fusca",174.87485,-41.08527,"NZ",176030901
"Nothofagus fusca",173.54658,-41.10279,"NZ",176031075
"Nothofagus fusca",174.90614,-41.34504,"NZ",176032600
"Nothofagus fusca",173.40203,-41.21685,"NZ",176034422
"Nothofagus fusca",174.86487,-41.06921,"NZ",176029037
"Nothofagus fusca",175.03937,-41.17075,"NZ",176031144
"Nothofagus fusca",173.48882,-41.18049,"NZ",176031096
"Nothofagus fusca",173.54092,-41.13884,"NZ",176032242
"Nothofagus fusca",174.97489,-41.24663,"NZ",176029017
"Nothofagus fusca",174.94701,-41.27231,"NZ",176032253
"Nothofagus fusca",175.07077,-41.1837,"NZ",176029065
"Nothofagus fusca",174.90298,-41.11183,"NZ",176031152
"Nothofagus fusca",173.43784,-41.22213,"NZ",176032527
"Nothofagus fusca",174.85529,-41.19456,"NZ",176032287
"Nothofagus fusca",174.84566,-41.19111,"NZ",176029114
"Nothofagus fusca",173.47341,-41.19317,"NZ",176031223
"Nothofagus fusca",173.56337,-41.11802,"NZ",176031148
"Nothofagus fusca",174.93923,-41.16977,"NZ",176032322
"Nothofagus fusca",174.92101,-41.24032,"NZ",176034690
"Nothofagus fusca",174.97008,-41.20527,"NZ",176028958
"Nothofagus fusca",174.95898,-41.19285,"NZ",176030997
"Nothofagus fusca",174.96891,-41.2062,"NZ",176029024
"Nothofagus fusca",174.83069,-41.1247,"NZ",176029060
"Nothofagus fusca",174.88748,-41.11118,"NZ",176031020
"Nothofagus fusca",174.82587,-41.12207,"NZ",176034441
"Nothofagus fusca",173.45577,-41.22746,"NZ",176028974
"Nothofagus fusca",172.91005,-41.65061,"NZ",176034450
"Nothofagus fusca",173.37586,-41.22864,"NZ",176030933
"Nothofagus fusca",173.38777,-41.22681,"NZ",176030939
"Nothofagus fusca",173.48188,-41.20934,"NZ",176029127
"Nothofagus fusca",172.90044,-41.65511,"NZ",176029005
"Nothofagus fusca",173.42094,-41.18977,"NZ",176031295
"Nothofagus fusca",173.4258,-41.20506,"NZ",176034653
"Nothofagus fusca",173.43883,-41.1924,"NZ",176029121
"Nothofagus fusca",172.49874,-41.59369,"NZ",100970380
"Nothofagus fusca",175.55814,-39.40794,"NZ",100984819
"Nothofagus fusca",175.53599,-39.43727,"NZ",100981805
"Nothofagus fusca",175.54958,-39.39641,"NZ",100976077
"Nothofagus fusca",175.52497,-39.4222,"NZ",100983418
"Nothofagus fusca",175.50699,-39.40727,"NZ",100983632
"Nothofagus fusca",175.25018,-41.00489,"NZ",100968848
"Nothofagus fusca",175.51611,-39.43411,"NZ",100974260
"Nothofagus fusca",175.50143,-39.38216,"NZ",100983639
"Nothofagus fusca",175.20126,-41.00888,"NZ",100985493
"Nothofagus fusca",175.51824,-39.42866,"NZ",100982928
"Nothofagus fusca",175.5384,-39.40838,"NZ",100983134
"Nothofagus fusca",175.51346,-39.39361,"NZ",100979936
"Nothofagus fusca",175.5059,-39.4091,"NZ",100977900
"Nothofagus fusca",175.20125,-41.01053,"NZ",100963561
"Nothofagus fusca",175.56303,-39.38349,"NZ",100981887
"Nothofagus fusca",175.54378,-39.42809,"NZ",100981632
"Nothofagus fusca",175.24692,-41.00653,"NZ",100970173
"Nothofagus fusca",175.51545,-39.38456,"NZ",100979896
"Nothofagus fusca",175.50915,-39.40272,"NZ",100979647
"Nothofagus fusca",175.22192,-41.00729,"NZ",100972651
"Nothofagus fusca",175.54597,-39.42443,"NZ",100984942
"Nothofagus fusca",175.56032,-39.40428,"NZ",100985064
"Nothofagus fusca",175.52719,-39.41944,"NZ",100983465
"Nothofagus fusca",175.53054,-39.41576,"NZ",100976209
"Nothofagus fusca",175.49801,-39.38404,"NZ",100983633
"Nothofagus fusca",175.50369,-39.38031,"NZ",100985018
"Nothofagus fusca",175.51336,-39.39091,"NZ",100981761
"Nothofagus fusca",172.31667,-41.78333,"NZ",995542405
"Nothofagus fusca",175.84306,-39.14389,"NZ",574654961
"Nothofagus fusca",175.46131,-39.36588,"NZ",176028701
"Nothofagus fusca",175.2795,-41.01483,"NZ",100972083
"Nothofagus fusca",175.27732,-41.01564,"NZ",100984983
"Nothofagus fusca",175.27189,-41.01645,"NZ",100970403
"Nothofagus fusca",175.27406,-41.01564,"NZ",100970631
"Nothofagus fusca",175.06705,-40.98831,"NZ",100967054
"Nothofagus fusca",175.0658,-41.02436,"NZ",90967043
"Nothofagus fusca",175.03749,-41.0708,"NZ",100966866
"Nothofagus fusca",175.23181,-40.98014,"NZ",100972529
"Nothofagus fusca",175.22963,-40.98178,"NZ",100983564
"Nothofagus fusca",175.15641,-41.06228,"NZ",100966787
"Nothofagus fusca",175.22852,-41.01774,"NZ",100981728
"Nothofagus fusca",174.91439,-41.28146,"NZ",176029021
"Nothofagus fusca",175.208795230114,-41.065100619122,"NZ",994475955
"Nothofagus fusca",174.667119661448,-36.448433050868,"NZ",994477757
"Nothofagus fusca",171.43388753177,-41.9317781130273,"NZ",994552228
"Nothofagus fusca",176.1061,-39.00408,"NZ",125632982
"Nothofagus fusca",176.0048,-39.30602,"NZ",125632652
"Nothofagus fusca",172.35743,-42.22268,"NZ",176032553
"Nothofagus fusca",172.34967,-42.22335,"NZ",176032225
"Nothofagus fusca",172.36192,-42.22225,"NZ",176032469
"Nothofagus fusca",172.36729,-42.19391,"NZ",176028706
"Nothofagus fusca",172.645,-43.5917,"NZ",993484095
"Nothofagus fusca",17.6448398067399,-43.5914484464208,"NZ",994521827
"Nothofagus fusca",168.805,-44.0217,"NZ",993425987
"Nothofagus fusca",168.805,-44.0216,"NZ",39876298
"Nothofagus fusca",175.283793736356,-41.0984303625024,"NZ",994551901
"Nothofagus fusca",173.017207301252,-43.7984450031389,"NZ",994431415
"Nothofagus fusca",168.45,-45.07,"NZ",297337251
"Nothofagus fusca",172.44028,-42.73442,"NZ",100977433
"Nothofagus fusca",172.58514,-41.08997,"NZ",100979678
"Nothofagus fusca",172.58516,-41.0908,"NZ",100981326
"Nothofagus fusca",172.45852,-42.68652,"NZ",100972338
"Nothofagus fusca",172.58408,-41.09163,"NZ",100979591
"Nothofagus fusca",172.44139,-42.73359,"NZ",100964750
"Nothofagus fusca",172.43758,-42.70317,"NZ",100974189
"Nothofagus fusca",176.68537,-38.84253,"NZ",100977584
"Nothofagus fusca",176.57076,-38.90117,"NZ",100970620
"Nothofagus fusca",172.4366,-42.71223,"NZ",100975872
"Nothofagus fusca",172.58307,-41.09575,"NZ",100979338
"Nothofagus fusca",172.45743,-42.68736,"NZ",100974024
"Nothofagus fusca",172.44571,-42.72368,"NZ",100974233
"Nothofagus fusca",172.58411,-41.09328,"NZ",100979259
"Nothofagus fusca",172.43999,-42.71467,"NZ",100972583
"Nothofagus fusca",172.43983,-42.70397,"NZ",100972669
"Nothofagus fusca",172.43102,-42.71227,"NZ",100976219
"Nothofagus fusca",172.4387,-42.70315,"NZ",100972630
"Nothofagus fusca",172.43548,-42.71223,"NZ",100974391
"Nothofagus fusca",172.44755,-42.69814,"NZ",100974188
"Nothofagus fusca",172.44531,-42.69734,"NZ",100974234
"Nothofagus fusca",172.43775,-42.71468,"NZ",100965060
"Nothofagus fusca",172.43884,-42.71221,"NZ",100975824
"Nothofagus fusca",172.43898,-42.72126,"NZ",100977529
"Nothofagus fusca",172.40533,-42.71083,"NZ",100971962
"Nothofagus fusca",176.22075,-39.06665,"NZ",125632237
"Nothofagus fusca",176.21829,-39.08836,"NZ",100964712
"Nothofagus fusca",176.21144,-39.09036,"NZ",100964977
"Nothofagus fusca",176.23352,-39.09244,"NZ",100966642
"Nothofagus fusca",176.2232,-39.09453,"NZ",100968935
"Nothofagus fusca",176.22539,-39.09177,"NZ",100967143
"Nothofagus fusca",176.22381,-39.08279,"NZ",125632376
"Nothofagus fusca",176.21848,-39.06762,"NZ",125632752
"Nothofagus fusca",176.21961,-39.09193,"NZ",100964978
"Nothofagus fusca",176.21726,-39.09109,"NZ",100965218
"Nothofagus fusca",176.2277,-39.0917,"NZ",100967192
"Nothofagus fusca",176.21441,-39.07945,"NZ",100983028
"Nothofagus fusca",176.19964,-39.08528,"NZ",100986702
"Nothofagus fusca",176.22056,-39.08739,"NZ",100963575
"Nothofagus fusca",172.53605,-42.71878,"NZ",100977528
"Nothofagus fusca",176.22356,-39.07739,"NZ",100981514
"Nothofagus fusca",176.21779,-39.07756,"NZ",100981895
"Nothofagus fusca",176.22117,-39.07566,"NZ",100982934
"Nothofagus fusca",176.22228,-39.07472,"NZ",100983198
"Nothofagus fusca",176.22682,-39.07279,"NZ",100983520
"Nothofagus fusca",176.21106,-39.08225,"NZ",100984985
"Nothofagus fusca",176.2274,-39.0854,"NZ",100985374
"Nothofagus fusca",176.22146,-39.08196,"NZ",100982984
"Nothofagus fusca",176.21445,-39.08035,"NZ",100983373
"Nothofagus fusca",176.21655,-39.07579,"NZ",100985023
"Nothofagus fusca",176.20999,-39.08409,"NZ",100985063
"Nothofagus fusca",176.23347,-39.09154,"NZ",100965217
"Nothofagus fusca",176.21539,-39.07582,"NZ",100981562
"Nothofagus fusca",176.22077,-39.0919,"NZ",100965055
"Nothofagus fusca",176.23442,-39.087,"NZ",100981594
"Nothofagus fusca",176.22186,-39.06572,"NZ",100963573
"Nothofagus fusca",176.22665,-39.06919,"NZ",100963478
"Nothofagus fusca",176.22776,-39.06826,"NZ",100963574
"Nothofagus fusca",176.21841,-39.09106,"NZ",100966641
"Nothofagus fusca",176.23566,-39.08877,"NZ",100981148
"Nothofagus fusca",176.22638,-39.08813,"NZ",125632596
"Nothofagus fusca",176.22064,-39.08919,"NZ",125632714
"Nothofagus fusca",176.22669,-39.07009,"NZ",100986525
"Nothofagus fusca",176.21911,-39.08112,"NZ",100983096
"Nothofagus fusca",176.23224,-39.08977,"NZ",100981001
"Nothofagus fusca",176.22673,-39.07099,"NZ",100983521
"Nothofagus fusca",176.20768,-39.08415,"NZ",100985176
"Nothofagus fusca",176.22629,-39.08633,"NZ",100986653
"Nothofagus fusca",176.21733,-39.06765,"NZ",125632900
"Nothofagus fusca",176.21907,-39.08022,"NZ",100979935
"Nothofagus fusca",176.22658,-39.09263,"NZ",100968403
"Nothofagus fusca",176.22113,-39.07476,"NZ",100983139
"Nothofagus fusca",176.21775,-39.07666,"NZ",100985301
"Nothofagus fusca",172.54714,-42.71456,"NZ",100979453
"Nothofagus fusca",176.20636,-39.08058,"NZ",100985134
"Nothofagus fusca",176.21523,-39.07222,"NZ",125632236
"Nothofagus fusca",176.23005,-39.09254,"NZ",100965263
"Nothofagus fusca",176.20541,-39.08512,"NZ",100985260
"Nothofagus fusca",176.23343,-39.09064,"NZ",100979895
"Nothofagus fusca",176.20756,-39.08145,"NZ",100985133
"Nothofagus fusca",176.21535,-39.07492,"NZ",100986611
"Nothofagus fusca",176.2289,-39.09257,"NZ",100968247
"Nothofagus fusca",176.22085,-39.0937,"NZ",100968580
"Nothofagus fusca",176.21898,-39.07842,"NZ",100983330
"Nothofagus fusca",176.22109,-39.07386,"NZ",100984762
"Nothofagus fusca",176.21275,-39.06868,"NZ",125632842
"Nothofagus fusca",176.2236,-39.07829,"NZ",100979961
"Nothofagus fusca",176.22596,-39.07913,"NZ",100981675
"Nothofagus fusca",176.22241,-39.07743,"NZ",100982933
"Nothofagus fusca",172.54486,-42.71211,"NZ",100979659
"Nothofagus fusca",176.21222,-39.08222,"NZ",100983029
"Nothofagus fusca",176.2076,-39.08235,"NZ",100985375
"Nothofagus fusca",176.22883,-39.06643,"NZ",100986701
"Nothofagus fusca",176.63347,-38.88657,"NZ",100970209
"Nothofagus fusca",172.59098,-41.80071,"NZ",176028992
"Nothofagus fusca",168.66667,-45.05,"NZ",466127328
"Nothofagus fusca",175.31666,-41.33435,"NZ",90967111
"Nothofagus fusca",175.3428,-41.36321,"NZ",90969935
"Nothofagus fusca",172.39313,-41.05457,"NZ",125632723
"Nothofagus fusca",172.41823,-41.06014,"NZ",125632803
"Nothofagus fusca",172.48611,-41.09004,"NZ",125632896
"Nothofagus fusca",172.43447,-41.05506,"NZ",100969014
"Nothofagus fusca",172.44903,-41.08459,"NZ",100973750
"Nothofagus fusca",175.35378,-41.34428,"NZ",100981838
"Nothofagus fusca",172.45342,-41.08702,"NZ",100964940
"Nothofagus fusca",172.39633,-41.04961,"NZ",100965007
"Nothofagus fusca",172.49395,-41.10479,"NZ",100968990
"Nothofagus fusca",172.47899,-41.12386,"NZ",100981547
"Nothofagus fusca",172.49211,-41.12704,"NZ",100981874
"Nothofagus fusca",175.31557,-41.33435,"NZ",90967090
