"species","lon","lat","countryCode","gbifID"
"Phygelius aequalis",29.42763,-29.11169,"ZA",891159380
"Phygelius aequalis",30.375,-27.375,"ZA",329093606
"Phygelius aequalis",29.875,-29.875,"ZA",616306464
"Phygelius aequalis",30.375,-27.625,"ZA",616306461
"Phygelius aequalis",28.125,-26.125,"ZA",685237478
"Phygelius aequalis",29.625,-30.625,"ZA",616306462
"Phygelius aequalis",28.875,-28.625,"ZA",462162735
"Phygelius aequalis",30.625,-25.125,"ZA",462162736
"Phygelius aequalis",30.875,-24.875,"ZA",462162731
"Phygelius aequalis",29.875,-29.375,"ZA",462162728
"Phygelius aequalis",30.125,-25.375,"ZA",462162737
"Phygelius aequalis",28.875,-28.375,"ZA",462162727
"Phygelius aequalis",29.125,-29.625,"ZA",462162726
"Phygelius aequalis",28.375,-29.125,"ZA",462162720
"Phygelius aequalis",29.375,-29.625,"ZA",462162724
"Phygelius aequalis",30.875,-25.125,"ZA",462162722
"Phygelius aequalis",31.125,-26.125,"SZ",462162719
"Phygelius aequalis",28.875,-30.375,"ZA",462162717
"Phygelius aequalis",29.125,-28.375,"ZA",462162715
"Phygelius aequalis",30.625,-24.625,"ZA",462162711
"Phygelius aequalis",30.625,-25.375,"ZA",462162713
"Phygelius aequalis",30.875,-25.375,"ZA",462162695
"Phygelius aequalis",28.625,-28.625,"ZA",462162718
"Phygelius aequalis",29.875,-23.625,"ZA",462162709
"Phygelius aequalis",31.125,-25.875,"ZA",462162693
"Phygelius aequalis",30.625,-24.875,"ZA",462162694
"Phygelius aequalis",28.625,-28.375,"ZA",462162668
"Phygelius aequalis",30.125,-29.375,"ZA",462162705
"Phygelius aequalis",31.125,-26.375,"SZ",462162732
"Phygelius aequalis",29.125,-28.875,"ZA",462162703
"Phygelius aequalis",29.625,-27.875,"ZA",462162744
"Phygelius aequalis",30.125,-25.625,"ZA",462162691
"Phygelius aequalis",29.375,-29.125,"ZA",462162700
"Phygelius aequalis",30.375,-25.625,"ZA",462162692
"Phygelius aequalis",30.375,-25.375,"ZA",462162685
"Phygelius aequalis",30.125,-22.875,"ZA",462162671
"Phygelius aequalis",29.375,-28.625,"ZA",462162707
"Phygelius aequalis",30.125,-23.875,"ZA",462162738
"Phygelius aequalis",30.125,-27.375,"ZA",462162677
"Phygelius aequalis",28.375,-28.625,"ZA",462162740
"Phygelius aequalis",29.375,-29.375,"ZA",462162706
"Phygelius aequalis",29.875,-23.875,"ZA",462162673
"Phygelius aequalis",30.375,-25.125,"ZA",462162679
"Phygelius aequalis",30.125,-25.125,"ZA",462162681
