"species","lon","lat","countryCode","gbifID"
"Phygelius capensis",27.375,-30.625,"ZA",685237479
"Phygelius capensis",28.125,-30.625,"ZA",462162814
"Phygelius capensis",27.875,-30.625,"ZA",462162813
"Phygelius capensis",28.41,-29.33,"LS",321713946
"Phygelius capensis",27.875,-30.875,"ZA",462162816
"Phygelius capensis",28.375,-29.375,"LS",462162815
"Phygelius capensis",28.375,-29.625,"LS",462162810
"Phygelius capensis",28.625,-30.125,"ZA",462162809
"Phygelius capensis",28.875,-29.375,"LS",462162804
"Phygelius capensis",29.125,-29.375,"LS",462162805
"Phygelius capensis",28.125,-29.625,"LS",462162800
"Phygelius capensis",28.375,-30.375,"ZA",462162808
"Phygelius capensis",27.875,-29.375,"LS",462162799
"Phygelius capensis",28.625,-28.625,"ZA",462162795
"Phygelius capensis",28.875,-29.625,"LS",462162797
"Phygelius capensis",29.125,-29.875,"LS",462162796
"Phygelius capensis",28.125,-28.875,"LS",462162791
"Phygelius capensis",28.375,-28.625,"ZA",462162792
"Phygelius capensis",27.125,-30.625,"ZA",462162712
"Phygelius capensis",28.625,-28.375,"ZA",462162772
"Phygelius capensis",27.875,-28.875,"ZA",462162793
"Phygelius capensis",27.875,-29.625,"LS",462162776
"Phygelius capensis",29.375,-29.125,"ZA",462162774
"Phygelius capensis",28.375,-28.125,"ZA",462162769
"Phygelius capensis",28.375,-28.875,"LS",462162775
"Phygelius capensis",27.125,-32.625,"ZA",462162787
"Phygelius capensis",27.625,-30.875,"ZA",462162786
"Phygelius capensis",28.125,-29.375,"LS",462162773
"Phygelius capensis",26.875,-32.625,"ZA",462162798
"Phygelius capensis",26.625,-32.375,"ZA",462162790
"Phygelius capensis",26.875,-31.875,"ZA",462162785
"Phygelius capensis",28.63972,-28.77083,"LS",574669619
