"species","lon","lat","countryCode","gbifID"
"Phyllachne colensoi",172.85588,-41.87317,"NZ",1065593799
"Phyllachne colensoi",172.93176,-41.73827,"NZ",1065590128
"Phyllachne colensoi",171.68641,-43.12541,"NZ",1065595370
"Phyllachne colensoi",169.17457,-45.37734,"NZ",1088920880
"Phyllachne colensoi",176.14286,-39.80319,"NZ",1052606561
"Phyllachne colensoi",171.55237,-42.79137,"NZ",1052605272
"Phyllachne colensoi",172.8879,-41.82874,"NZ",1065592489
"Phyllachne colensoi",172.36641,-42.38727,"NZ",1065601554
"Phyllachne colensoi",172.35137,-42.39883,"NZ",1092904642
"Phyllachne colensoi",169.20937,-45.3408,"NZ",1065607654
"Phyllachne colensoi",175.6539,-39.11675,"NZ",1065581131
"Phyllachne colensoi",171.48951,-43.13086,"NZ",1038319185
"Phyllachne colensoi",168.64357,-45.02163,"NZ",1038329543
"Phyllachne colensoi",169.19169,-45.38979,"NZ",1065609936
"Phyllachne colensoi",176.0675,-39.99188,"NZ",1052599750
"Phyllachne colensoi",171.69011,-42.80175,"NZ",1038332392
"Phyllachne colensoi",170.44086,-45.12723,"NZ",1038312796
"Phyllachne colensoi",170.08776,-45.4168,"NZ",1038313543
"Phyllachne colensoi",169.71113,-44.20042,"NZ",1038314166
"Phyllachne colensoi",172.55157,-41.53833,"NZ",1038313954
"Phyllachne colensoi",174.10476,-41.08948,"NZ",1038313839
"Phyllachne colensoi",168.16667,-44.71667,"NZ",1092886454
"Phyllachne colensoi",146.52372,-42.6643900405069,"AU",1061576664
"Phyllachne colensoi",172.54938,-41.53839,"NZ",1038302112
"Phyllachne colensoi",169.155,-52.5512,"NZ",1091099760
"Phyllachne colensoi",172.42738,-42.16355,"NZ",1038323549
"Phyllachne colensoi",172.553,-40.8997,"NZ",1091200278
"Phyllachne colensoi",168.82,-45.0704,"NZ",1091217349
"Phyllachne colensoi",171.75,-43.3,"NZ",912300918
"Phyllachne colensoi",169.17,-44.87,"NZ",912301042
"Phyllachne colensoi",169.355,-44.1353,"NZ",1091157181
"Phyllachne colensoi",171.591,-42.9176,"NZ",1091164136
"Phyllachne colensoi",172.082,-42.314,"NZ",1091278607
"Phyllachne colensoi",169.312,-44.2402,"NZ",1091174927
"Phyllachne colensoi",167.44,-45.751,"NZ",1091185335
"Phyllachne colensoi",171.27528,-42.91267,"NZ",176045747
"Phyllachne colensoi",169.171,-44.8699,"NZ",1091203410
"Phyllachne colensoi",146.51667,-42.6500000405017,"AU",996691497
"Phyllachne colensoi",146.001046938522,-42.0652940622888,"AU",994511425
"Phyllachne colensoi",170.843,-43.1967,"NZ",1091235251
"Phyllachne colensoi",146.284380397042,-42.5486247236256,"AU",994499474
"Phyllachne colensoi",146.06,-41.91,"AU",40496512
"Phyllachne colensoi",172.867194312492,-41.8317713914397,"NZ",994551795
"Phyllachne colensoi",146.0667,-41.9167,"AU",993969276
"Phyllachne colensoi",168.206,-45.2828,"NZ",1091095281
"Phyllachne colensoi",170.589,-43.1944,"NZ",1091136412
"Phyllachne colensoi",172.450537299563,-42.2651140578235,"NZ",994551799
"Phyllachne colensoi",146.0333,-41.9,"AU",993949853
"Phyllachne colensoi",146.03,-41.9,"AU",40496420
"Phyllachne colensoi",146.0010437622,-41.8652927678558,"AU",994507154
"Phyllachne colensoi",146.517718685455,-42.665293416679,"AU",994495024
"Phyllachne colensoi",175.427,-40.8795,"NZ",1091313280
"Phyllachne colensoi",146.5167,-42.6667,"AU",994913425
"Phyllachne colensoi",146.034373255575,-41.8652924738333,"AU",994437165
"Phyllachne colensoi",170.57351,-43.54195,"NZ",91020858
"Phyllachne colensoi",170.58683,-43.55852,"NZ",91020856
"Phyllachne colensoi",170.26648,-43.56292,"NZ",91020825
"Phyllachne colensoi",170.25959,-43.56778,"NZ",91020821
"Phyllachne colensoi",170.14697,-43.69407,"NZ",91020798
"Phyllachne colensoi",170.62379,-43.50778,"NZ",91020877
"Phyllachne colensoi",170.14134,-43.69235,"NZ",91020808
"Phyllachne colensoi",170.57573,-43.54443,"NZ",91020862
"Phyllachne colensoi",170.64009,-43.55399,"NZ",91020846
"Phyllachne colensoi",170.26763,-43.56211,"NZ",91020823
"Phyllachne colensoi",170.25857,-43.61715,"NZ",91020843
"Phyllachne colensoi",170.63784,-43.55315,"NZ",91020845
"Phyllachne colensoi",170.01502,-43.84714,"NZ",91020897
"Phyllachne colensoi",170.00245,-44.0305,"NZ",91020895
"Phyllachne colensoi",170.62264,-43.5086,"NZ",91020865
"Phyllachne colensoi",170.61048,-43.64348,"NZ",91020827
"Phyllachne colensoi",170.6215,-43.50941,"NZ",91020863
"Phyllachne colensoi",170.56964,-43.57319,"NZ",91020810
"Phyllachne colensoi",169.84067,-43.90152,"NZ",91020832
"Phyllachne colensoi",170.58461,-43.63092,"NZ",91020885
"Phyllachne colensoi",170.57903,-43.62512,"NZ",91020888
"Phyllachne colensoi",170.52949,-43.46505,"NZ",91020835
"Phyllachne colensoi",170.5364,-43.52766,"NZ",91020826
"Phyllachne colensoi",170.69089,-43.56342,"NZ",91020831
"Phyllachne colensoi",170.57303,-43.57322,"NZ",91020815
"Phyllachne colensoi",169.84606,-44.03492,"NZ",91020747
"Phyllachne colensoi",169.75537,-44.05496,"NZ",91020753
"Phyllachne colensoi",169.84718,-44.03576,"NZ",91020840
"Phyllachne colensoi",171.848,-41.706,"NZ",1091208980
"Phyllachne colensoi",169.638,-45.6363,"NZ",1091173783
"Phyllachne colensoi",145.951038269978,-41.4652906665942,"AU",994432887
"Phyllachne colensoi",171.62,-43.52,"NZ",995651119
"Phyllachne colensoi",171.6,-43.4,"NZ",98116075
"Phyllachne colensoi",169.60245,-44.19818,"NZ",91020757
"Phyllachne colensoi",169.56877,-44.21326,"NZ",91020850
"Phyllachne colensoi",169.66039,-44.21066,"NZ",91020876
"Phyllachne colensoi",169.79338,-43.48358,"NZ",91020883
"Phyllachne colensoi",169.70449,-43.62213,"NZ",91020887
