"species","lon","lat","countryCode","gbifID"
"Phyllocladus trichomanoides",171.5601,-42.91102,"NZ",1065595940
"Phyllocladus trichomanoides",171.12667,-42.80829,"NZ",1088965842
"Phyllocladus trichomanoides",168.19932,-44.72597,"NZ",1088941515
"Phyllocladus trichomanoides",177.71949,-38.56216,"NZ",1088944870
"Phyllocladus trichomanoides",168.15957,-44.78547,"NZ",1088941445
"Phyllocladus trichomanoides",167.45073,-45.31368,"NZ",1088924088
"Phyllocladus trichomanoides",175.5835,-38.06539,"NZ",1088974103
"Phyllocladus trichomanoides",175.71501,-39.28005,"NZ",1088965772
"Phyllocladus trichomanoides",173.51708,-35.02038,"NZ",1135526686
"Phyllocladus trichomanoides",169.14602,-43.76071,"NZ",1038315009
"Phyllocladus trichomanoides",174.44076,-36.81782,"NZ",1038315898
"Phyllocladus trichomanoides",175.12281,-41.09425,"NZ",1038324204
"Phyllocladus trichomanoides",175.09455,-41.10152,"NZ",1038314723
"Phyllocladus trichomanoides",170.10279,-43.71498,"NZ",1065608930
"Phyllocladus trichomanoides",171.69993,-43.21226,"NZ",1099962748
"Phyllocladus trichomanoides",175.57105,-39.20339,"NZ",1038316630
"Phyllocladus trichomanoides",170.9016,-42.79681,"NZ",1038320389
"Phyllocladus trichomanoides",171.55851,-42.89877,"NZ",1038320101
"Phyllocladus trichomanoides",174.70329,-36.7375,"NZ",1038319211
"Phyllocladus trichomanoides",174.69883,-36.7375,"NZ",1038319186
"Phyllocladus trichomanoides",174.71597,-36.75676,"NZ",1038321327
"Phyllocladus trichomanoides",171.70983,-43.15165,"NZ",1038324531
"Phyllocladus trichomanoides",172.47638,-43.6405,"NZ",1038324309
"Phyllocladus trichomanoides",169.80986,-44.27814,"NZ",1092896385
"Phyllocladus trichomanoides",175.70135,-37.545,"NZ",1038330766
"Phyllocladus trichomanoides",171.56357,-42.93412,"NZ",1038329936
"Phyllocladus trichomanoides",175.93807,-39.01124,"NZ",1065595868
"Phyllocladus trichomanoides",171.51637,-42.94601,"NZ",1038331968
"Phyllocladus trichomanoides",171.7406,-42.95149,"NZ",1038336296
"Phyllocladus trichomanoides",175.56121,-38.69469,"NZ",1038341142
"Phyllocladus trichomanoides",174.71316,-36.67127,"NZ",1052576052
"Phyllocladus trichomanoides",174.70873,-36.54079,"NZ",1052574595
"Phyllocladus trichomanoides",174.71079,-36.66964,"NZ",1052576448
"Phyllocladus trichomanoides",168.4321,-45.23742,"NZ",1052576248
"Phyllocladus trichomanoides",174.7108,-36.54053,"NZ",1052574602
"Phyllocladus trichomanoides",174.71027,-36.66592,"NZ",1052576410
"Phyllocladus trichomanoides",172.40177,-42.37855,"NZ",1038345943
"Phyllocladus trichomanoides",175.41737,-36.50362,"NZ",1052604565
"Phyllocladus trichomanoides",174.54937,-37.00024,"NZ",1052604573
"Phyllocladus trichomanoides",171.63123,-43.02962,"NZ",1052604542
"Phyllocladus trichomanoides",171.74838,-42.98696,"NZ",1038300390
"Phyllocladus trichomanoides",168.21167,-44.96115,"NZ",1038302571
"Phyllocladus trichomanoides",171.5575,-42.91702,"NZ",1038304020
"Phyllocladus trichomanoides",175.99217,-37.80367,"NZ",1038304667
"Phyllocladus trichomanoides",174.47406,-36.84746,"NZ",1038307203
"Phyllocladus trichomanoides",175.99217,-37.80267,"NZ",1038308167
"Phyllocladus trichomanoides",175.97048,-37.78185,"NZ",1038311633
"Phyllocladus trichomanoides",175.98383,-37.80133,"NZ",1038311250
"Phyllocladus trichomanoides",175.96081,-37.78727,"NZ",1038311605
"Phyllocladus trichomanoides",175.06732,-36.21691,"NZ",1135206942
"Phyllocladus trichomanoides",172.23207,-43.19063,"NZ",1038311847
"Phyllocladus trichomanoides",175.73482,-38.54637,"NZ",1038313742
"Phyllocladus trichomanoides",175.53994,-39.2021,"NZ",1088904957
"Phyllocladus trichomanoides",172.59249,-43.36755,"NZ",1038313671
"Phyllocladus trichomanoides",169.06551,-44.96838,"NZ",1038299856
"Phyllocladus trichomanoides",176.25151,-38.16689,"NZ",922817413
"Phyllocladus trichomanoides",173.0119,-34.39535,"NZ",1088956485
"Phyllocladus trichomanoides",173.009,-34.3945,"NZ",1091138587
"Phyllocladus trichomanoides",169.87696,-44.41343,"NZ",1038304695
"Phyllocladus trichomanoides",173.019,-34.3962,"NZ",1091158332
"Phyllocladus trichomanoides",170.99666,-42.71669,"NZ",176042385
"Phyllocladus trichomanoides",169.96319,-43.43965,"NZ",176044901
"Phyllocladus trichomanoides",167.85414,-45.53278,"NZ",1038305193
"Phyllocladus trichomanoides",168.58487,-46.48298,"NZ",176042391
"Phyllocladus trichomanoides",167.84675,-45.53467,"NZ",176040325
"Phyllocladus trichomanoides",171.17811,-42.81337,"NZ",176044723
"Phyllocladus trichomanoides",171.18315,-42.8166,"NZ",176043132
"Phyllocladus trichomanoides",171.17989,-42.81502,"NZ",176044985
"Phyllocladus trichomanoides",171.18243,-42.81614,"NZ",176043097
"Phyllocladus trichomanoides",171.1738,-42.8142,"NZ",176045793
"Phyllocladus trichomanoides",171.18557,-42.81745,"NZ",176044718
"Phyllocladus trichomanoides",171.18424,-42.81698,"NZ",176043099
"Phyllocladus trichomanoides",171.17651,-42.81371,"NZ",176044913
"Phyllocladus trichomanoides",171.1901,-42.82167,"NZ",176043085
"Phyllocladus trichomanoides",171.18857,-42.81966,"NZ",176043130
"Phyllocladus trichomanoides",171.18703,-42.81792,"NZ",176044767
"Phyllocladus trichomanoides",171.62143,-43.03056,"NZ",176042366
"Phyllocladus trichomanoides",171.46103,-42.57069,"NZ",176040236
"Phyllocladus trichomanoides",171.72,-43.13,"NZ",912300946
"Phyllocladus trichomanoides",174.11798,-35.25667,"NZ",176040241
"Phyllocladus trichomanoides",171.919,-42.0704,"NZ",1091198700
"Phyllocladus trichomanoides",175.662,-37.0474,"NZ",1091322527
"Phyllocladus trichomanoides",172.49874,-41.59369,"NZ",160911939
"Phyllocladus trichomanoides",173.017,-34.3945,"NZ",1091106238
"Phyllocladus trichomanoides",176.236,-37.85446,"NZ",160921983
"Phyllocladus trichomanoides",177.907,-39.2017,"NZ",1091202013
"Phyllocladus trichomanoides",177.123,-38.6563,"NZ",1091330822
"Phyllocladus trichomanoides",175.25018,-41.00489,"NZ",160903249
"Phyllocladus trichomanoides",168.08333,-44.86667,"NZ",995542294
"Phyllocladus trichomanoides",171.562,-42.8768,"NZ",1091290027
"Phyllocladus trichomanoides",169.98,-43.4293,"NZ",1091157988
"Phyllocladus trichomanoides",171.61194,-43.02083,"NZ",574758153
