"species","lon","lat","countryCode","gbifID"
"Pinus contorta",-110.69412,44.72325,"US",1088897277
"Pinus contorta",-135.63865,57.05332,"US",1092897144
"Pinus contorta",-120.23286,39.32146,"US",1098897830
"Pinus contorta",-120.24143,39.43124,"US",1098916712
"Pinus contorta",-120.24143,39.43126,"US",1098916678
"Pinus contorta",-120.24001,39.42962,"US",1092907405
"Pinus contorta",-119.53836,37.90141,"US",1098903025
"Pinus contorta",-120.24098,39.43186,"US",1099963910
"Pinus contorta",-119.33922,37.88287,"US",1099975782
"Pinus contorta",-120.11832,38.94901,"US",1134965678
"Pinus contorta",-122.76134,48.14143,"US",891034130
"Pinus contorta",-120.03696,38.81988,"US",891051664
"Pinus contorta",-120.34922,39.3446,"US",899951519
"Pinus contorta",-122.29476,47.65622,"US",899974349
"Pinus contorta",-120.21947,39.19913,"US",899960284
"Pinus contorta",-119.24235,37.93683,"US",923914106
"Pinus contorta",-121.8158,46.74968,"US",1052568751
"Pinus contorta",-120.2324,39.32187,"US",910497271
"Pinus contorta",-120.17662,39.34514,"US",923922270
"Pinus contorta",-119.99385,38.67234,"US",923919615
"Pinus contorta",-120.48873,39.61539,"US",1024183883
"Pinus contorta",-120.02598,38.865209999078,"US",1036400610
"Pinus contorta",-134.69333,60.18726,"CA",1038772930
"Pinus contorta",-110.80695,44.54999,"US",1024202741
"Pinus contorta",-135.02858,60.66176,"CA",1038769798
"Pinus contorta",-120.24087,39.42747,"US",1024187137
"Pinus contorta",-111.09551,44.65815,"US",1024202743
"Pinus contorta",-134.99579,60.68839,"CA",1038769463
"Pinus contorta",-110.82566,44.46348,"US",1024202751
"Pinus contorta",-110.83112,44.5935,"US",1024202754
"Pinus contorta",-118.88528,37.55475,"US",1024219968
"Pinus contorta",-120.24021,39.42493,"US",1024216318
"Pinus contorta",-119.41295,37.84096,"US",1024217715
"Pinus contorta",-120.13016,38.80451,"US",1024207079
"Pinus contorta",-110.49718,44.71509,"US",1024202781
"Pinus contorta",-121.23557,43.70482,"US",1052571415
"Pinus contorta",-110.73309,43.69655,"US",1065583083
"Pinus contorta",-135.34178,57.05868,"US",1038341622
"Pinus contorta",-135.34172,57.05863,"US",1088895357
"Pinus contorta",-135.34411,57.0596,"US",1038341574
"Pinus contorta",-120.04017,38.86617,"US",891124025
"Pinus contorta",-122.27071,47.78014,"US",891140827
"Pinus contorta",-123.68903,39.24139,"US",891155966
"Pinus contorta",-120.12815,38.80754,"US",891155077
"Pinus contorta",-120.24449,39.43344,"US",891717808
"Pinus contorta",-120.24189,39.43137,"US",891168558
"Pinus contorta",-116.25186,44.76862,"US",891717348
