"species","lon","lat","countryCode","gbifID"
"Pinus halepensis",3.86537,43.64802,"FR",1076796803
"Pinus halepensis",2.10498,41.421,"ES",1088919238
"Pinus halepensis",3.83253,43.6479,"FR",1076796805
"Pinus halepensis",7.20301,44.06409,"FR",1076796799
"Pinus halepensis",5.53916,43.21694,"FR",1076796796
"Pinus halepensis",3.83283,43.65844,"FR",1076796792
"Pinus halepensis",3.73329,43.64437,"FR",1096935255
"Pinus halepensis",3.83592,43.65736,"FR",1076796801
"Pinus halepensis",2.96523,43.14034,"FR",1076796804
"Pinus halepensis",4.54359,43.92043,"FR",1096935254
"Pinus halepensis",-2.02335,36.85241,"ES",1135527241
"Pinus halepensis",8.11821,43.93663,"IT",923010657
"Pinus halepensis",8.1192,43.93094,"IT",923021859
"Pinus halepensis",-9.17189,38.44316,"PT",1075194845
"Pinus halepensis",3.86136,43.63535,"FR",998835067
"Pinus halepensis",-9.40359,38.89318,"PT",1075196034
"Pinus halepensis",4.84045,43.52299,"FR",998835061
"Pinus halepensis",5.4251,43.73286,"FR",998835116
"Pinus halepensis",3.82573,43.68739,"FR",998835117
"Pinus halepensis",4.99659,43.41361,"FR",998835049
"Pinus halepensis",-8.94263,38.53339,"PT",1075196097
"Pinus halepensis",3.86303,43.63191,"FR",998835114
"Pinus halepensis",5.4305,43.72371,"FR",998835065
"Pinus halepensis",3.87689,43.67664,"FR",998835128
"Pinus halepensis",5.83997,43.79871,"FR",998835119
"Pinus halepensis",3.86123,43.67372,"FR",998835123
"Pinus halepensis",3.87849,43.67439,"FR",998835134
"Pinus halepensis",3.8698,43.67225,"FR",998835122
"Pinus halepensis",3.80668,43.78769,"FR",998835040
"Pinus halepensis",3.84604,43.6725,"FR",998835124
"Pinus halepensis",5.05759,43.39427,"FR",998835066
"Pinus halepensis",-9.17297,38.89375,"PT",1075198876
"Pinus halepensis",3.87457,43.67794,"FR",998835126
"Pinus halepensis",6.17767,43.9349,"FR",998835118
"Pinus halepensis",3.87581,43.67678,"FR",998835130
"Pinus halepensis",3.93285,43.77994,"FR",998835115
"Pinus halepensis",4.77727,43.97993,"FR",998835096
"Pinus halepensis",6.17491,43.93545,"FR",998835060
"Pinus halepensis",5.41616,43.34096,"FR",998835062
"Pinus halepensis",3.87736,43.67651,"FR",998835132
"Pinus halepensis",3.80774,43.7862,"FR",998835095
"Pinus halepensis",3.86018,43.65444,"FR",998835121
"Pinus halepensis",3.85551,43.66234,"FR",998835125
"Pinus halepensis",3.80624,43.78831,"FR",998835027
"Pinus halepensis",3.8712,43.68081,"FR",998835127
"Pinus halepensis",3.85059,43.66066,"FR",1036340408
"Pinus halepensis",3.85082,43.6719,"FR",1036340478
"Pinus halepensis",5.38472,43.33779,"FR",998835141
"Pinus halepensis",3.85635,43.65497,"FR",1036340421
"Pinus halepensis",3.86126,43.67759,"FR",1036340471
"Pinus halepensis",3.85376,43.66096,"FR",1036340409
"Pinus halepensis",3.88029,43.68561,"FR",1036340440
"Pinus halepensis",3.86606,43.65586,"FR",1036340404
"Pinus halepensis",3.85305,43.6759,"FR",1036340466
"Pinus halepensis",3.87779,43.68515,"FR",1036340411
"Pinus halepensis",3.84319,43.67026,"FR",998835137
"Pinus halepensis",5.33858,43.49275,"FR",998835154
"Pinus halepensis",3.86747,43.66379,"FR",998835139
"Pinus halepensis",3.85389,43.66326,"FR",1036340429
"Pinus halepensis",3.87,43.65135,"FR",998835153
"Pinus halepensis",26,38.3863,"GR",923012659
"Pinus halepensis",2.85456,39.68255,"ES",923032917
"Pinus halepensis",5.33891,43.49167,"FR",998835143
"Pinus halepensis",3.85505,43.67534,"FR",1036340464
"Pinus halepensis",3.86951,43.67697,"FR",998835146
"Pinus halepensis",3.8803,43.67246,"FR",1036340451
"Pinus halepensis",3.88221,43.67397,"FR",1036340455
"Pinus halepensis",3.86798,43.6647,"FR",998835131
"Pinus halepensis",3.87086,43.66448,"FR",998835144
"Pinus halepensis",3.8719,43.66657,"FR",998835135
"Pinus halepensis",3.13419,39.77411,"ES",923036665
"Pinus halepensis",3.88225,43.68541,"FR",1036340438
"Pinus halepensis",3.85036,43.66116,"FR",1036340406
"Pinus halepensis",3.8562,43.65858,"FR",1036340410
"Pinus halepensis",3.85501,43.66343,"FR",1036340432
"Pinus halepensis",3.86753,43.66055,"FR",998835145
"Pinus halepensis",3.87179,43.67152,"FR",1036340446
"Pinus halepensis",3.1402,39.7621,"ES",922969491
"Pinus halepensis",-1.0621,39.3457,"ES",728754023
"Pinus halepensis",26.01972,38.3725,"GR",922969094
"Pinus halepensis",3.89999,43.59618,"FR",998835098
"Pinus halepensis",3.85872,43.67127,"FR",1036340469
"Pinus halepensis",3.85247,43.65897,"FR",1036340425
"Pinus halepensis",3.87918,43.67173,"FR",1036340450
"Pinus halepensis",3.87413,43.67417,"FR",1036340456
"Pinus halepensis",3.85395,43.67181,"FR",1036340468
"Pinus halepensis",3.87034,43.67152,"FR",1036340443
"Pinus halepensis",3.12492,39.77226,"ES",922989870
"Pinus halepensis",3.85343,43.66569,"FR",1036340475
"Pinus halepensis",3.85341,43.66968,"FR",1036340482
"Pinus halepensis",3.86456,43.68048,"FR",1036340473
"Pinus halepensis",3.87298,43.683,"FR",1036340457
"Pinus halepensis",3.22826,39.73577,"ES",923000475
"Pinus halepensis",26.02083,38.30083,"GR",923009028
"Pinus halepensis",4.58402,36.25385,"DZ",1051885166
"Pinus halepensis",3.85899,43.66116,"FR",998835136
"Pinus halepensis",3.87753,43.67116,"FR",1036340448
"Pinus halepensis",3.14681,39.76577,"ES",923004874
"Pinus halepensis",3.02021,39.86732,"ES",922973123
"Pinus halepensis",-8.71349,39.31091,"PT",922986730
"Pinus halepensis",3.87,43.64856,"FR",998835138
"Pinus halepensis",3.84574,43.66906,"FR",998835129
"Pinus halepensis",3.86236,43.66771,"FR",1036340435
"Pinus halepensis",3.85796,43.65875,"FR",1036340413
"Pinus halepensis",2.35271,39.57834,"ES",922980616
"Pinus halepensis",-9.0573,38.44327,"PT",1075203877
"Pinus halepensis",3.32937,39.75907,"ES",923036281
"Pinus halepensis",3.89991,43.59624,"FR",998835031
"Pinus halepensis",5.33338,43.49105,"FR",998835158
"Pinus halepensis",3.8731,43.68237,"FR",1036340460
"Pinus halepensis",3.88114,43.67298,"FR",1036340453
"Pinus halepensis",3.1585,39.75384,"ES",922960014
"Pinus halepensis",3.2347,39.72673,"ES",922977454
"Pinus halepensis",3.87277,43.6825,"FR",1036340458
"Pinus halepensis",3.18398,39.74079,"ES",922967031
"Pinus halepensis",5.33395,43.49109,"FR",998835140
"Pinus halepensis",3.85241,43.67517,"FR",1036340480
"Pinus halepensis",3.84335,43.66974,"FR",998835133
"Pinus halepensis",3.18406,39.35013,"ES",922959949
"Pinus halepensis",5.50238,43.22768,"FR",998835156
"Pinus halepensis",3.12552,39.78202,"ES",1038773475
"Pinus halepensis",3.34155,43.35769,"FR",998835164
"Pinus halepensis",3.07259,43.13243,"FR",998835147
"Pinus halepensis",3.12024,43.14385,"FR",998835150
"Pinus halepensis",3.06952,43.13062,"FR",998835142
"Pinus halepensis",3.07145,43.13133,"FR",998835161
"Pinus halepensis",6.05991,43.11469,"FR",998835099
"Pinus halepensis",3.06904,43.13137,"FR",998835160
"Pinus halepensis",4.06876,43.70229,"FR",998835149
"Pinus halepensis",3.87871,43.68335,"FR",1036340447
"Pinus halepensis",3.87895,43.67896,"FR",1036340426
"Pinus halepensis",3.88031,43.68194,"FR",1036340433
"Pinus halepensis",16.64145,43.12999,"HR",1038779112
"Pinus halepensis",3.88254,43.68251,"FR",1036340422
"Pinus halepensis",4.0483,43.71453,"FR",998835173
"Pinus halepensis",3.86294,43.66759,"FR",1036340436
"Pinus halepensis",3.85307,43.67537,"FR",1036340441
"Pinus halepensis",3.87989,43.68123,"FR",1036340430
"Pinus halepensis",3.86743,43.68171,"FR",1036340445
"Pinus halepensis",5.52824,43.42315,"FR",998835148
