"species","lon","lat","countryCode","gbifID"
"Pinus nigra",3.84268,43.6414,"FR",1051885175
"Pinus nigra",171.78018,-43.09094,"NZ",1065614477
"Pinus nigra",171.72793,-43.18088,"NZ",1065614498
"Pinus nigra",2.85742,45.13859,"FR",1132396747
"Pinus nigra",2.85459,45.14078,"FR",1132396748
"Pinus nigra",0.10534,47.37463,"FR",1096935259
"Pinus nigra",3.66855,46.53117,"FR",998835250
"Pinus nigra",2.55158,48.39696,"FR",998835194
"Pinus nigra",6.17638,43.93724,"FR",998835176
"Pinus nigra",6.17491,43.93545,"FR",998835235
"Pinus nigra",-73.97053,40.77947,"US",1097063412
"Pinus nigra",-8.71349,39.31091,"PT",922986754
"Pinus nigra",172.61754,-43.53064,"NZ",1038323834
"Pinus nigra",9.14902,42.30941,"FR",1051885181
"Pinus nigra",22.1811,41.7332,"MK",1038770383
"Pinus nigra",8.4054,47.84681,"DE",1038770629
"Pinus nigra",3.00631,44.15652,"FR",1036340418
"Pinus nigra",3.89098,43.6334,"FR",998835200
"Pinus nigra",3.0775,46.98767,"FR",998835207
"Pinus nigra",3.49874,43.73816,"FR",998835185
"Pinus nigra",3.86852,43.76043,"FR",998835182
"Pinus nigra",3.89197,43.62945,"FR",998835227
"Pinus nigra",3.86736,43.72196,"FR",998835214
"Pinus nigra",7.47049,48.479,"FR",998835216
"Pinus nigra",13.62028,45.77026,"IT",1065615059
"Pinus nigra",7.83922,47.82512,"DE",922961093
"Pinus nigra",10.11798,48.43695,"DE",922972718
"Pinus nigra",10.90841,48.27234,"DE",923046241
"Pinus nigra",-1.51679,47.51816,"FR",998835195
"Pinus nigra",9.87843,47.91174,"DE",922980674
"Pinus nigra",17.15556,42.99722,"HR",890171371
"Pinus nigra",17.15567,42.99708,"HR",890155857
"Pinus nigra",17.14278,42.99583,"HR",890180170
"Pinus nigra",17.12861,42.98944,"HR",890173238
"Pinus nigra",16.97972,42.95111,"HR",1088887250
"Pinus nigra",17.12856,42.98942,"HR",890154213
"Pinus nigra",3.99516,44.18628,"FR",998835184
"Pinus nigra",17.14269,42.99569,"HR",890154902
"Pinus nigra",17.28056,42.96944,"HR",890167563
"Pinus nigra",17.28045,42.96952,"HR",890154908
"Pinus nigra",2.15693,41.36161,"ES",998835218
"Pinus nigra",-1.51698,47.51807,"FR",998835190
"Pinus nigra",19.58982,40.19972,"AL",923045766
"Pinus nigra",16.2775,47.98333,"AT",874782356
"Pinus nigra",32.86317,34.90485,"CY",922989975
"Pinus nigra",6.23586,43.90414,"FR",615507042
"Pinus nigra",-0.58528,47.44208,"FR",615507038
"Pinus nigra",-0.71943,48.10176,"FR",998835229
"Pinus nigra",3.35495,43.62304,"FR",623713074
"Pinus nigra",14.13451,41.99072,"IT",923005575
"Pinus nigra",3.56483,44.33565,"FR",998835186
"Pinus nigra",0.18721,48.02954,"FR",998835198
"Pinus nigra",0.16891,47.9065,"FR",998835210
"Pinus nigra",0.16647,48.01625,"FR",998835181
"Pinus nigra",3.44353,44.11761,"FR",998835188
"Pinus nigra",11.21234,47.43531,"DE",923045522
"Pinus nigra",11.18386,47.48675,"DE",922999269
"Pinus nigra",11.2533,47.42736,"DE",922962423
"Pinus nigra",16.9392,48.13207,"AT",923030600
"Pinus nigra",5.44098,46.06847,"FR",998835191
"Pinus nigra",-8.80733,37.395,"PT",922977495
"Pinus nigra",10.0185,47.71103,"DE",922993122
"Pinus nigra",7.95888,47.55617,"DE",923022820
"Pinus nigra",2.65437,42.99381,"FR",615506943
"Pinus nigra",7.85278,48.1203,"DE",899795960
"Pinus nigra",2.65192,42.93559,"FR",615506944
"Pinus nigra",2.65503,43.01069,"FR",615506941
"Pinus nigra",4.79745,47.0847,"FR",474594812
"Pinus nigra",8.82947,42.26599,"FR",453408279
"Pinus nigra",16.23306,48.12556,"AT",698911462
"Pinus nigra",2.64221,42.86038,"FR",615506955
"Pinus nigra",11.79639,43.01028,"IT",874782263
"Pinus nigra",10.15222,48.23861,"DE",922992651
"Pinus nigra",2.64691,42.89624,"FR",615506953
"Pinus nigra",2.64663,42.89455,"FR",615506951
"Pinus nigra",10.16905,42.776,"IT",922994156
"Pinus nigra",3.67536,44.11926,"FR",366987666
"Pinus nigra",3.24669,44.17207,"FR",922959005
"Pinus nigra",2.22226,47.2745,"FR",416102201
"Pinus nigra",3.67411,44.11899,"FR",366987655
"Pinus nigra",16.14682,47.75866,"AT",891039044
"Pinus nigra",10.5588,46.67885,"IT",922967628
