"species","lon","lat","countryCode","gbifID"
"Podocarpus henkelii",30.375,-27.375,"ZA",462176740
"Podocarpus henkelii",28.375,-25.875,"ZA",462176741
"Podocarpus henkelii",28.125,-31.125,"ZA",462176739
"Podocarpus henkelii",28.125,-26.125,"ZA",462176738
"Podocarpus henkelii",29.625,-30.625,"ZA",462176742
"Podocarpus henkelii",30.375,-29.625,"ZA",462176737
"Podocarpus henkelii",30.125,-29.375,"ZA",462176724
"Podocarpus henkelii",30.05,-29.4,"ZA",912253564
"Podocarpus henkelii",31.375,-27.875,"ZA",616307639
"Podocarpus henkelii",23.125,-33.875,"ZA",462176735
"Podocarpus henkelii",29.125,-28.875,"ZA",462176722
"Podocarpus henkelii",30.23,-28.25,"ZA",912253574
"Podocarpus henkelii",29.875,-29.875,"ZA",462176720
"Podocarpus henkelii",29.125,-30.625,"ZA",462176725
"Podocarpus henkelii",29.875,-31.375,"ZA",462176727
"Podocarpus henkelii",29.42,-30.75,"ZA",912253586
"Podocarpus henkelii",29.625,-30.125,"ZA",462176729
"Podocarpus henkelii",29.52,-30.15,"ZA",912253592
"Podocarpus henkelii",29.57,-30.75,"ZA",912253556
"Podocarpus henkelii",29.625,-30.875,"ZA",462176732
"Podocarpus henkelii",29.375,-29.625,"ZA",616307634
