"species","lon","lat","countryCode","gbifID"
"Protea cynaroides",18.40131,-33.96045,"ZA",998848199
"Protea cynaroides",26.4981,-33.3292,"ZA",996211992
"Protea cynaroides",20.54655,-34.36737,"ZA",699270027
"Protea cynaroides",21.18966,-33.95615,"ZA",699269100
"Protea cynaroides",18.9457,-34.30895,"ZA",699269105
"Protea cynaroides",19.13494,-33.91268,"ZA",923146056
"Protea cynaroides",22.0485,-33.34883,"ZA",923152170
"Protea cynaroides",18.40681,-33.96277,"ZA",891087702
"Protea cynaroides",18.9915,-34.326,"ZA",1052596560
"Protea cynaroides",26.5,-33.33,"ZA",996148261
"Protea cynaroides",18.875,-34.375,"ZA",462190027
"Protea cynaroides",25.375,-34.125,"ZA",462190076
"Protea cynaroides",20.875,-34.125,"ZA",462190044
"Protea cynaroides",19.625,-33.875,"ZA",462190019
"Protea cynaroides",19.43,-33.43,"ZA",321939224
"Protea cynaroides",18.87,-34.87,"ZA",321939285
"Protea cynaroides",26.375,-33.375,"ZA",462190018
"Protea cynaroides",19.375,-34.375,"ZA",462190067
"Protea cynaroides",19.125,-33.625,"ZA",462190106
"Protea cynaroides",20.625,-34.375,"ZA",462190132
"Protea cynaroides",19.125,-33.125,"ZA",462190136
"Protea cynaroides",19.625,-34.625,"ZA",462190134
"Protea cynaroides",19.125,-34.375,"ZA",462190065
"Protea cynaroides",19.375,-33.125,"ZA",462190082
"Protea cynaroides",19.875,-34.625,"ZA",462190111
"Protea cynaroides",21.125,-33.875,"ZA",462190112
"Protea cynaroides",23.125,-33.875,"ZA",462190095
"Protea cynaroides",25.125,-33.875,"ZA",462190133
"Protea cynaroides",21.375,-33.875,"ZA",462190085
"Protea cynaroides",25.125,-33.625,"ZA",462189998
"Protea cynaroides",18.375,-34.125,"ZA",462190037
"Protea cynaroides",19.125,-34.125,"ZA",462190023
"Protea cynaroides",19.375,-33.875,"ZA",462190117
"Protea cynaroides",23.125,-34.125,"ZA",462190054
"Protea cynaroides",23.875,-34.125,"ZA",462190078
"Protea cynaroides",22.875,-33.875,"ZA",462190031
"Protea cynaroides",24.625,-33.625,"ZA",462190143
"Protea cynaroides",24.375,-33.875,"ZA",462190090
"Protea cynaroides",18.875,-34.125,"ZA",462190046
"Protea cynaroides",22.375,-33.875,"ZA",462190113
"Protea cynaroides",25.625,-33.875,"ZA",462190012
"Protea cynaroides",20.375,-34.125,"ZA",462190138
"Protea cynaroides",19.375,-34.125,"ZA",462190125
"Protea cynaroides",19.625,-34.375,"ZA",462190126
"Protea cynaroides",19.125,-33.875,"ZA",462190053
"Protea cynaroides",24.375,-34.125,"ZA",462189985
"Protea cynaroides",18.875,-33.875,"ZA",462190002
"Protea cynaroides",21.875,-33.875,"ZA",462190098
"Protea cynaroides",19.125,-33.375,"ZA",462190073
"Protea cynaroides",20.125,-34.625,"ZA",462190004
"Protea cynaroides",22.125,-33.875,"ZA",462190116
"Protea cynaroides",20.625,-33.875,"ZA",462190099
"Protea cynaroides",18.625,-32.625,"ZA",462190103
"Protea cynaroides",23.625,-32.125,"ZA",462190068
"Protea cynaroides",20.375,-33.875,"ZA",462190100
"Protea cynaroides",21.375,-33.375,"ZA",462190072
"Protea cynaroides",23.625,-33.875,"ZA",462189984
"Protea cynaroides",18.375,-33.875,"ZA",462190077
"Protea cynaroides",18.625,-33.875,"ZA",462189995
"Protea cynaroides",20.875,-34.375,"ZA",462190042
"Protea cynaroides",24.875,-34.125,"ZA",462190122
"Protea cynaroides",24.125,-32.125,"ZA",462190052
"Protea cynaroides",25.375,-33.875,"ZA",462190088
"Protea cynaroides",19.375,-33.375,"ZA",462190139
"Protea cynaroides",20.125,-34.125,"ZA",462189993
"Protea cynaroides",26.625,-33.375,"ZA",462189997
"Protea cynaroides",18.86561,-33.93635,"ZA",912715989
"Protea cynaroides",23.375,-33.875,"ZA",462190144
"Protea cynaroides",21.375,-34.125,"ZA",462189992
"Protea cynaroides",18.39445,-33.94116,"ZA",912716001
