"species","lon","lat","countryCode","gbifID"
"Protea neriifolia",20.70682,-34.43171,"ZA",699269956
"Protea neriifolia",21.21965,-33.9572,"ZA",699269787
"Protea neriifolia",20.625,-34.375,"ZA",462191758
"Protea neriifolia",19.125,-33.625,"ZA",462191757
"Protea neriifolia",22.375,-33.875,"ZA",462191754
"Protea neriifolia",22.375,-33.125,"ZA",329093742
"Protea neriifolia",22.875,-33.625,"ZA",329093744
"Protea neriifolia",23.625,-33.875,"ZA",462191756
"Protea neriifolia",23.375,-33.875,"ZA",462191755
"Protea neriifolia",23.875,-33.875,"ZA",462191752
"Protea neriifolia",18.875,-34.375,"ZA",462191821
"Protea neriifolia",22.375,-34.125,"ZA",462191733
"Protea neriifolia",21.875,-33.875,"ZA",462191825
"Protea neriifolia",23.125,-33.875,"ZA",462191728
"Protea neriifolia",19.625,-33.875,"ZA",462191729
"Protea neriifolia",23.875,-33.625,"ZA",462191750
"Protea neriifolia",21.875,-33.625,"ZA",462191830
"Protea neriifolia",20.875,-33.875,"ZA",462191721
"Protea neriifolia",18.875,-33.875,"ZA",462191720
"Protea neriifolia",22.125,-33.875,"ZA",462191716
"Protea neriifolia",21.125,-33.875,"ZA",462191718
"Protea neriifolia",19.375,-33.125,"ZA",462191717
"Protea neriifolia",21.375,-33.625,"ZA",462191817
"Protea neriifolia",24.125,-33.625,"ZA",462191835
"Protea neriifolia",18.625,-33.125,"ZA",462191809
"Protea neriifolia",20.625,-33.375,"ZA",462191813
"Protea neriifolia",20.625,-33.625,"ZA",462191798
"Protea neriifolia",19.875,-33.875,"ZA",462191797
"Protea neriifolia",18.875,-33.625,"ZA",462191820
"Protea neriifolia",19.125,-33.125,"ZA",462191846
"Protea neriifolia",25.125,-33.875,"ZA",462191695
"Protea neriifolia",21.125,-34.125,"ZA",462191704
"Protea neriifolia",24.125,-33.875,"ZA",462191732
"Protea neriifolia",21.625,-34.125,"ZA",462191766
"Protea neriifolia",19.125,-33.875,"ZA",462191701
"Protea neriifolia",19.375,-33.625,"ZA",462191867
"Protea neriifolia",19.875,-34.125,"ZA",462191784
"Protea neriifolia",19.125,-34.125,"ZA",462191735
"Protea neriifolia",23.375,-33.625,"ZA",462191725
"Protea neriifolia",25.125,-33.625,"ZA",462191662
"Protea neriifolia",20.125,-34.625,"ZA",462191664
"Protea neriifolia",20.375,-33.875,"ZA",462191736
"Protea neriifolia",25.625,-33.875,"ZA",462191849
"Protea neriifolia",21.875,-34.375,"ZA",462191647
"Protea neriifolia",22.625,-33.875,"ZA",462191873
"Protea neriifolia",24.375,-33.625,"ZA",462191836
"Protea neriifolia",18.375,-33.875,"ZA",462191810
"Protea neriifolia",18.875,-34.125,"ZA",462191689
"Protea neriifolia",19.625,-34.125,"ZA",462191880
"Protea neriifolia",23.125,-33.625,"ZA",462191875
"Protea neriifolia",19.375,-34.125,"ZA",462191859
"Protea neriifolia",24.625,-33.875,"ZA",462191883
"Protea neriifolia",19.375,-32.875,"ZA",462191891
"Protea neriifolia",19.875,-34.375,"ZA",462191641
"Protea neriifolia",22.125,-33.625,"ZA",462191827
"Protea neriifolia",19.875,-33.625,"ZA",462191782
"Protea neriifolia",23.125,-34.125,"ZA",462191864
"Protea neriifolia",24.375,-33.875,"ZA",462191793
"Protea neriifolia",21.625,-33.625,"ZA",462191856
"Protea neriifolia",19.125,-33.375,"ZA",462191788
"Protea neriifolia",24.875,-33.625,"ZA",462191823
"Protea neriifolia",20.625,-33.875,"ZA",462191853
"Protea neriifolia",24.875,-34.125,"ZA",462191792
"Protea neriifolia",25.375,-33.875,"ZA",462191847
"Protea neriifolia",24.125,-34.125,"ZA",462191774
"Protea neriifolia",20.875,-34.375,"ZA",685238859
"Protea neriifolia",20.375,-34.125,"ZA",685238847
"Protea neriifolia",19.375,-33.875,"ZA",462191679
"Protea neriifolia",24.625,-34.125,"ZA",462191683
"Protea neriifolia",18.375,-34.125,"ZA",462191668
"Protea neriifolia",22.125,-34.125,"ZA",462191651
