"species","lon","lat","countryCode","gbifID"
"Protea repens",19.0225,-31.37082,"ZA",699269500
"Protea repens",18.64453,-32.72661,"ZA",699269495
"Protea repens",23.05253,-33.7258,"ZA",699269494
"Protea repens",20.70408,-33.49368,"ZA",699269493
"Protea repens",19.99313,-34.10228,"ZA",699269507
"Protea repens",21.28479,-33.45616,"ZA",699269499
"Protea repens",22.0459,-33.34952,"ZA",699269490
"Protea repens",19.03363,-34.33108,"ZA",699269502
"Protea repens",19.10675,-32.4064,"ZA",699269497
"Protea repens",20.0386,-34.54592,"ZA",699269501
"Protea repens",24.07327,-33.87467,"ZA",699269492
"Protea repens",19.276,-33.36541,"ZA",699269505
"Protea repens",25.0423,-33.85451,"ZA",699269504
"Protea repens",20.10137,-33.7839,"ZA",699269498
"Protea repens",26.09838,-33.2408,"ZA",699269508
"Protea repens",23.63356,-33.49335,"ZA",699269496
"Protea repens",18.55111,-33.51603,"ZA",699269506
"Protea repens",20.60545,-34.41555,"ZA",699269509
"Protea repens",21.21981,-33.96789,"ZA",699269503
"Protea repens",24.08796,-33.5228,"ZA",699269950
"Protea repens",20.70682,-34.43171,"ZA",699270031
"Protea repens",19.16503,-34.21185,"ZA",699269106
"Protea repens",22.10204,-33.36777,"ZA",699269957
"Protea repens",19.10213,-33.94146,"ZA",699269491
"Protea repens",18.97,-34.32,"ZA",1007594076
"Protea repens",19.125,-33.625,"ZA",462192543
"Protea repens",20.625,-33.625,"ZA",462192520
"Protea repens",18.875,-34.125,"ZA",462192633
"Protea repens",20.875,-33.625,"ZA",462192571
"Protea repens",18.875,-34.375,"ZA",462192630
"Protea repens",18.875,-33.875,"ZA",462192667
"Protea repens",19.625,-33.875,"ZA",462192518
"Protea repens",19.125,-34.375,"ZA",462192516
"Protea repens",24.125,-34.125,"ZA",462192656
"Protea repens",23.875,-33.625,"ZA",462192527
"Protea repens",21.625,-34.375,"ZA",462192613
"Protea repens",21.875,-33.625,"ZA",462192614
"Protea repens",20.625,-33.375,"ZA",462192615
"Protea repens",26.125,-33.125,"ZA",462192514
"Protea repens",21.375,-33.375,"ZA",462192511
"Protea repens",20.125,-33.625,"ZA",462192657
"Protea repens",25.375,-33.375,"ZA",462192490
"Protea repens",22.125,-33.375,"ZA",462192505
"Protea repens",19.625,-33.625,"ZA",462192504
"Protea repens",19.375,-32.625,"ZA",462192503
"Protea repens",19.375,-33.125,"ZA",462192506
"Protea repens",19.125,-31.375,"ZA",462192502
"Protea repens",21.125,-33.875,"ZA",462192507
"Protea repens",19.98,-34.13,"ZA",321939284
"Protea repens",20.375,-34.375,"ZA",462192648
"Protea repens",20.625,-34.375,"ZA",462192500
"Protea repens",18.37,-34.07,"ZA",321939226
"Protea repens",19.32,-34.02,"ZA",321939229
"Protea repens",18.9,-33.97,"ZA",321939296
"Protea repens",24.125,-33.625,"ZA",462192635
"Protea repens",26.375,-33.625,"ZA",462192601
"Protea repens",26.875,-33.375,"ZA",462192589
"Protea repens",18.875,-33.625,"ZA",462192626
"Protea repens",21.375,-34.375,"ZA",462192486
"Protea repens",19.875,-34.625,"ZA",462192485
"Protea repens",19.125,-34.125,"ZA",462192670
"Protea repens",18.625,-33.625,"ZA",462192644
"Protea repens",19.375,-34.375,"ZA",462192600
"Protea repens",18.625,-33.875,"ZA",462192625
"Protea repens",19.875,-34.375,"ZA",462192624
"Protea repens",19.875,-33.875,"ZA",462192666
"Protea repens",18.375,-33.625,"ZA",462192610
"Protea repens",19.125,-32.375,"ZA",462192483
"Protea repens",21.625,-33.875,"ZA",462192479
"Protea repens",21.125,-34.125,"ZA",462192557
"Protea repens",22.875,-33.625,"ZA",462192528
"Protea repens",22.875,-33.375,"ZA",462192524
"Protea repens",21.125,-33.375,"ZA",462192526
"Protea repens",19.375,-33.625,"ZA",462192604
"Protea repens",19.375,-33.375,"ZA",462192477
"Protea repens",25.375,-33.625,"ZA",462192409
"Protea repens",19.375,-34.125,"ZA",462192416
"Protea repens",19.875,-34.125,"ZA",462192415
"Protea repens",23.625,-33.875,"ZA",462192408
"Protea repens",18.875,-31.625,"ZA",462192422
"Protea repens",25.125,-33.625,"ZA",462192473
"Protea repens",24.625,-33.625,"ZA",462192455
"Protea repens",23.125,-33.625,"ZA",462192406
"Protea repens",24.375,-33.625,"ZA",462192566
"Protea repens",18.375,-34.125,"ZA",462192402
"Protea repens",25.625,-33.875,"ZA",462192419
"Protea repens",26.375,-33.375,"ZA",462192545
"Protea repens",19.125,-33.875,"ZA",462192529
"Protea repens",23.875,-33.375,"ZA",462192470
"Protea repens",18.375,-33.875,"ZA",462192595
"Protea repens",21.625,-34.125,"ZA",462192531
"Protea repens",18.875,-33.375,"ZA",462192550
"Protea repens",22.375,-33.875,"ZA",462192538
"Protea repens",22.625,-33.375,"ZA",462192572
"Protea repens",19.125,-31.875,"ZA",462192472
"Protea repens",19.125,-33.125,"ZA",462192449
"Protea repens",22.125,-34.125,"ZA",462192661
"Protea repens",19.375,-33.875,"ZA",462192606
"Protea repens",19.625,-34.375,"ZA",462192652
"Protea repens",19.875,-33.375,"ZA",462192597
"Protea repens",20.125,-33.875,"ZA",462192587
"Protea repens",21.375,-33.625,"ZA",462192549
"Protea repens",26.875,-33.625,"ZA",462192398
"Protea repens",25.125,-33.875,"ZA",462192565
"Protea repens",19.125,-32.875,"ZA",462192454
"Protea repens",20.375,-33.875,"ZA",685238936
"Protea repens",20.125,-34.625,"ZA",462192619
"Protea repens",19.625,-34.625,"ZA",462192555
"Protea repens",20.625,-33.875,"ZA",462192569
"Protea repens",26.625,-33.375,"ZA",462192401
"Protea repens",26.625,-33.125,"ZA",462192456
"Protea repens",24.875,-33.875,"ZA",462192658
"Protea repens",18.625,-32.875,"ZA",462192423
"Protea repens",23.125,-33.375,"ZA",462192452
"Protea repens",18.625,-34.125,"ZA",462192424
"Protea repens",18.375,-34.375,"ZA",462192441
