"species","lon","lat","countryCode","gbifID"
"Prumnopitys andina",-71.465,-36.9575,"CL",890161662
"Prumnopitys andina",-71.50731,-36.97533,"CL",774096679
"Prumnopitys andina",-70.98844,-35.88306,"CL",774108071
"Prumnopitys andina",-71.49028,-36.97056,"CL",789988284
"Prumnopitys andina",-71.30592,-36.66794,"CL",774096379
"Prumnopitys andina",-71.46861,-36.95833,"CL",890161338
"Prumnopitys andina",-71.49006,-36.97031,"CL",774096551
"Prumnopitys andina",-70.99158,-35.89,"CL",774096360
"Prumnopitys andina",-70.98836,-35.88158,"CL",774096591
"Prumnopitys andina",-71.30439,-36.66961,"CL",774103298
"Prumnopitys andina",-70.98878,-35.87008,"CL",774096644
"Prumnopitys andina",-71.27514,-36.66669,"CL",774096587
"Prumnopitys andina",-71.50508,-36.97558,"CL",774096678
"Prumnopitys andina",-71.28006,-36.67036,"CL",774102956
"Prumnopitys andina",-71.49022,-36.97044,"CL",774104354
"Prumnopitys andina",-71.27414,-36.66558,"CL",774098534
"Prumnopitys andina",-71.49019,-36.97,"CL",774096547
"Prumnopitys andina",-71.48972,-36.96944,"CL",890166540
"Prumnopitys andina",-71.49,-36.97028,"CL",890176690
"Prumnopitys andina",-70.98833,-35.88167,"CL",814306825
"Prumnopitys andina",-71.50694,-36.84244,"CL",774096611
"Prumnopitys andina",-71.48975,-36.96942,"CL",774096517
"Prumnopitys andina",-70.98875,-35.88392,"CL",774108060
"Prumnopitys andina",-70.99139,-35.88861,"CL",789990280
"Prumnopitys andina",-71.49028,-36.97,"CL",890168003
"Prumnopitys andina",-71.27417,-36.66139,"CL",890180644
"Prumnopitys andina",-71.27525,-36.66667,"CL",774096479
"Prumnopitys andina",-71.49039,-36.97039,"CL",774096521
"Prumnopitys andina",-71.26908,-36.65394,"CL",774096588
"Prumnopitys andina",-71.27425,-36.66131,"CL",774096662
"Prumnopitys andina",-71.5075,-36.97528,"CL",890172996
"Prumnopitys andina",-70.98867,-35.88233,"CL",774103897
"Prumnopitys andina",-70.98861,-35.88194,"CL",774096436
"Prumnopitys andina",-70.98861,-35.88414,"CL",774108094
"Prumnopitys andina",-71.26917,-36.65389,"CL",890170840
"Prumnopitys andina",-71.30583,-36.66806,"CL",890171549
"Prumnopitys andina",-72.32931,-38.34264,"CL",574712702
"Prumnopitys andina",-72.32942,-38.34261,"CL",574788063
"Prumnopitys andina",-72.32928,-38.34261,"CL",574673440
