"species","lon","lat","countryCode","gbifID"
"Rhamnus prinoides",23.15,-33.95,"ZA",1007234948
"Rhamnus prinoides",40.33,6.92,"ET",322078658
"Rhamnus prinoides",33.63,-9.19,"TZ",322078646
"Rhamnus prinoides",38.5,-4.84,"TZ",322078651
"Rhamnus prinoides",26.91,-32.61,"ZA",1014637845
"Rhamnus prinoides",36.72,-3.29,"TZ",322078653
"Rhamnus prinoides",29.375,-30.875,"ZA",616313071
"Rhamnus prinoides",27.375,-30.625,"ZA",685240687
"Rhamnus prinoides",36.73,-7.43,"TZ",322078645
"Rhamnus prinoides",27.875,-28.875,"ZA",685240688
"Rhamnus prinoides",35.33,-8.55,"TZ",322078649
"Rhamnus prinoides",37.91,-4.31,"TZ",322078408
"Rhamnus prinoides",24.9,-32.1,"ZA",153854766
"Rhamnus prinoides",24.9472,-32.2472,"ZA",996090063
"Rhamnus prinoides",25.125,-33.875,"ZA",685240689
"Rhamnus prinoides",10.61,6.35,"CM",912468835
"Rhamnus prinoides",30.125,-24.625,"ZA",462217017
"Rhamnus prinoides",29.875,-25.125,"ZA",462217019
"Rhamnus prinoides",36.58,-6.94,"TZ",322078402
"Rhamnus prinoides",36.68,-7.12,"TZ",322078401
"Rhamnus prinoides",29.95917,-25.1725,"ZA",1020561382
"Rhamnus prinoides",34.08,-9.11,"TZ",997594151
"Rhamnus prinoides",30.625,-25.875,"ZA",329093868
"Rhamnus prinoides",34.08,-9.12,"TZ",322078098
"Rhamnus prinoides",30.375,-29.375,"ZA",462217011
"Rhamnus prinoides",26.875,-31.125,"ZA",462217015
"Rhamnus prinoides",25.375,-33.875,"ZA",685240691
"Rhamnus prinoides",34.26,-9.12,"TZ",322078097
"Rhamnus prinoides",24.875,-34.125,"ZA",329093867
"Rhamnus prinoides",30.875,-26.625,"SZ",462217014
"Rhamnus prinoides",36.24,-2.9,"TZ",322078045
"Rhamnus prinoides",36.22,-2.87,"TZ",322078046
"Rhamnus prinoides",36.21,-2.88,"TZ",322078060
"Rhamnus prinoides",22.625,-33.875,"ZA",462217013
"Rhamnus prinoides",36.62,-7.1,"TZ",322078068
"Rhamnus prinoides",30.875,-24.625,"ZA",462217009
"Rhamnus prinoides",36.22,-2.9,"TZ",322078026
"Rhamnus prinoides",36.45,-3.27,"TZ",322078044
"Rhamnus prinoides",30.875,-25.875,"ZA",462217007
"Rhamnus prinoides",37.91,-4.18,"TZ",322078056
"Rhamnus prinoides",36.46,-3.23,"TZ",322078062
"Rhamnus prinoides",37.9,-4.35,"TZ",322078038
"Rhamnus prinoides",35.92,-8.05,"TZ",322078049
"Rhamnus prinoides",37.9,-4.34,"TZ",142980988
"Rhamnus prinoides",36.48,-7.75,"TZ",322078054
"Rhamnus prinoides",35.52,-8.55,"TZ",322078028
"Rhamnus prinoides",27.875,-30.625,"ZA",462216994
"Rhamnus prinoides",28.125,-30.625,"ZA",462216995
"Rhamnus prinoides",30.125,-27.625,"ZA",616313048
"Rhamnus prinoides",29.625,-31.375,"ZA",616313067
"Rhamnus prinoides",9.82,5.03,"CM",912096071
"Rhamnus prinoides",29.39917,-2.6575,"RW",1020358261
"Rhamnus prinoides",10.32,6.27,"CM",912290169
"Rhamnus prinoides",26.875,-31.875,"ZA",462216977
"Rhamnus prinoides",30.375,-25.375,"ZA",462216976
"Rhamnus prinoides",30.125,-22.875,"ZA",462217005
"Rhamnus prinoides",36.75,-3.25,"TZ",322078051
"Rhamnus prinoides",27.875,-26.875,"ZA",462217008
"Rhamnus prinoides",27.625,-30.375,"LS",462216644
"Rhamnus prinoides",10.33056,6.27824,"CM",1020358564
"Rhamnus prinoides",30.125,-25.125,"ZA",462217003
"Rhamnus prinoides",30.125,-28.125,"ZA",462216928
"Rhamnus prinoides",29.875,-28.125,"ZA",462216926
"Rhamnus prinoides",10.52,6.2,"CM",912290173
"Rhamnus prinoides",25.52,-11.91,"ZM",322077939
"Rhamnus prinoides",9.83,5,"CM",912096023
"Rhamnus prinoides",10.45,6.2,"CM",1020356065
"Rhamnus prinoides",10.41667,6.25,"CM",1020356079
"Rhamnus prinoides",10.33111,6.27833,"CM",1020356989
"Rhamnus prinoides",10.42383,6.186,"CM",1020358592
"Rhamnus prinoides",30.375,-27.375,"ZA",462216970
"Rhamnus prinoides",30.625,-27.375,"ZA",462216991
"Rhamnus prinoides",29.875,-22.875,"ZA",462216971
"Rhamnus prinoides",28.375,-30.875,"ZA",462216978
"Rhamnus prinoides",25.52194,-11.91333,"ZM",1020393667
"Rhamnus prinoides",28.125,-31.125,"ZA",616313065
"Rhamnus prinoides",35.516,-3.25,"TZ",47839362
"Rhamnus prinoides",35.466,-3.166,"TZ",47839359
"Rhamnus prinoides",35.483,-3.2,"TZ",47839363
"Rhamnus prinoides",29.125,-31.875,"ZA",616313054
