"species","lon","lat","countryCode","gbifID"
"Rhodocoma gigantea",22.375,-33.875,"ZA",462218036
"Rhodocoma gigantea",23.375,-33.875,"ZA",462218034
"Rhodocoma gigantea",23.625,-33.875,"ZA",462218035
"Rhodocoma gigantea",22.625,-33.875,"ZA",462218032
"Rhodocoma gigantea",20.875,-33.625,"ZA",462218016
"Rhodocoma gigantea",22.875,-33.875,"ZA",462218045
"Rhodocoma gigantea",21.375,-33.625,"ZA",462218018
"Rhodocoma gigantea",20.875,-33.875,"ZA",462218012
"Rhodocoma gigantea",23.125,-33.875,"ZA",462218013
"Rhodocoma gigantea",20.375,-33.875,"ZA",462218014
"Rhodocoma gigantea",20.375,-34.375,"ZA",462218007
"Rhodocoma gigantea",21.625,-33.625,"ZA",462218054
"Rhodocoma gigantea",24.125,-33.875,"ZA",462218028
"Rhodocoma gigantea",23.875,-34.125,"ZA",462218005
"Rhodocoma gigantea",22.125,-33.875,"ZA",685240734
"Rhodocoma gigantea",20.625,-33.875,"ZA",462218038
"Rhodocoma gigantea",24.875,-34.125,"ZA",462217974
"Rhodocoma gigantea",25.625,-33.375,"ZA",462217991
"Rhodocoma gigantea",23.875,-33.875,"ZA",462218050
"Rhodocoma gigantea",24.375,-34.125,"ZA",462218008
"Rhodocoma gigantea",24.125,-34.125,"ZA",462218000
"Rhodocoma gigantea",23.375,-34.125,"ZA",462218004
"Rhodocoma gigantea",23.125,-34.125,"ZA",462218059
"Rhodocoma gigantea",21.125,-33.875,"ZA",462217994
"Rhodocoma gigantea",25.375,-33.875,"ZA",462217997
"Rhodocoma gigantea",25.625,-33.875,"ZA",462217984
