"species","lon","lat","countryCode","gbifID"
"Tristania neriifolia",150.618,-33.7796000321364,"AU",1135304524
"Tristania neriifolia",150.73147,-34.422760033033,"AU",1071444450
"Tristania neriifolia",151.06977,-33.7046400320297,"AU",1070814799
"Tristania neriifolia",151.25275,-33.5273800317757,"AU",1070368729
"Tristania neriifolia",151.24799,-33.3791800315616,"AU",1070368725
"Tristania neriifolia",150.73843,-34.4102400330159,"AU",1071437843
"Tristania neriifolia",150.73903,-34.4106900330165,"AU",1071437712
"Tristania neriifolia",150.30185,-33.5659100318312,"AU",1069658658
"Tristania neriifolia",150.99464,-34.0126500324652,"AU",1074361317
"Tristania neriifolia",151.27,-33.4,"AU",996212429
"Tristania neriifolia",150.61875,-32.8124700307283,"AU",1074094879
"Tristania neriifolia",150.50304,-32.7790200306785,"AU",1074094311
"Tristania neriifolia",151.12074,-33.6430200319417,"AU",1070814258
"Tristania neriifolia",150.2993,-33.5670200318327,"AU",1074274181
"Tristania neriifolia",150.7402,-34.4119700330182,"AU",1071663360
"Tristania neriifolia",150.73291,-34.4233800330339,"AU",1071665606
"Tristania neriifolia",150.73342,-34.4237600330344,"AU",1071665539
"Tristania neriifolia",151.23791,-33.7253700320592,"AU",1071651549
"Tristania neriifolia",151.14843,-33.7268500320613,"AU",1071310628
"Tristania neriifolia",150.94221,-33.5803100318518,"AU",1070250969
"Tristania neriifolia",151.26989,-33.2056900313089,"AU",1071590939
"Tristania neriifolia",150.8398,-34.1758100326927,"AU",1071362613
"Tristania neriifolia",151.20141,-33.4645400316852,"AU",1070181602
"Tristania neriifolia",150.66629,-34.2789800328355,"AU",1070016551
"Tristania neriifolia",151.24787,-33.3169900314713,"AU",1069941158
"Tristania neriifolia",151.16763,-33.7023300320264,"AU",1071659986
"Tristania neriifolia",150.61622,-33.7795400321363,"AU",1073248969
"Tristania neriifolia",151.16692,-33.5390200317925,"AU",1070400600
"Tristania neriifolia",151.14223,-33.5794900318506,"AU",1074828533
"Tristania neriifolia",151.14333,-33.5797000318509,"AU",1070413520
"Tristania neriifolia",151.15035,-33.5844000318577,"AU",1070824849
"Tristania neriifolia",150.5,-33.6,"AU",98752438
"Tristania neriifolia",150.542,-33.6875000320052,"AU",996136303
"Tristania neriifolia",150.5417,-33.6875,"AU",995380824
"Tristania neriifolia",151.17866,-33.5441500317999,"AU",1070400460
"Tristania neriifolia",151.05439,-33.6339000319286,"AU",1069792683
"Tristania neriifolia",151.17985,-33.5415600317962,"AU",1069820132
"Tristania neriifolia",151.17836,-33.5423600317973,"AU",1074722982
"Tristania neriifolia",151.17313,-33.574150031843,"AU",1073299890
"Tristania neriifolia",150.87842,-34.06095,"AU",1061589904
"Tristania neriifolia",151.12139,-33.6450200319446,"AU",1069599487
"Tristania neriifolia",151.1183,-33.646050031946,"AU",1070402845
"Tristania neriifolia",151.18133,-33.5531900318129,"AU",1073299955
"Tristania neriifolia",151.2938,-33.0334700310559,"AU",1070576432
"Tristania neriifolia",151.17187,-33.8426300322257,"AU",1069883764
"Tristania neriifolia",150.51294,-34.0252200324827,"AU",1073253671
"Tristania neriifolia",151.12006,-33.766680032118,"AU",1073312495
"Tristania neriifolia",151.15161,-33.6538600319572,"AU",1070146216
"Tristania neriifolia",151.04941,-33.3599400315337,"AU",1073855696
"Tristania neriifolia",150.89931,-34.1876200327091,"AU",1073184619
"Tristania neriifolia",150.756,-34.2261600327625,"AU",1073171772
"Tristania neriifolia",150.94776,-34.1068900325969,"AU",1073166497
"Tristania neriifolia",150.47372,-33.7157000320455,"AU",1074373734
"Tristania neriifolia",150.47138,-33.7219600320544,"AU",1074372808
"Tristania neriifolia",151.03278,-34.133530032634,"AU",1073167123
"Tristania neriifolia",151.0459,-34.1761200326932,"AU",1073675331
"Tristania neriifolia",151.05478,-34.1672400326808,"AU",1073695263
"Tristania neriifolia",151.077,-34.0944,"AU",996015787
"Tristania neriifolia",151.1,-34,"AU",98752324
"Tristania neriifolia",151.08,-34.09,"AU",322691070
"Tristania neriifolia",151.2,-33.8,"AU",98751709
"Tristania neriifolia",150.89032,-34.0750900325525,"AU",1073315446
"Tristania neriifolia",150.89143,-34.0637000325366,"AU",1073315466
"Tristania neriifolia",150.9,-34.2,"AU",98751731
"Tristania neriifolia",150.894,-34.2889,"AU",995842132
"Tristania neriifolia",150.8936,-34.2889,"AU",995148128
"Tristania neriifolia",150.96286,-34.02059,"AU",1061586571
"Tristania neriifolia",150.87846,-34.06154,"AU",1061585972
"Tristania neriifolia",150.39211,-33.3316300314926,"AU",1073034463
"Tristania neriifolia",150.55,-33.68333,"AU",995506415
"Tristania neriifolia",150.3,-33.3,"AU",98751483
"Tristania neriifolia",150.2806,-33.4139,"AU",993940897
"Tristania neriifolia",150.281,-33.4139,"AU",995654126
"Tristania neriifolia",150.2805,-33.4138,"AU",41736795
"Tristania neriifolia",151.08683,-34.0929100325774,"AU",1072476021
"Tristania neriifolia",150.5338,-34.364330032953,"AU",1073222287
"Tristania neriifolia",150.97646,-34.1308100326302,"AU",1072476081
"Tristania neriifolia",150.89188,-34.0437300325086,"AU",1073223137
"Tristania neriifolia",151.09424,-34.1489300326554,"AU",1072481185
"Tristania neriifolia",150.95429,-34.1061000325958,"AU",1072475001
"Tristania neriifolia",150.3333,-33.6167,"AU",993926397
"Tristania neriifolia",150.33,-33.61,"AU",41736765
"Tristania neriifolia",150.333,-33.6167,"AU",1090210317
"Tristania neriifolia",150.99635,-34.0689200325439,"AU",1072476909
"Tristania neriifolia",151.02722,-34.0928700325773,"AU",1072476784
"Tristania neriifolia",151.07652,-34.0693000325444,"AU",1072476842
"Tristania neriifolia",151.02819,-34.09829,"AU",1061581831
"Tristania neriifolia",151.02702,-34.0999900325872,"AU",1071623696
"Tristania neriifolia",151.3,-33.26667,"AU",995508543
"Tristania neriifolia",150.592,-34.2458,"AU",995620432
"Tristania neriifolia",150.6,-34.1,"AU",98751330
"Tristania neriifolia",151.26593,-33.7060100320316,"AU",1072467108
"Tristania neriifolia",150.88326,-34.2158000327482,"AU",1073144620
"Tristania neriifolia",150.328,-33.6569,"AU",995633585
"Tristania neriifolia",150.3,-33.6,"AU",98751352
"Tristania neriifolia",151,-34.1,"AU",98751854
"Tristania neriifolia",150.97,-34.17,"AU",995955651
"Tristania neriifolia",150.4,-33.4,"AU",98751844
"Tristania neriifolia",150.4733,-33.4978,"AU",993532748
"Tristania neriifolia",150.4733,-33.4977,"AU",41732511
"Tristania neriifolia",150.37,-33.52,"AU",995954577
"Tristania neriifolia",151.2,-33.6,"AU",98751706
"Tristania neriifolia",151.23,-33.72,"AU",995823083
"Tristania neriifolia",151.2333,-33.7167,"AU",994744595
"Tristania neriifolia",150.28056,-33.41389,"AU",1045688292
"Tristania neriifolia",150.98333,-34.21667,"AU",1045688353
"Tristania neriifolia",150.33,-33.67,"AU",995954565
"Tristania neriifolia",151.1,-34.1,"AU",98751815
"Tristania neriifolia",151.05,-34.15,"AU",995954428
"Tristania neriifolia",150.98,-34.22,"AU",995673474
"Tristania neriifolia",151.04945,-34.11667,"AU",1061584244
"Tristania neriifolia",150.641769996171,-33.3514119023238,"AU",992379994
"Tristania neriifolia",151.3,-33.6,"AU",98751810
"Tristania neriifolia",151.25,-33.65,"AU",995954176
"Tristania neriifolia",150.5,-33.4,"AU",98751502
"Tristania neriifolia",150.47,-33.48,"AU",995672863
"Tristania neriifolia",151.26461,-33.4489800316627,"AU",1073858699
"Tristania neriifolia",150.7,-34.6,"AU",98751847
"Tristania neriifolia",150.65,-34.67,"AU",995955626
"Tristania neriifolia",150.65,-34.66667,"AU",1045688305
"Tristania neriifolia",151.26667,-33.4,"AU",995476338
"Tristania neriifolia",150.52,-34.32,"AU",995955642
"Tristania neriifolia",150.5,-34.2,"AU",98751852
"Tristania neriifolia",151.017611751813,-34.0819609519112,"AU",992216640
"Tristania neriifolia",151.1833,-33.7,"AU",993764583
"Tristania neriifolia",151.18,-33.7,"AU",41731298
"Tristania neriifolia",150.825944502813,-34.0903022607163,"AU",992167205
"Tristania neriifolia",150.8,-34.22,"AU",995954444
"Tristania neriifolia",150.8,-34.1,"AU",98751817
"Tristania neriifolia",150.3167,-33.6167,"AU",993354551
"Tristania neriifolia",150.3166,-33.6166,"AU",41731998
"Tristania neriifolia",150.3,-33.5,"AU",98751119
"Tristania neriifolia",150.28,-33.63,"AU",996148389
"Tristania neriifolia",150.9833,-34.1167,"AU",993762971
"Tristania neriifolia",150.98,-34.11,"AU",41731292
"Tristania neriifolia",150.3167,-33.65,"AU",994888625
"Tristania neriifolia",151.32,-33.42,"AU",995954500
"Tristania neriifolia",151.3,-33.3,"AU",98751833
"Tristania neriifolia",152.11667,-32.18333,"AU",995469452
"Tristania neriifolia",150.9,-34.17,"AU",995823518
"Tristania neriifolia",150.9,-34.1,"AU",98751849
"Tristania neriifolia",150.98333,-34.08333,"AU",995469221
"Tristania neriifolia",150.98,-34.23,"AU",995955648
"Tristania neriifolia",150.437,-33.7275000320623,"AU",995683550
"Tristania neriifolia",150.4,-33.6,"AU",98751078
"Tristania neriifolia",151.28,-33.65,"AU",995954175
"Tristania neriifolia",151.08,-33.7000000320231,"AU",995954496
"Tristania neriifolia",151.1,-33.6,"AU",98751831
"Tristania neriifolia",151,-33.75,"AU",994101234
"Tristania neriifolia",150.57,-33.58,"AU",995954173
"Tristania neriifolia",150.6,-33.5,"AU",98751807
"Tristania neriifolia",150.2,-33.4,"AU",98751843
"Tristania neriifolia",150.22,-33.47,"AU",995954573
"Tristania neriifolia",151.22,-33.27,"AU",995949186
"Tristania neriifolia",151.2,-33.2,"AU",98751036
"Tristania neriifolia",150.8,-34,"AU",98751816
"Tristania neriifolia",150.82,-34.05,"AU",995954442
"Tristania neriifolia",151.05,-34.07,"AU",995955662
"Tristania neriifolia",150.27,-33.62,"AU",995954581
"Tristania neriifolia",151,-34.01667,"AU",995469036
"Tristania neriifolia",151.3,-33.72,"AU",995954485
"Tristania neriifolia",150.87,-34.27,"AU",995954464
"Tristania neriifolia",151.27,-33.42,"AU",995954172
"Tristania neriifolia",151,-34.05,"AU",993638942
"Tristania neriifolia",150.42,-33.72,"AU",995954535
"Tristania neriifolia",151.15,-33.6833,"AU",993638844
"Tristania neriifolia",151.15,-33.68,"AU",41731251
"Tristania neriifolia",151,-34,"AU",98751857
"Tristania neriifolia",150.98,-34.1200000326151,"AU",995955660
"Tristania neriifolia",150.6,-33.6,"AU",98751834
"Tristania neriifolia",150.55,-33.67,"AU",995954502
"Tristania neriifolia",150.45,-34.3,"AU",995955639
"Tristania neriifolia",151.2,-33.7,"AU",98751823
"Tristania neriifolia",151.17,-33.77,"AU",995954474
"Tristania neriifolia",151.034265330039,-33.4319594801606,"AU",992269325
"Tristania neriifolia",151.21,-33.75,"AU",41731252
"Tristania neriifolia",151.2167,-33.75,"AU",993638843
"Tristania neriifolia",150.7833,-34.5,"AU",993744620
"Tristania neriifolia",150.77,-34.5,"AU",995955630
"Tristania neriifolia",150.8,-34.4,"AU",98751848
"Tristania neriifolia",150.78,-34.5,"AU",41731260
"Tristania neriifolia",150.5,-33.73,"AU",995954472
"Tristania neriifolia",150.52,-33.7,"AU",995954505
"Tristania neriifolia",151.07,-34.13,"AU",995954468
"Tristania neriifolia",151.12,-34.07,"AU",995954461
"Tristania neriifolia",151.134199619702,-34.0485509969947,"AU",994455897
"Tristania neriifolia",151.07,-33.72,"AU",995954486
"Tristania neriifolia",150.98,-34.08,"AU",995954459
"Tristania neriifolia",151.15,-33.8300000322078,"AU",995954476
"Tristania neriifolia",151.1,-33.7,"AU",98751825
"Tristania neriifolia",150.62,-34.18,"AU",995955657
"Tristania neriifolia",150.57,-33.7,"AU",995954498
"Tristania neriifolia",150.3667,-33.5,"AU",995283556
"Tristania neriifolia",150.67,-33.72,"AU",995954487
"Tristania neriifolia",150.7,-33.6,"AU",98751830
"Tristania neriifolia",150.25,-34,"AU",995283524
"Tristania neriifolia",151,-33.7,"AU",98751822
"Tristania neriifolia",151.02,-33.78,"AU",995954473
"Tristania neriifolia",151.2667,-33.85,"AU",995283604
"Tristania neriifolia",150.93624,-34.1940700327181,"AU",1070174508
"Tristania neriifolia",150.72618,-34.3874300329847,"AU",1071467042
"Tristania neriifolia",151.2,-33.4,"AU",98751808
"Tristania neriifolia",150.92694,-34.24991,"AU",1061590250
"Tristania neriifolia",150.29334,-34.6738500333737,"AU",1071686553
"Tristania neriifolia",151.33333,-33.41667,"AU",995483273
"Tristania neriifolia",150.89282,-34.2870300328466,"AU",1073224402
"Tristania neriifolia",150.68449,-34.5192600331646,"AU",1073224516
"Tristania neriifolia",150.45879,-33.7949200321581,"AU",1073238948
"Tristania neriifolia",150.92893,-34.1403600326435,"AU",1073224323
"Tristania neriifolia",150.45995,-33.8002100321656,"AU",1073239433
"Tristania neriifolia",151.05927,-33.6364800319323,"AU",1070085601
"Tristania neriifolia",151.1776,-33.5432300317986,"AU",1070413324
"Tristania neriifolia",151.06768,-33.724510032058,"AU",1069600248
"Tristania neriifolia",150.86954,-34.2002300327266,"AU",1073142963
"Tristania neriifolia",150.76782,-34.4331400330472,"AU",1073223779
"Tristania neriifolia",150.84066,-34.1903100327128,"AU",1070174596
"Tristania neriifolia",151.0805,-33.7094900320366,"AU",1070399071
"Tristania neriifolia",150.37,-33.5,"AU",995954569
"Tristania neriifolia",151.18495,-33.5551600318157,"AU",1069897858
"Tristania neriifolia",150.9617,-34.1845900327049,"AU",1070174976
"Tristania neriifolia",151.18554,-33.5555200318162,"AU",1070413320
"Tristania neriifolia",151.17,-33.5,"AU",995954174
"Tristania neriifolia",150.8409,-34.1744800326909,"AU",1073142907
"Tristania neriifolia",150.46023,-33.7980700321626,"AU",1073239277
"Tristania neriifolia",151.09034,-33.6301800319233,"AU",1070397506
"Tristania neriifolia",150.70755,-34.4823100331143,"AU",1073224589
"Tristania neriifolia",150.92476,-34.2317500327703,"AU",1073224280
"Tristania neriifolia",150.96148,-34.1867500327079,"AU",1070174949
"Tristania neriifolia",150.72875,-34.3386700329177,"AU",1071467198
"Tristania neriifolia",151.24143,-33.0496000310797,"AU",1073371942
"Tristania neriifolia",151.07778,-33.6792400319934,"AU",1070136239
"Tristania neriifolia",150.45312,-34.3726000329643,"AU",1071696906
"Tristania neriifolia",151.10682,-33.5794200318505,"AU",1070153736
"Tristania neriifolia",150.58921,-34.4712000330992,"AU",1073224254
"Tristania neriifolia",151.0167,-34.1,"AU",993222856
"Tristania neriifolia",151.08967,-33.6267700319184,"AU",1069870162
"Tristania neriifolia",150.91419,-34.2379700327789,"AU",1073142843
"Tristania neriifolia",150.71422,-34.3933300329927,"AU",1074733211
"Tristania neriifolia",151.01,-34.1,"AU",41731768
"Tristania neriifolia",151.17948,-33.556790031818,"AU",1070413306
"Tristania neriifolia",150.87844,-34.0615300325335,"AU",1073089211
"Tristania neriifolia",150.96284,-34.0205800324762,"AU",1073090499
"Tristania neriifolia",151.06896,-33.6906700320098,"AU",1074728811
"Tristania neriifolia",151.28847,-33.4206200316217,"AU",1069927128
"Tristania neriifolia",150.85,-34.55,"AU",995283582
