"species","lon","lat","countryCode","gbifID"
"Virgilia divaricata",22.875,-33.875,"ZA",685247850
"Virgilia divaricata",23.15,-33.95,"ZA",1007239284
"Virgilia divaricata",23.875,-33.875,"ZA",329094496
"Virgilia divaricata",23.375,-33.875,"ZA",453386684
"Virgilia divaricata",23.625,-33.875,"ZA",453386682
"Virgilia divaricata",21.125,-33.875,"ZA",453386681
"Virgilia divaricata",21.375,-33.375,"ZA",453386680
"Virgilia divaricata",24.625,-34.125,"ZA",453386676
"Virgilia divaricata",24.625,-33.625,"ZA",453386678
"Virgilia divaricata",23.125,-34.125,"ZA",453386688
"Virgilia divaricata",22.625,-33.875,"ZA",453386661
"Virgilia divaricata",23.375,-34.125,"ZA",453386660
"Virgilia divaricata",23.125,-33.625,"ZA",453386659
"Virgilia divaricata",25.125,-33.875,"ZA",453386656
"Virgilia divaricata",23.125,-33.875,"ZA",453386679
"Virgilia divaricata",23.875,-33.625,"ZA",453386696
"Virgilia divaricata",23.625,-33.625,"ZA",453386677
"Virgilia divaricata",23.11667,-33.61667,"ZA",1020329425
"Virgilia divaricata",25.125,-33.625,"ZA",453386637
"Virgilia divaricata",22.125,-34.125,"ZA",453386705
"Virgilia divaricata",23.875,-34.125,"ZA",453386699
"Virgilia divaricata",25.375,-33.625,"ZA",453386652
"Virgilia divaricata",25.375,-33.875,"ZA",453386647
"Virgilia divaricata",21.875,-33.875,"ZA",453386628
"Virgilia divaricata",20.625,-33.875,"ZA",453386702
"Virgilia divaricata",24.375,-33.875,"ZA",453386633
"Virgilia divaricata",24.375,-34.125,"ZA",453386642
"Virgilia divaricata",22.375,-34.125,"ZA",453386693
