"species","lon","lat","countryCode","gbifID"
"Weinmannia trichosperma",-71.83556,-41.97583,"CL",665798048
"Weinmannia trichosperma",-71.83553,-41.97594,"CL",574670761
"Weinmannia trichosperma",-73.53111,-47.79583,"CL",723860702
"Weinmannia trichosperma",-73.85778,-46.66056,"CL",723634357
"Weinmannia trichosperma",-71.38444,-39.41944,"AR",723698865
"Weinmannia trichosperma",-73.45417,-40.16667,"CL",723793254
"Weinmannia trichosperma",-73.95056,-42.38222,"CL",723908993
"Weinmannia trichosperma",-73.05722,-41.08806,"CL",723634353
"Weinmannia trichosperma",-73.20444,-37.68694,"CL",574771889
"Weinmannia trichosperma",-72.25,-40.76667,"CL",575030554
"Weinmannia trichosperma",-73.36667,-45.9,"CL",574873573
"Weinmannia trichosperma",-73.93028,-42.69972,"CL",574675208
"Weinmannia trichosperma",-72.23361,-40.77747,"CL",574798456
"Weinmannia trichosperma",-73.86033,-42.39178,"CL",574738356
"Weinmannia trichosperma",-72.3,-40.76667,"CL",575226718
"Weinmannia trichosperma",-73.87,-46.61,"CL",142993190
"Weinmannia trichosperma",-73.36667,-40.23333,"CL",574687966
"Weinmannia trichosperma",-74.09,-46.7,"CL",142993193
"Weinmannia trichosperma",-74.55,-49.15,"CL",142993191
"Weinmannia trichosperma",-74.77,-49.5,"CL",142993196
"Weinmannia trichosperma",-73.3,-37.56,"CL",997561152
"Weinmannia trichosperma",-72.58333,-41.5,"CL",575095707
"Weinmannia trichosperma",-71.9,-42.6,"AR",1093204125
"Weinmannia trichosperma",-71.41666,-39.91666,"AR",415976569
"Weinmannia trichosperma",-72.5,-41.1,"CL",165098931
"Weinmannia trichosperma",-71.73,-39.17,"CL",417092362
"Weinmannia trichosperma",-70.8906,-35.8156,"CL",666137212
"Weinmannia trichosperma",-71.25,-45.87,"AR",417092232
"Weinmannia trichosperma",-72.4,-41.14,"CL",417092195
