"species","lon","lat","countryCode","gbifID"
"Agardhiella subulata",-38.63583,-12.72472,"BR",1094900634
"Agardhiella subulata",-77.46983,33.53983,"US",911786638
"Agardhiella subulata",-35.29861,-5.42722,"BR",1087406632
"Agardhiella subulata",-38.89667,-13.59861,"BR",1094851970
"Agardhiella subulata",-38.91278,-13.67667,"BR",1094851992
"Agardhiella subulata",-82.67767,27.664,"US",1306504842
"Agardhiella subulata",-72.06388,41.31527,"US",415950971
"Agardhiella subulata",-40.57878,-21.07544,"BR",1087406465
"Agardhiella subulata",-75.08372,38.57897,"US",888379945
"Agardhiella subulata",-73.07138,41.2025,"US",415933977
"Agardhiella subulata",-45.41,-23.76,"BR",1087402170
"Agardhiella subulata",-45.05944,-23.76556,"BR",1087391497
"Agardhiella subulata",-45.29,-23.84028,"BR",1087401322
"Agardhiella subulata",-45.11778,-23.16278,"BR",1087401308
"Agardhiella subulata",-71.85944,41.30388,"US",415943962
"Agardhiella subulata",-45.07056,-23.43667,"BR",1087391524
"Agardhiella subulata",-40.8339,-21.0111,"BR",1087399458
"Agardhiella subulata",-40.3078,-20.1286,"BR",1087399486
"Agardhiella subulata",-82.6994,24.6028,"US",888381005
"Agardhiella subulata",-81.4083,24.5333,"US",888379865
"Agardhiella subulata",-81.6633,25.2967,"US",888379949
"Agardhiella subulata",-39.38333,-19.1,"BR",1090648122
"Agardhiella subulata",-40.51667,-21.23333,"BR",1090648149
"Agardhiella subulata",-40.63333,-21.26667,"BR",1090648147
"Agardhiella subulata",-40.63472,-21.26667,"BR",1090647563
"Agardhiella subulata",-64.7583,17.7778,"VI",1142178387
"Agardhiella subulata",-44.0542,-2.56194,"BR",1087395397
"Agardhiella subulata",-83.1336,24.7961,"US",888379925
"Agardhiella subulata",-82.8694,25.2878,"US",888380974
"Agardhiella subulata",-77.4,33.53333,"US",888380956
"Agardhiella subulata",-77.415,33.52667,"US",888380918
"Agardhiella subulata",-77.415,33.54167,"US",888380985
"Agardhiella subulata",-76.57,34.385,"US",888380930
"Agardhiella subulata",-77.41667,33.53833,"US",888380941
"Agardhiella subulata",-77.4,33.52333,"US",888380963
"Agardhiella subulata",-76.59667,34.40333,"US",888380906
"Agardhiella subulata",-76.59667,34.40167,"US",888380942
"Agardhiella subulata",-83.3969,26.2806,"US",888379947
"Agardhiella subulata",-82.7336,26.2803,"US",888380932
"Agardhiella subulata",-82.5269,25.7647,"US",888381010
"Agardhiella subulata",-77.40667,33.53333,"US",888380899
"Agardhiella subulata",-76.57167,33.815,"US",888380911
"Agardhiella subulata",-79.715,32.485,"US",888380915
"Agardhiella subulata",-77.405,33.52667,"US",888380944
"Agardhiella subulata",-77.40667,33.51833,"US",888380883
"Agardhiella subulata",-77.40333,33.52,"US",888380887
"Agardhiella subulata",-77.395,33.51167,"US",888380920
"Agardhiella subulata",-77.41667,33.52333,"US",888380921
"Agardhiella subulata",-77.41167,33.52333,"US",888380885
"Agardhiella subulata",-76.8833,34.3167,"US",888380760
"Agardhiella subulata",-77.42,33.53,"US",888380860
"Agardhiella subulata",-79.71667,32.485,"US",888380888
"Agardhiella subulata",-76.585,34.39833,"US",888381007
"Agardhiella subulata",-77.42,33.51333,"US",888380866
"Agardhiella subulata",-77.435,33.52833,"US",888380990
"Agardhiella subulata",-76.57667,33.825,"US",888381023
"Agardhiella subulata",-77.41833,33.52833,"US",888380996
"Agardhiella subulata",-77.40833,33.53333,"US",888380933
"Agardhiella subulata",-77.41833,33.53667,"US",888380948
"Agardhiella subulata",-77.42333,33.54333,"US",888380967
"Agardhiella subulata",-75.35833,35.34167,"US",888380925
"Agardhiella subulata",-77.41833,33.53,"US",888380959
"Agardhiella subulata",-77.41167,33.525,"US",888380981
"Agardhiella subulata",-77.41667,33.52833,"US",888380904
"Agardhiella subulata",-77.41667,33.53,"US",888380993
"Agardhiella subulata",-77.41333,33.51667,"US",888380968
"Agardhiella subulata",-74.23206,11.12599,"CO",1062303317
"Agardhiella subulata",-82.7186,26.7628,"US",888380262
"Agardhiella subulata",-82.1558,25.7656,"US",888380274
"Agardhiella subulata",-82.15,25.2894,"US",888379980
"Agardhiella subulata",-35.08333,-5.51806,"BR",1090645420
"Agardhiella subulata",-79.86347,9.405,"PA",888380856
"Agardhiella subulata",-76.88833,34.32333,"US",1141683145
"Agardhiella subulata",-72.95882,11.24395,"CO",1062303341
"Agardhiella subulata",-97.0589,27.8431,"US",1142176344
"Agardhiella subulata",-71.93,41.33305,"US",415942441
"Agardhiella subulata",-67.0417,17.9333,"PR",888380902
"Agardhiella subulata",-65.62638,18.36666,"PR",415934575
"Agardhiella subulata",-48.61667,-26.3,"BR",1095812591
"Agardhiella subulata",-61.39066,10.40719,"TT",1055459385
