"species","lon","lat","countryCode","gbifID"
"Alaria esculenta",6.07117,62.58269,"NO",1272941485
"Alaria esculenta",6.0974,62.57369,"NO",1273344189
"Alaria esculenta",6.16719,62.68456,"NO",1272941510
"Alaria esculenta",6.09599,62.46695,"NO",1273344213
"Alaria esculenta",-9.65139,53.12487,"IE",1313450892
"Alaria esculenta",-9.98108,53.79382,"IE",1313446872
"Alaria esculenta",-9.48944,51.44637,"IE",1313447326
"Alaria esculenta",-9.83376,51.62082,"IE",1313443991
"Alaria esculenta",4.88954,59.31538,"NO",1272941707
"Alaria esculenta",-9.76268,53.12463,"IE",1313450861
"Alaria esculenta",14.63022,67.28494,"NO",1241163363
"Alaria esculenta",14.62966,67.42207,"NO",1241340066
"Alaria esculenta",18.53209,69.77728,"NO",1236175667
"Alaria esculenta",5.99903,62.42119,"NO",1236146026
"Alaria esculenta",5.9654,62.49129,"NO",1236354665
"Alaria esculenta",6.02094,62.51135,"NO",1236297690
"Alaria esculenta",6.07717,62.58615,"NO",1236645251
"Alaria esculenta",5.7875,58.51976,"NO",1241169979
"Alaria esculenta",-10.14934,51.75929,"IE",1133925113
"Alaria esculenta",5.16829,60.19838,"NO",1248634077
"Alaria esculenta",5.10358,59.98604,"NO",1248634238
"Alaria esculenta",14.47538,67.32377,"NO",1241164459
"Alaria esculenta",14.70928,67.25933,"NO",1241171063
"Alaria esculenta",14.44621,67.22805,"NO",1241170202
"Alaria esculenta",5.66075,62.40709,"NO",1235976910
"Alaria esculenta",16.08313,69.18083,"NO",1241164241
"Alaria esculenta",-6.915,57.839,"GB",1265663223
"Alaria esculenta",15.12515,67.56848,"NO",1241170057
"Alaria esculenta",-1.1592,54.64722,"GB",672450919
"Alaria esculenta",5.54702,58.67797,"NO",1236678293
"Alaria esculenta",-2.12391,55.88576,"GB",672450998
"Alaria esculenta",-5.79067,54.71754,"GB",672453239
"Alaria esculenta",-2.12873,55.89385,"GB",672450971
"Alaria esculenta",-2.94845,50.71644,"GB",672453740
"Alaria esculenta",-2.1279,50.60511,"GB",672453682
"Alaria esculenta",-4.87073,55.92336,"GB",672453821
"Alaria esculenta",-4.48688,53.18507,"GB",672451061
"Alaria esculenta",-1.16036,50.73167,"GB",672453649
"Alaria esculenta",-3.97468,51.56612,"GB",672453077
"Alaria esculenta",-3.28212,56.0499,"GB",672451140
"Alaria esculenta",-6.18974,55.26956,"GB",672453547
"Alaria esculenta",-4.26552,51.0284,"GB",672451363
"Alaria esculenta",-5.57122,54.38892,"GB",672453317
"Alaria esculenta",-5.88911,54.10552,"GB",672453419
"Alaria esculenta",-3.37953,55.98953,"GB",672451223
"Alaria esculenta",-5.45873,54.39019,"GB",672453390
"Alaria esculenta",-6.65294,55.20637,"GB",672453515
"Alaria esculenta",5.48137,62.26475,"NO",1041973881
"Alaria esculenta",-4.51381,53.41471,"GB",672451255
"Alaria esculenta",-1.54058,50.68792,"GB",672451432
"Alaria esculenta",-1.47858,50.66158,"GB",672451486
"Alaria esculenta",-5.05885,50.16015,"GB",672452220
"Alaria esculenta",-4.20276,51.53778,"GB",672453058
"Alaria esculenta",-4.1765,51.19829,"GB",672451582
"Alaria esculenta",-4.14563,51.54963,"GB",672453132
"Alaria esculenta",-4.78842,55.35528,"GB",672452548
"Alaria esculenta",18.53709,70.02601,"NO",1241269321
"Alaria esculenta",-1.34882,50.73287,"GB",672452146
"Alaria esculenta",18.53584,70.02439,"NO",1241175751
"Alaria esculenta",18.56342,70.03267,"NO",1241165554
"Alaria esculenta",1.38542,51.14704,"GB",672451664
"Alaria esculenta",-4.91889,50.57399,"GB",672451922
"Alaria esculenta",-3.69258,50.2133,"GB",672451633
"Alaria esculenta",-0.5299,54.43268,"GB",672452288
"Alaria esculenta",-2.78146,56.06577,"GB",672452613
"Alaria esculenta",-4.17014,50.35738,"GB",672451829
"Alaria esculenta",-0.67394,54.50805,"GB",672451794
"Alaria esculenta",-4.11916,50.34933,"GB",672452006
"Alaria esculenta",-4.09101,50.31655,"GB",672451729
"Alaria esculenta",-5.81082,57.8582,"GB",672452964
"Alaria esculenta",-0.10438,54.13008,"GB",672452424
"Alaria esculenta",-2.57023,56.55393,"GB",672452869
"Alaria esculenta",-0.34171,54.24326,"GB",672452091
"Alaria esculenta",-4.57394,53.23897,"GB",672452745
"Alaria esculenta",-0.11937,54.10335,"GB",672452454
"Alaria esculenta",-2.94703,50.71646,"GB",672452355
"Alaria esculenta",-4.24959,54.83961,"GB",672452787
"Alaria esculenta",-5.80487,54.71331,"GB",672449342
"Alaria esculenta",-5.48224,54.3835,"GB",672449024
"Alaria esculenta",-6.10949,57.33985,"GB",672448858
"Alaria esculenta",-2.14629,50.61049,"GB",672448748
"Alaria esculenta",-5.89013,54.11543,"GB",672449184
"Alaria esculenta",-5.57982,54.39987,"GB",672449141
"Alaria esculenta",-9.87682,53.61727,"IE",368079656
"Alaria esculenta",-3.69535,50.21236,"GB",672448920
"Alaria esculenta",-9.7702,53.29388,"IE",368080174
"Alaria esculenta",-9.84455,54.30133,"IE",368080096
"Alaria esculenta",31.1203,70.37991,"NO",1241164281
"Alaria esculenta",-4.27114,51.02649,"GB",672449333
"Alaria esculenta",-8.72005,54.26485,"IE",368079939
"Alaria esculenta",-8.66263,54.27254,"IE",368079900
"Alaria esculenta",-9.87784,54.24335,"IE",368080138
"Alaria esculenta",-4.17936,51.19823,"GB",672449217
"Alaria esculenta",-6.31721,49.91765,"GB",672450076
"Alaria esculenta",-6.32893,49.89292,"GB",672449392
"Alaria esculenta",18.32507,69.73579,"NO",1241163436
"Alaria esculenta",-6.29298,49.97435,"GB",672449437
"Alaria esculenta",-6.28629,49.9305,"GB",672449527
"Alaria esculenta",-6.34991,49.89393,"GB",672449767
"Alaria esculenta",-6.282,49.91356,"GB",672449980
"Alaria esculenta",-6.35277,49.89472,"GB",672450089
"Alaria esculenta",-2.70425,56.49934,"GB",672450463
"Alaria esculenta",-6.33776,49.94478,"GB",672449705
"Alaria esculenta",-6.30641,49.92166,"GB",672449644
"Alaria esculenta",-3.70127,50.22127,"GB",672449564
"Alaria esculenta",-6.28921,49.97899,"GB",672450153
"Alaria esculenta",-8.38947,54.87705,"IE",368079824
"Alaria esculenta",-6.28304,49.95672,"GB",672449838
"Alaria esculenta",-6.29143,49.97261,"GB",672449853
"Alaria esculenta",-3.08821,55.94932,"GB",672450531
"Alaria esculenta",-8.40262,54.89327,"IE",368079854
"Alaria esculenta",-4.12057,50.3493,"GB",672450298
"Alaria esculenta",-8.44804,54.9247,"IE",368079730
"Alaria esculenta",-6.32188,49.90758,"GB",672450596
"Alaria esculenta",-6.3547,49.93155,"GB",672450649
"Alaria esculenta",-8.46382,54.84278,"IE",368079766
"Alaria esculenta",-5.16549,51.71363,"GB",672450754
"Alaria esculenta",-5.10307,51.77467,"GB",672450741
"Alaria esculenta",-4.06009,50.31621,"GB",310815889
"Alaria esculenta",-4.90095,55.74914,"GB",672447237
"Alaria esculenta",-1.23976,50.81676,"GB",672447413
"Alaria esculenta",-4.12651,50.35639,"GB",672447217
"Alaria esculenta",-4.17793,51.19826,"GB",672447264
"Alaria esculenta",-1.35381,50.78237,"GB",672447451
