"species","lon","lat","countryCode","gbifID"
"Analipus japonicus",-122.06748,36.94884,"US",1272079751
"Analipus japonicus",-122.03023,36.95165,"US",1272098431
"Analipus japonicus",-122.21881,37.0248,"US",1291084311
"Analipus japonicus",-122.38953,37.18204,"US",1272096351
"Analipus japonicus",-123.24769,38.51281,"US",1272101798
"Analipus japonicus",-122.59631,37.87017,"US",1291114884
"Analipus japonicus",-122.23664,37.04576,"US",1098903312
"Analipus japonicus",-122.49835,37.49438,"US",1024189552
"Analipus japonicus",-122.4998,37.49296,"US",1265909344
"Analipus japonicus",-123.81,39.45867,"US",1265909140
"Analipus japonicus",-127.0283,50.65845,"CA",617172764
"Analipus japonicus",-162.693,54.456,"US",617167904
"Analipus japonicus",-162.695,54.3329,"US",617167907
"Analipus japonicus",-123.67,49.14,"CA",177332704
"Analipus japonicus",-162.715,54.395,"US",617167902
"Analipus japonicus",-162.699,54.462,"US",617168081
"Analipus japonicus",-162.681,54.459,"US",617170641
"Analipus japonicus",-152.82428,58.40861,"US",617168444
"Analipus japonicus",-152.65475,58.55268,"US",617169680
"Analipus japonicus",-152.33355,58.43258,"US",617169575
"Analipus japonicus",-167.29,53.47167,"US",617170514
"Analipus japonicus",-167.33333,53.40833,"US",617170291
"Analipus japonicus",-165.71772,54.11864,"US",617170044
"Analipus japonicus",-153.51153,59.63472,"US",919119872
"Analipus japonicus",-147.12,60.39,"US",177332557
"Analipus japonicus",-147.41,60.3,"US",177332747
"Analipus japonicus",-153.55317,58.59575,"US",617166106
"Analipus japonicus",-151.88222,59.37056,"US",617169948
"Analipus japonicus",-151.54,59.54,"US",177332913
"Analipus japonicus",-131.215,52.096,"CA",17565507
"Analipus japonicus",-131.47224,52.60026,"CA",17565619
"Analipus japonicus",-131.46747,52.59985,"CA",17565623
"Analipus japonicus",-123.66667,49.15,"CA",919115294
"Analipus japonicus",-131.36418,52.37555,"CA",17565915
"Analipus japonicus",-131.13968,52.23255,"CA",17565935
"Analipus japonicus",-131.48885,52.50805,"CA",17565979
"Analipus japonicus",-131.13751,52.18955,"CA",17565913
"Analipus japonicus",-131.11618,52.15888,"CA",17565929
"Analipus japonicus",-131.07484,52.15555,"CA",17565971
"Analipus japonicus",-131.23817,52.13338,"CA",17565725
"Analipus japonicus",-131.48087,52.73655,"CA",17566037
"Analipus japonicus",-132.06796,53.25409,"CA",17565727
"Analipus japonicus",-131.61002,52.72972,"CA",17566021
"Analipus japonicus",-131.00452,52.21705,"CA",17565919
"Analipus japonicus",-131.35585,52.35839,"CA",17565957
"Analipus japonicus",-130.85,54.25,"CA",919096531
"Analipus japonicus",-124.43333,48.51667,"CA",919095504
"Analipus japonicus",-128.28333,50.65,"CA",919095133
"Analipus japonicus",-124.4,43.31667,"US",919096856
"Analipus japonicus",-123.71667,48.35,"CA",919095193
"Analipus japonicus",-147.475,60.25,"US",1270729057
"Analipus japonicus",-123.86667,48.38333,"CA",919093261
"Analipus japonicus",-135.4,57.1,"US",919096142
"Analipus japonicus",-125.15,48.86667,"CA",919094518
"Analipus japonicus",-130.88333,54.28333,"CA",919095547
"Analipus japonicus",-122.7177,37.90158,"US",1270725713
"Analipus japonicus",-132.1,52.75,"CA",919123770
"Analipus japonicus",-128.66667,52.275,"CA",617046726
"Analipus japonicus",-128.10972,52.18611,"CA",617162614
"Analipus japonicus",-132.109,52.7351,"CA",17565457
"Analipus japonicus",-132.0415,52.7748,"CA",17565145
"Analipus japonicus",-133.48111,55.79833,"US",919091867
"Analipus japonicus",-133.49306,55.80417,"US",919096366
"Analipus japonicus",-132.0343,53.2129,"CA",17565087
"Analipus japonicus",-131.9792,53.2558,"CA",17565427
"Analipus japonicus",-124.45,48.53333,"CA",919053780
"Analipus japonicus",-166.6,53.91667,"US",919053721
"Analipus japonicus",-127.07778,50.60556,"CA",919053733
"Analipus japonicus",-123.98333,48.38333,"CA",919053606
"Analipus japonicus",-125.19167,48.835,"CA",919053847
"Analipus japonicus",-133.03333,54.2,"CA",919122107
"Analipus japonicus",-133.03496,54.1997,"CA",17565499
"Analipus japonicus",-133.0603,54.2543,"CA",17565437
"Analipus japonicus",-123.68333,49.15,"CA",919053836
"Analipus japonicus",-166.53333,53.875,"US",1270728796
"Analipus japonicus",-123.7,48.36667,"CA",919053877
"Analipus japonicus",-124.44667,48.525,"CA",617036660
"Analipus japonicus",-124.075,44.675,"US",617036719
"Analipus japonicus",-133.14167,55.85833,"US",1270725720
"Analipus japonicus",-134.92778,58.57639,"US",919108212
"Analipus japonicus",-132.9638,54.2268,"CA",17565233
"Analipus japonicus",-133.0233,54.1883,"CA",17565447
"Analipus japonicus",-132.96167,54.22567,"CA",617036116
"Analipus japonicus",-122.9667,48.45,"US",1142175702
"Analipus japonicus",-126.3,50.51667,"CA",919053802
"Analipus japonicus",-122.96667,48.45,"US",919053757
"Analipus japonicus",-156.735,55.82667,"US",1270728760
"Analipus japonicus",-121.9333,36.55,"US",1142176084
"Analipus japonicus",-135.35,57,"US",1270727731
"Analipus japonicus",-155.4,57.1,"US",919094086
"Analipus japonicus",-127.955,50.92667,"CA",617036681
"Analipus japonicus",-127.63333,51.08333,"CA",919053762
"Analipus japonicus",-125.88333,49.1,"CA",919096251
"Analipus japonicus",-121.93084,36.63903,"US",1270725763
"Analipus japonicus",-123.39167,48.41333,"CA",1270727346
"Analipus japonicus",-127.935,50.92667,"CA",617036105
