"species","lon","lat","countryCode","gbifID"
"Arthrocladia villosa",0.22159,50.95236,"GB",1265658642
"Arthrocladia villosa",-0.05661,50.80181,"GB",1265658663
"Arthrocladia villosa",-4.46962,52.8581,"GB",806680888
"Arthrocladia villosa",10,57,"DK",354480586
"Arthrocladia villosa",10.87,57.63,"DK",354480303
"Arthrocladia villosa",-4.23255,52.75489,"GB",806732709
"Arthrocladia villosa",-4.31171,52.71021,"GB",806464267
"Arthrocladia villosa",-4.27136,52.73167,"GB",806465185
"Arthrocladia villosa",-4.44701,52.85228,"GB",806450216
"Arthrocladia villosa",-4.46911,52.82304,"GB",806449546
"Arthrocladia villosa",-4.43677,52.85519,"GB",806450110
"Arthrocladia villosa",-4.23588,52.76202,"GB",806458582
"Arthrocladia villosa",-4.24167,52.75922,"GB",806458713
"Arthrocladia villosa",-4.23445,52.76295,"GB",806458422
"Arthrocladia villosa",-4.23404,52.75486,"GB",806458914
"Arthrocladia villosa",-4.248,36.711,"ES",199515257
"Arthrocladia villosa",-0.08641,54.11975,"GB",1056959459
"Arthrocladia villosa",-5.06662,50.15288,"GB",1057277967
"Arthrocladia villosa",-5.26992,51.73596,"GB",790698227
"Arthrocladia villosa",3.88,39.97,"ES",178305394
"Arthrocladia villosa",-16.33333,33.01667,"PT",1141179596
"Arthrocladia villosa",3.29,39.43,"ES",178305397
"Arthrocladia villosa",-2.17,49.17,"JE",354479946
"Arthrocladia villosa",-16.35,33.03333,"PT",1141353487
"Arthrocladia villosa",-4.76668,54.10691,"GB",250367046
"Arthrocladia villosa",10.62,57.48,"DK",354479944
"Arthrocladia villosa",-4.74846,54.10913,"IM",250367194
"Arthrocladia villosa",-4.53791,54.22762,"IM",1056865797
"Arthrocladia villosa",-1.41122,50.90489,"GB",1056249921
"Arthrocladia villosa",10.87,57.65,"DK",354480126
"Arthrocladia villosa",-4.669,51.178,"GB",1056205339
"Arthrocladia villosa",-0.51162,53.91357,"GB",1055325784
"Arthrocladia villosa",13.53,38.1,"IT",214664469
"Arthrocladia villosa",-6.12,56.495,"GB",1056214281
"Arthrocladia villosa",-4.88827,51.85323,"GB",1056499032
"Arthrocladia villosa",14.37,40.63,"IT",354479947
"Arthrocladia villosa",-5.16845,51.71445,"GB",790646373
"Arthrocladia villosa",10.33,57.65,"DK",354479945
"Arthrocladia villosa",0.64613,52.6914,"GB",1057038588
"Arthrocladia villosa",1.29967,52.65855,"GB",1055463921
"Arthrocladia villosa",-4.60632,50.50383,"GB",1056330412
"Arthrocladia villosa",11.27,57.47,"DK",354479938
"Arthrocladia villosa",11,57,"DK",354480471
"Arthrocladia villosa",11.25,57.47,"DK",354479901
"Arthrocladia villosa",10.58,57.72,"DK",354479948
"Arthrocladia villosa",11.41832,58.21196,"SE",788769597
"Arthrocladia villosa",7,56,"DK",354480727
"Arthrocladia villosa",-2.44574,50.60477,"GB",1057506869
"Arthrocladia villosa",-3.64852,50.60359,"GB",1056521407
"Arthrocladia villosa",10.55,57.43,"DK",354479949
"Arthrocladia villosa",-1.95698,50.61003,"GB",1055950743
"Arthrocladia villosa",-5.1255,55.52946,"GB",1057536951
"Arthrocladia villosa",-4.2026,56.4907,"GB",1056991925
"Arthrocladia villosa",-3.2594,50.6703,"GB",1055713593
"Arthrocladia villosa",-1.9569,50.61,"GB",1056031419
"Arthrocladia villosa",-2.33571,50.80379,"GB",1057272423
"Arthrocladia villosa",-3.175,59.02,"GB",1056857416
"Arthrocladia villosa",-0.13806,50.81897,"GB",1057251189
"Arthrocladia villosa",-3.78361,52.13083,"GB",1055714605
"Arthrocladia villosa",-3.06653,50.70309,"GB",1056754393
"Arthrocladia villosa",-3.0525,35.9235,"ES",199515557
"Arthrocladia villosa",-3.0367,35.9225,"ES",199515560
"Arthrocladia villosa",-4.58847,53.23825,"GB",1305326066
"Arthrocladia villosa",5.28166,43.37008,"FR",812111398
"Arthrocladia villosa",-2.109,54.15535,"GB",1057164665
"Arthrocladia villosa",-0.30526,38.50174,"ES",861959325
"Arthrocladia villosa",-0.19072,38.49905,"ES",862894945
"Arthrocladia villosa",-1.6,49.63333,"FR",436921507
"Arthrocladia villosa",-3.0223,35.9265,"ES",199515542
"Arthrocladia villosa",-1.36738,54.95805,"GB",1020052633
"Arthrocladia villosa",-0.07619,38.49625,"ES",862894888
"Arthrocladia villosa",-0.26388,39.58185,"ES",861958644
"Arthrocladia villosa",7.88528,54.1825,"DE",63859479
"Arthrocladia villosa",0.1766,38.85908,"ES",862894910
"Arthrocladia villosa",12.07174,42.79578,"IT",1055680739
"Arthrocladia villosa",-4.89912,51.75334,"GB",1056081965
