"species","lon","lat","countryCode","gbifID"
"Ascoseira mirabilis",-60.5,-62.6,"AQ",1095630091
"Ascoseira mirabilis",-58.305,-62.17833,"AQ",1095630035
"Ascoseira mirabilis",-58.47325,-62.16525,"AQ",1087407116
"Ascoseira mirabilis",-55.43328,-61.13225,"AQ",1095630067
"Ascoseira mirabilis",-58.6333,-62.2333,"AQ",684010812
"Ascoseira mirabilis",-58.6666,-64.2333,"AQ",684011104
"Ascoseira mirabilis",-60.795,-62.9717,"AQ",888186127
"Ascoseira mirabilis",-59.75,-62.4,"AQ",888186179
"Ascoseira mirabilis",-58.916,-62.166,"AQ",684011039
"Ascoseira mirabilis",-64.04,-64.77,"AQ",1001806035
