"species","lon","lat","countryCode","gbifID"
"Asparagopsis taxiformis",-86.80058,21.45307,"MX",1305170028
"Asparagopsis taxiformis",-83.5595,28.81333,"US",911787703
"Asparagopsis taxiformis",-40.35944,-20.51722,"BR",1095829244
"Asparagopsis taxiformis",-81.7345,24.55883,"US",1306504915
"Asparagopsis taxiformis",-46.29333,-24.14028,"BR",1087405361
"Asparagopsis taxiformis",-35.29861,-5.42722,"BR",1095828182
"Asparagopsis taxiformis",-45.15966,-23.5318,"BR",1090655548
"Asparagopsis taxiformis",-45.15966,-23.53127,"BR",1090655559
"Asparagopsis taxiformis",-45.16504,-23.49516,"BR",1090655526
"Asparagopsis taxiformis",-80.49783,25.029,"US",1306504893
"Asparagopsis taxiformis",-38.89444,-13.59472,"BR",1094852038
"Asparagopsis taxiformis",-38.93,-13.57833,"BR",1264703376
"Asparagopsis taxiformis",-40.56208,-21.09722,"BR",1095828085
"Asparagopsis taxiformis",-40.50149,-21.09614,"BR",1095827999
"Asparagopsis taxiformis",-77.31933,26.77886,"BS",910625034
"Asparagopsis taxiformis",-38.67972,-13.04111,"BR",1094865539
"Asparagopsis taxiformis",-38.67694,-13.04111,"BR",1094815245
"Asparagopsis taxiformis",-46.39,-23.96,"BR",1087402614
"Asparagopsis taxiformis",-40.75,-20.91667,"BR",1209350900
"Asparagopsis taxiformis",-44.74778,-23.27444,"BR",1209304393
"Asparagopsis taxiformis",-44.45667,-23.20306,"BR",1209304184
"Asparagopsis taxiformis",-44.65083,-23.185,"BR",1209304210
"Asparagopsis taxiformis",-45.07,-23.43,"BR",1087401962
"Asparagopsis taxiformis",-45.07583,-23.53694,"BR",1087391503
"Asparagopsis taxiformis",-46.80083,-24.32028,"BR",1087401194
"Asparagopsis taxiformis",-46.18306,-24.31861,"BR",1209384944
"Asparagopsis taxiformis",-45.16833,-23.53611,"BR",1087401208
"Asparagopsis taxiformis",-45.01028,-23.74556,"BR",1087391939
"Asparagopsis taxiformis",-46.33,-23.96,"BR",1087401943
"Asparagopsis taxiformis",-46.17667,-23.91083,"BR",1095822819
"Asparagopsis taxiformis",-46.8,-24.36667,"BR",1087401851
"Asparagopsis taxiformis",-64.81,32.255,"BM",888192513
"Asparagopsis taxiformis",-45.29,-23.84028,"BR",1087401219
"Asparagopsis taxiformis",-45.36694,-23.46111,"BR",1087401399
"Asparagopsis taxiformis",-45.28333,-23.84806,"BR",1095822746
"Asparagopsis taxiformis",-38.61,-13.98694,"BR",1209361023
"Asparagopsis taxiformis",-45.39944,-23.73056,"BR",1095820832
"Asparagopsis taxiformis",-40.5225,-20.7275,"BR",1095820987
"Asparagopsis taxiformis",-64.7067,32.3367,"BM",888192258
"Asparagopsis taxiformis",-64.7283,32.3383,"BM",888192806
"Asparagopsis taxiformis",-61.04167,14.44333,"MQ",888192680
"Asparagopsis taxiformis",-61.0417,14.4433,"MQ",888192697
"Asparagopsis taxiformis",-88.1067,16.88,"BZ",888192368
"Asparagopsis taxiformis",-40.6456,-20.8058,"BR",1090858050
"Asparagopsis taxiformis",-61.4567,12.785,"VC",888966619
"Asparagopsis taxiformis",-60.85,14.48,"MQ",888192452
"Asparagopsis taxiformis",-40.46833,-20.63278,"BR",1087400536
"Asparagopsis taxiformis",-80.3833,31.5833,"US",888192935
"Asparagopsis taxiformis",-39.38333,-19.1,"BR",1090647498
"Asparagopsis taxiformis",-40.45,-20.9,"BR",1090647650
"Asparagopsis taxiformis",-47.925,-25.04361,"BR",1087406084
"Asparagopsis taxiformis",-82.5833,15.2167,"HN",888191851
"Asparagopsis taxiformis",-76.9,23.52,"BS",888191911
"Asparagopsis taxiformis",-35.03333,-5.73333,"BR",1090940709
"Asparagopsis taxiformis",-76.12,25.08,"BS",888865649
"Asparagopsis taxiformis",-88.08,16.8,"BZ",888192498
"Asparagopsis taxiformis",-74.06263,11.31336,"CO",1062303392
"Asparagopsis taxiformis",-35.11667,-5.51806,"BR",1090940878
"Asparagopsis taxiformis",-47.92,-25.01,"BR",1087395594
"Asparagopsis taxiformis",-48.55278,-27.15806,"BR",1090596683
"Asparagopsis taxiformis",-77.37,23.6583,"BS",888192686
"Asparagopsis taxiformis",-67.05,17.9333,"PR",888192485
"Asparagopsis taxiformis",-67.05,17.93333,"PR",1141665643
"Asparagopsis taxiformis",-64,11,"VE",888192703
"Asparagopsis taxiformis",-64.1833,10.8167,"VE",888192292
"Asparagopsis taxiformis",-90.85,20.875,"MX",888192693
"Asparagopsis taxiformis",-59.4667,13.1833,"BB",888192197
"Asparagopsis taxiformis",-59.56196,13.17872,"BB",1055317841
"Asparagopsis taxiformis",-42.64735,-22.53149,"BR",1055811072
"Asparagopsis taxiformis",-64.34775,10.3891,"VE",243714487
