"species","lon","lat","countryCode","gbifID"
"Blidingia minima",18.91508,69.62866,"NO",1273344176
"Blidingia minima",5.99903,62.42119,"NO",1236525164
"Blidingia minima",-0.52255,54.4227,"GB",732463864
"Blidingia minima",-3.22686,51.1931,"GB",1056409324
"Blidingia minima",0.91371,51.20854,"GB",1056103435
"Blidingia minima",12,55,"DK",387613642
"Blidingia minima",-2.9858,51.3844,"GB",1055912942
"Blidingia minima",7.15773,53.70647,"DE",296569667
"Blidingia minima",-2.9943,51.35414,"GB",1056972704
"Blidingia minima",-3.341,36.735,"ES",235569798
"Blidingia minima",-3.699,36.734,"ES",235569757
"Blidingia minima",-2.7861,51.4758,"GB",1057593990
"Blidingia minima",10,57,"DK",387613641
"Blidingia minima",-6.844,37.122,"ES",235569705
"Blidingia minima",-18.60547,64.99759,"IS",1135518700
"Blidingia minima",-13,65,"IS",387613627
"Blidingia minima",1.3675,51.3886,"GB",1056558932
"Blidingia minima",-13,64,"IS",387613635
"Blidingia minima",-14,64,"IS",387613632
"Blidingia minima",-14,65,"IS",387613630
"Blidingia minima",-4.4517,50.345,"GB",1057008585
"Blidingia minima",-16,66,"IS",387613616
"Blidingia minima",-18,65,"IS",387613614
"Blidingia minima",-18,66,"IS",387613621
"Blidingia minima",-17,66,"IS",387613618
"Blidingia minima",8.5859,53.54854,"DE",164110958
"Blidingia minima",-20,65,"IS",387613607
"Blidingia minima",8.57838,53.55751,"DE",164110961
"Blidingia minima",-15,66,"IS",387613617
"Blidingia minima",12.32,56.12,"DK",387613207
"Blidingia minima",12,56,"DK",387613603
"Blidingia minima",-1.42964,50.7297,"GB",310810923
"Blidingia minima",7.88528,54.1825,"DE",63859671
"Blidingia minima",11,57,"DK",387613487
"Blidingia minima",11.13,57.32,"DK",387613193
"Blidingia minima",11.02,57.3,"DK",387613192
"Blidingia minima",-21,65,"IS",387613593
"Blidingia minima",-22,66,"IS",387613595
"Blidingia minima",-22,64,"IS",387613601
"Blidingia minima",-23,64,"IS",387613605
"Blidingia minima",10.92,57.35,"DK",387613202
"Blidingia minima",12.62,55.68,"DK",387613073
"Blidingia minima",0.58025,51.88476,"GB",1056529722
"Blidingia minima",31.08838,70.39811,"NO",239488914
"Blidingia minima",-4.88266,51.72902,"GB",806702082
"Blidingia minima",0.28774,51.30779,"GB",1057311989
"Blidingia minima",-5.22526,51.7192,"GB",790640538
"Blidingia minima",12.55,55.98,"DK",354482712
"Blidingia minima",-21,63,"IS",387613408
"Blidingia minima",12.6,55.68,"DK",354482701
"Blidingia minima",12.55,55.63,"DK",354482702
"Blidingia minima",-3.9988,52.71545,"GB",796286207
"Blidingia minima",-6,61,"FO",387613313
"Blidingia minima",-6.78,61.88,"FO",354482706
"Blidingia minima",-6.93,61.9,"FO",354482679
"Blidingia minima",-6.73,61.87,"FO",354482678
"Blidingia minima",-6.55,62.22,"FO",354482689
"Blidingia minima",-6,62,"FO",387613320
"Blidingia minima",-6.83,62.25,"FO",354482685
"Blidingia minima",12.73,55.67,"DK",354482703
"Blidingia minima",-7.05,62.25,"FO",354482684
"Blidingia minima",-6.92,62,"FO",354482682
"Blidingia minima",-6.43,62.25,"FO",354482690
"Blidingia minima",-6.53,62.35,"FO",354482687
"Blidingia minima",-8.87,40.17,"PT",387613070
"Blidingia minima",-8.78,37.82,"PT",387613071
"Blidingia minima",-7,62,"FO",387613318
"Blidingia minima",-7.65,62.1,"FO",354482694
"Blidingia minima",-6.78,61.47,"FO",354482699
"Blidingia minima",-7.63,62.1,"FO",354482693
"Blidingia minima",-6.28,62.28,"FO",354482713
"Blidingia minima",-7.35,62.07,"FO",354482692
"Blidingia minima",-6.32,62.27,"FO",354482714
"Blidingia minima",5,61.6,"NO",354482696
"Blidingia minima",4.67,61.57,"NO",354482697
"Blidingia minima",4.85,61.57,"NO",354482698
"Blidingia minima",-6.78,61.95,"FO",354482647
"Blidingia minima",-6.75,62.03,"FO",354482646
"Blidingia minima",-7.07,62.1,"FO",354482700
"Blidingia minima",-7.18,62.05,"FO",354482710
"Blidingia minima",-6.7,61.4,"FO",354482680
"Blidingia minima",-6.93,62.32,"FO",354482648
"Blidingia minima",-6.35,62.22,"FO",354482711
"Blidingia minima",-7.05,62.12,"FO",354482674
