"species","lon","lat","countryCode","gbifID"
"Bonnemaisonia asparagoides",7.603,58.01087,"NO",1248635051
"Bonnemaisonia asparagoides",9.80855,58.99358,"NO",1248629163
"Bonnemaisonia asparagoides",8.06625,58.1323,"NO",1248635113
"Bonnemaisonia asparagoides",8.94422,58.5132,"NO",1248635209
"Bonnemaisonia asparagoides",8.58178,58.3166,"NO",1248628805
"Bonnemaisonia asparagoides",8.52282,58.25454,"NO",1248650064
"Bonnemaisonia asparagoides",8.03595,58.1447,"NO",1248635085
"Bonnemaisonia asparagoides",8.53716,58.27313,"NO",1248649788
"Bonnemaisonia asparagoides",-3.386,36.708,"ES",235569801
"Bonnemaisonia asparagoides",-3.722,36.725,"ES",235569859
"Bonnemaisonia asparagoides",-4.7117,36.4756,"ES",235569813
"Bonnemaisonia asparagoides",-4.6388,36.5091,"ES",235569769
"Bonnemaisonia asparagoides",-5.28043,51.74106,"GB",802386677
"Bonnemaisonia asparagoides",-4.65407,53.32265,"GB",806707411
"Bonnemaisonia asparagoides",-5.26282,51.73796,"GB",806708252
"Bonnemaisonia asparagoides",-5.18446,51.67444,"GB",806710261
"Bonnemaisonia asparagoides",-5.24836,51.73836,"GB",806709260
"Bonnemaisonia asparagoides",-5.15074,51.68884,"GB",806711413
"Bonnemaisonia asparagoides",-4.72489,52.11504,"GB",806561926
"Bonnemaisonia asparagoides",-4.4591,52.80347,"GB",806472869
"Bonnemaisonia asparagoides",-4.80973,54.04207,"GB",252072505
"Bonnemaisonia asparagoides",-4.23255,52.75489,"GB",806734891
"Bonnemaisonia asparagoides",-4.22946,52.75225,"GB",806463511
"Bonnemaisonia asparagoides",-4.2264,52.75051,"GB",806689229
"Bonnemaisonia asparagoides",-4.36289,52.69841,"GB",806689429
"Bonnemaisonia asparagoides",-4.23098,52.75312,"GB",806463627
"Bonnemaisonia asparagoides",-4.22636,52.74961,"GB",806463126
"Bonnemaisonia asparagoides",-4.22788,52.75048,"GB",806463314
"Bonnemaisonia asparagoides",-4.23404,52.75486,"GB",806689175
"Bonnemaisonia asparagoides",-4.26826,52.72903,"GB",806464728
"Bonnemaisonia asparagoides",-4.64502,52.90828,"GB",806691043
"Bonnemaisonia asparagoides",-4.45031,52.80545,"GB",806450318
"Bonnemaisonia asparagoides",-4.64497,52.90738,"GB",806690944
"Bonnemaisonia asparagoides",-4.60307,52.92809,"GB",806692018
"Bonnemaisonia asparagoides",-4.65217,52.90363,"GB",806690858
"Bonnemaisonia asparagoides",-4.65069,52.90366,"GB",806691219
"Bonnemaisonia asparagoides",-4.64931,52.90549,"GB",806690982
"Bonnemaisonia asparagoides",-4.6492,52.90369,"GB",806691122
"Bonnemaisonia asparagoides",-4.69033,52.87129,"GB",806690685
"Bonnemaisonia asparagoides",-4.60886,52.92527,"GB",806691970
"Bonnemaisonia asparagoides",-4.69044,52.87309,"GB",806454744
"Bonnemaisonia asparagoides",-4.35826,52.6949,"GB",806457848
"Bonnemaisonia asparagoides",-4.6961,52.86846,"GB",806455049
"Bonnemaisonia asparagoides",-4.35521,52.69317,"GB",806457961
"Bonnemaisonia asparagoides",-4.36432,52.69748,"GB",806457575
"Bonnemaisonia asparagoides",-4.23251,52.75399,"GB",806459039
"Bonnemaisonia asparagoides",-4.69478,52.87119,"GB",806454481
"Bonnemaisonia asparagoides",-4.22483,52.74874,"GB",806459290
"Bonnemaisonia asparagoides",-4.23588,52.76202,"GB",806458587
"Bonnemaisonia asparagoides",-4.38025,52.69087,"GB",806459701
"Bonnemaisonia asparagoides",-4.36585,52.69835,"GB",806457453
"Bonnemaisonia asparagoides",-4.69461,52.8685,"GB",806453864
"Bonnemaisonia asparagoides",-4.4593,52.80706,"GB",806460210
"Bonnemaisonia asparagoides",-4.36733,52.69832,"GB",806457288
"Bonnemaisonia asparagoides",-4.69307,52.86763,"GB",806454592
"Bonnemaisonia asparagoides",-4.69302,52.86673,"GB",806452419
"Bonnemaisonia asparagoides",-4.69324,52.87033,"GB",806454340
"Bonnemaisonia asparagoides",-8.8,37.77,"PT",354482965
"Bonnemaisonia asparagoides",-4.41391,52.84486,"GB",806469233
"Bonnemaisonia asparagoides",-4.40753,52.8369,"GB",806469296
"Bonnemaisonia asparagoides",-4.71701,52.79874,"GB",806469480
"Bonnemaisonia asparagoides",-5.24389,51.73668,"GB",790665152
"Bonnemaisonia asparagoides",-4.71706,52.79964,"GB",806469505
"Bonnemaisonia asparagoides",-4.38641,52.85801,"GB",806469179
"Bonnemaisonia asparagoides",-4.45909,52.82955,"GB",806469402
"Bonnemaisonia asparagoides",-4.40635,52.84232,"GB",806469260
"Bonnemaisonia asparagoides",-4.44788,52.84147,"GB",806469327
"Bonnemaisonia asparagoides",4.85,61.57,"NO",354482959
"Bonnemaisonia asparagoides",5,61.63,"NO",354482960
"Bonnemaisonia asparagoides",4.97,61.62,"NO",354482958
"Bonnemaisonia asparagoides",11.58,57.02,"DK",354482955
"Bonnemaisonia asparagoides",11,57,"DK",354483030
"Bonnemaisonia asparagoides",11.58,57,"DK",354482954
"Bonnemaisonia asparagoides",11.27,57.47,"DK",354482946
"Bonnemaisonia asparagoides",10.87,57.63,"DK",354482925
"Bonnemaisonia asparagoides",10,57,"DK",354483001
"Bonnemaisonia asparagoides",11.23,57.42,"DK",354482931
"Bonnemaisonia asparagoides",11.25,57.42,"DK",354482930
"Bonnemaisonia asparagoides",7.01304,58.03239,"NO",239539098
"Bonnemaisonia asparagoides",-4.36743,52.70012,"GB",806449118
"Bonnemaisonia asparagoides",2.9333,41.7,"ES",888192969
"Bonnemaisonia asparagoides",11.03,57.37,"DK",354482957
"Bonnemaisonia asparagoides",0.23,38.75,"ES",214664553
"Bonnemaisonia asparagoides",7.81929,58.07123,"NO",239539314
"Bonnemaisonia asparagoides",-8.31,43.47,"ES",29374412
"Bonnemaisonia asparagoides",-8.31083,43.4689,"ES",35575409
"Bonnemaisonia asparagoides",-6.32778,49.92161,"GB",1055921668
"Bonnemaisonia asparagoides",-4.88827,51.85323,"GB",1057047008
"Bonnemaisonia asparagoides",0.07,38.64,"ES",214664962
"Bonnemaisonia asparagoides",-5.28682,51.72919,"GB",790698506
"Bonnemaisonia asparagoides",-5.26992,51.73596,"GB",790698230
"Bonnemaisonia asparagoides",3.12,42.45,"FR",214664530
"Bonnemaisonia asparagoides",-5.2454,51.73754,"GB",790633540
"Bonnemaisonia asparagoides",-5.28309,51.69781,"GB",790628011
"Bonnemaisonia asparagoides",-5.27626,51.7034,"GB",790630255
"Bonnemaisonia asparagoides",-5.26852,51.69642,"GB",790629124
"Bonnemaisonia asparagoides",-5.26438,51.69923,"GB",790628521
"Bonnemaisonia asparagoides",-5.2783,51.69165,"GB",790629769
"Bonnemaisonia asparagoides",-5.26839,51.69462,"GB",790629285
"Bonnemaisonia asparagoides",-5.30239,51.74405,"GB",790631109
"Bonnemaisonia asparagoides",-5.27879,51.73841,"GB",790631679
"Bonnemaisonia asparagoides",-5.29417,51.73078,"GB",790632606
"Bonnemaisonia asparagoides",-5.28701,51.73188,"GB",790632001
"Bonnemaisonia asparagoides",6.30399,58.31498,"NO",239539456
"Bonnemaisonia asparagoides",7.19412,58.00184,"NO",239539457
"Bonnemaisonia asparagoides",7.03445,58.0435,"NO",239539460
"Bonnemaisonia asparagoides",7.49025,57.96168,"NO",239539461
"Bonnemaisonia asparagoides",7.21329,58.02457,"NO",239539458
"Bonnemaisonia asparagoides",6.55867,58.21228,"NO",239539459
"Bonnemaisonia asparagoides",7.60328,58.01059,"NO",239539462
"Bonnemaisonia asparagoides",8.06451,58.10643,"NO",239539463
"Bonnemaisonia asparagoides",8.10084,58.07885,"NO",239539451
"Bonnemaisonia asparagoides",11.1388,58.8782,"SE",1123723913
"Bonnemaisonia asparagoides",8.03128,58.08014,"NO",239539452
"Bonnemaisonia asparagoides",8.3163,58.16103,"NO",239539455
"Bonnemaisonia asparagoides",7.79021,58.04648,"NO",239539454
"Bonnemaisonia asparagoides",7.23078,57.979,"NO",239539453
"Bonnemaisonia asparagoides",-1.15587,50.7819,"GB",1265657458
"Bonnemaisonia asparagoides",-1.21222,50.73907,"GB",1265656389
"Bonnemaisonia asparagoides",-1.07192,50.68778,"GB",1265656832
"Bonnemaisonia asparagoides",8.32772,58.18624,"NO",239539450
"Bonnemaisonia asparagoides",4.93,60.57,"NO",354482964
"Bonnemaisonia asparagoides",-2.12213,50.60289,"GB",1265656751
"Bonnemaisonia asparagoides",-4.65067,51.16328,"GB",1265656963
"Bonnemaisonia asparagoides",-6.12,56.495,"GB",1055906640
"Bonnemaisonia asparagoides",-4.37393,47.79828,"FR",1265656800
"Bonnemaisonia asparagoides",-4.66406,51.1903,"GB",1265656628
"Bonnemaisonia asparagoides",-4.6679,51.19739,"GB",1056053491
"Bonnemaisonia asparagoides",-4.67463,51.16279,"GB",1265656827
"Bonnemaisonia asparagoides",11.28109,58.58563,"SE",1065681733
"Bonnemaisonia asparagoides",-2.09542,55.09463,"GB",1057257546
"Bonnemaisonia asparagoides",11.41989,58.22504,"SE",788875385
"Bonnemaisonia asparagoides",11.44486,58.24867,"SE",1065681964
"Bonnemaisonia asparagoides",-4.78144,54.076,"GB",252059135
"Bonnemaisonia asparagoides",11.42361,58.23389,"SE",1052046401
"Bonnemaisonia asparagoides",11.37,58.26944,"SE",1052046451
"Bonnemaisonia asparagoides",11.40669,58.25972,"SE",788878568
"Bonnemaisonia asparagoides",-1.65,49.63333,"FR",436813166
"Bonnemaisonia asparagoides",11.41451,58.2711,"SE",788847631
"Bonnemaisonia asparagoides",-4.60632,50.50383,"GB",1057407418
"Bonnemaisonia asparagoides",-6.31391,49.9128,"GB",1055767200
"Bonnemaisonia asparagoides",11.43409,58.27185,"SE",788865031
"Bonnemaisonia asparagoides",-3.64852,50.60359,"GB",1055710692
"Bonnemaisonia asparagoides",-1.9569,50.61,"GB",1057446666
"Bonnemaisonia asparagoides",-1.9947,55.7797,"GB",1057020646
"Bonnemaisonia asparagoides",-2.109,54.15535,"GB",1055821494
"Bonnemaisonia asparagoides",11.06763,58.57944,"SE",1065681917
"Bonnemaisonia asparagoides",0.18015,38.76907,"ES",187910689
"Bonnemaisonia asparagoides",-1.6,49.63333,"FR",1019522068
"Bonnemaisonia asparagoides",-4.10403,50.30427,"GB",1305326129
"Bonnemaisonia asparagoides",-2.58565,49.46335,"GG",1057600839
"Bonnemaisonia asparagoides",-2.51047,56.00158,"GB",1056285363
"Bonnemaisonia asparagoides",-5.23663,51.71619,"GB",806709765
"Bonnemaisonia asparagoides",-1.38369,54.90701,"GB",1020048579
