"species","lon","lat","countryCode","gbifID"
"Bonnemaisonia hamifera",5.20255,60.24115,"NO",1272941460
"Bonnemaisonia hamifera",6.07117,62.58269,"NO",1272941546
"Bonnemaisonia hamifera",5.06634,60.11359,"NO",1273344241
"Bonnemaisonia hamifera",6.22598,62.49787,"NO",1272941677
"Bonnemaisonia hamifera",5.99903,62.42119,"NO",1236524998
"Bonnemaisonia hamifera",6.00516,58.95877,"NO",1236050486
"Bonnemaisonia hamifera",5.68534,59.04618,"NO",1236050399
"Bonnemaisonia hamifera",5.66461,59.00373,"NO",1236050513
"Bonnemaisonia hamifera",5.74556,59.03494,"NO",1236046421
"Bonnemaisonia hamifera",5.73446,58.97981,"NO",1236050487
"Bonnemaisonia hamifera",5.61389,59.02388,"NO",1236050495
"Bonnemaisonia hamifera",17.50238,68.49099,"NO",1241153934
"Bonnemaisonia hamifera",17.38864,68.42973,"NO",1241150474
"Bonnemaisonia hamifera",17.42866,68.41629,"NO",1241165497
"Bonnemaisonia hamifera",8.53716,58.27313,"NO",1248648561
"Bonnemaisonia hamifera",7.603,58.01087,"NO",1248629268
"Bonnemaisonia hamifera",9.75365,59.02335,"NO",1248634917
"Bonnemaisonia hamifera",8.52282,58.25454,"NO",1248649444
"Bonnemaisonia hamifera",11.06977,59.02468,"NO",1248642066
"Bonnemaisonia hamifera",10.70399,59.2543,"NO",1248654888
"Bonnemaisonia hamifera",9.80855,58.99358,"NO",1248629209
"Bonnemaisonia hamifera",8.94422,58.5132,"NO",1248634953
"Bonnemaisonia hamifera",8.58178,58.3166,"NO",1248628967
"Bonnemaisonia hamifera",8.03595,58.1447,"NO",1248634729
"Bonnemaisonia hamifera",8.06625,58.1323,"NO",1248635120
"Bonnemaisonia hamifera",9.26766,58.74279,"NO",1248648939
"Bonnemaisonia hamifera",11.7282,57.5089,"SE",875812269
"Bonnemaisonia hamifera",-6.31321,49.91125,"GB",1291527422
"Bonnemaisonia hamifera",-6.34805,49.95764,"GB",1291527309
"Bonnemaisonia hamifera",10.4601,59.16614,"NO",1241267830
"Bonnemaisonia hamifera",5.9551,59.0208,"NO",1248629018
"Bonnemaisonia hamifera",6.23588,59.32581,"NO",1248628328
"Bonnemaisonia hamifera",6.30339,59.29436,"NO",1248607282
"Bonnemaisonia hamifera",6.04334,59.18419,"NO",1248630289
"Bonnemaisonia hamifera",-6.915,57.839,"GB",1265662965
"Bonnemaisonia hamifera",6.77519,58.06587,"NO",1248629030
"Bonnemaisonia hamifera",6.7755,58.06733,"NO",1248628907
"Bonnemaisonia hamifera",-9.92798,54.26553,"IE",368080056
"Bonnemaisonia hamifera",11.1136,58.8772,"SE",853748533
"Bonnemaisonia hamifera",-8.40262,54.89327,"IE",368079855
"Bonnemaisonia hamifera",-8.38947,54.87705,"IE",368079825
"Bonnemaisonia hamifera",-8.46382,54.84278,"IE",368079768
"Bonnemaisonia hamifera",-4.41516,52.86732,"GB",806680973
"Bonnemaisonia hamifera",-5.16315,58.35268,"GB",1056876429
"Bonnemaisonia hamifera",-9.86185,51.81136,"IE",368078708
"Bonnemaisonia hamifera",-10.28247,51.90782,"IE",368078632
"Bonnemaisonia hamifera",-9.80082,51.65511,"IE",368078962
"Bonnemaisonia hamifera",-8.46587,54.84144,"IE",368079167
"Bonnemaisonia hamifera",18.43533,69.89907,"NO",239488622
"Bonnemaisonia hamifera",1.40434,51.39342,"GB",1057352112
"Bonnemaisonia hamifera",-4.4517,50.345,"GB",1055631611
"Bonnemaisonia hamifera",10,57,"DK",387614233
"Bonnemaisonia hamifera",10.92,57.35,"DK",354483312
"Bonnemaisonia hamifera",10.9,57.35,"DK",354483314
"Bonnemaisonia hamifera",-3.35455,58.61966,"GB",1055890152
"Bonnemaisonia hamifera",-5.87815,56.92179,"GB",1055747362
"Bonnemaisonia hamifera",-3.464,58.43007,"GB",1057277439
"Bonnemaisonia hamifera",11,57.42,"DK",354483308
"Bonnemaisonia hamifera",11,57,"DK",387614227
"Bonnemaisonia hamifera",10.58,57.5,"DK",354483307
"Bonnemaisonia hamifera",7.88528,54.1825,"DE",63859650
"Bonnemaisonia hamifera",-5.26282,51.73796,"GB",806708389
"Bonnemaisonia hamifera",-5.33698,51.8789,"GB",806472295
"Bonnemaisonia hamifera",11.18,56.15,"DK",354483274
"Bonnemaisonia hamifera",11,56,"DK",387614210
"Bonnemaisonia hamifera",11.18,56.12,"DK",354483269
"Bonnemaisonia hamifera",8.25,56.6,"DK",354483267
"Bonnemaisonia hamifera",8,56,"DK",354483410
"Bonnemaisonia hamifera",-4.45031,52.80545,"GB",806450410
"Bonnemaisonia hamifera",-3.32773,59.05117,"GB",1057410447
"Bonnemaisonia hamifera",-4.46911,52.82304,"GB",806460576
"Bonnemaisonia hamifera",-4.69302,52.86673,"GB",806453882
"Bonnemaisonia hamifera",-2.94807,58.99458,"GB",1055917432
"Bonnemaisonia hamifera",-4.69478,52.87119,"GB",806454484
"Bonnemaisonia hamifera",11.58,57,"DK",354483186
"Bonnemaisonia hamifera",11.27,57.47,"DK",354483185
"Bonnemaisonia hamifera",12.07,56.53,"DK",354483246
"Bonnemaisonia hamifera",12,56,"DK",387614194
"Bonnemaisonia hamifera",11.73,56.3,"DK",354483181
"Bonnemaisonia hamifera",11.58,57.02,"DK",354483187
"Bonnemaisonia hamifera",12.07,56.55,"DK",354483249
"Bonnemaisonia hamifera",12.05,56.55,"DK",354483194
"Bonnemaisonia hamifera",11.77,56.28,"DK",354483179
"Bonnemaisonia hamifera",4.83,61.6,"NO",354483202
"Bonnemaisonia hamifera",-6.73,61.97,"FO",354483258
"Bonnemaisonia hamifera",5.03,61.48,"NO",354483201
"Bonnemaisonia hamifera",5.08,61.5,"NO",354483242
"Bonnemaisonia hamifera",4.8,61.62,"NO",354483210
"Bonnemaisonia hamifera",-6,61,"FO",354483397
"Bonnemaisonia hamifera",5,61.63,"NO",354483212
"Bonnemaisonia hamifera",4.88,61.62,"NO",354483211
"Bonnemaisonia hamifera",4.87,61.6,"NO",354483203
"Bonnemaisonia hamifera",10.83,56.13,"DK",354483235
"Bonnemaisonia hamifera",10,56,"DK",387614205
"Bonnemaisonia hamifera",10.83,56.25,"DK",354483287
"Bonnemaisonia hamifera",10,55,"DK",387614215
"Bonnemaisonia hamifera",10.75,55.93,"DK",354483284
"Bonnemaisonia hamifera",-6.53,62.35,"FO",354483199
"Bonnemaisonia hamifera",-6.83,62.25,"FO",354483198
"Bonnemaisonia hamifera",-6,62,"FO",354483400
"Bonnemaisonia hamifera",4.67,61.57,"NO",354483218
"Bonnemaisonia hamifera",4.85,61.57,"NO",354483232
"Bonnemaisonia hamifera",4.97,61.78,"NO",354483220
"Bonnemaisonia hamifera",4.97,61.62,"NO",354483237
"Bonnemaisonia hamifera",5,61.6,"NO",354483231
"Bonnemaisonia hamifera",10.87,57.63,"DK",354483193
"Bonnemaisonia hamifera",10.62,57.47,"DK",354483165
"Bonnemaisonia hamifera",11.23,57.42,"DK",354483247
"Bonnemaisonia hamifera",-6.52,62.17,"FO",354483256
"Bonnemaisonia hamifera",-6.53,62.2,"FO",354483257
"Bonnemaisonia hamifera",-6.67,62.3,"FO",354483261
"Bonnemaisonia hamifera",10.88,56.58,"DK",354483168
"Bonnemaisonia hamifera",10.92,56.57,"DK",354483170
"Bonnemaisonia hamifera",-6.93,62.3,"FO",354483171
"Bonnemaisonia hamifera",-6.85,62.25,"FO",354483163
"Bonnemaisonia hamifera",-9.297,51.491,"IE",23153629
"Bonnemaisonia hamifera",11,55,"DK",387614163
"Bonnemaisonia hamifera",11.47,55.97,"DK",354483140
"Bonnemaisonia hamifera",11.9,56.02,"DK",354483138
"Bonnemaisonia hamifera",-6.5,62.35,"FO",354483150
"Bonnemaisonia hamifera",10.85,56.1,"DK",354483141
"Bonnemaisonia hamifera",10.88,55.95,"DK",354483142
"Bonnemaisonia hamifera",11.13,56.12,"DK",354483088
"Bonnemaisonia hamifera",11.25,57.42,"DK",354483091
"Bonnemaisonia hamifera",12.05,56.53,"DK",354483096
"Bonnemaisonia hamifera",10.6,57.48,"DK",354483289
"Bonnemaisonia hamifera",12.05,56.52,"DK",354483131
"Bonnemaisonia hamifera",10.77,55.93,"DK",354483135
"Bonnemaisonia hamifera",10.57,55.73,"DK",354483106
"Bonnemaisonia hamifera",10.57,55.72,"DK",354483105
"Bonnemaisonia hamifera",11.32,56.32,"DK",354483359
