"species","lon","lat","countryCode","gbifID"
"Bostrychia arbuscula",173.02539,-34.39719,"NZ",1269435168
"Bostrychia arbuscula",168.35936,-46.61219,"NZ",1211009090
"Bostrychia arbuscula",168.84737,-46.66096,"NZ",1211009078
"Bostrychia arbuscula",168.35306,-46.60306,"NZ",1269389690
"Bostrychia arbuscula",168.13306,-46.88278,"NZ",1269389663
"Bostrychia arbuscula",166.63333,-46.03333,"NZ",1269291382
"Bostrychia arbuscula",166.51667,-45.78333,"NZ",1269287438
"Bostrychia arbuscula",169.38139,-46.60889,"NZ",1269425081
"Bostrychia arbuscula",167.68333,-47.2,"NZ",1269421762
"Bostrychia arbuscula",167.81667,-46.36667,"NZ",1269425091
"Bostrychia arbuscula",174.8,-41.33333,"NZ",1269413779
"Bostrychia arbuscula",-176.5,-43.86667,"NZ",1269425117
"Bostrychia arbuscula",170.18333,-46.11667,"NZ",1269302903
"Bostrychia arbuscula",168.16667,-46.9,"NZ",1269424317
"Bostrychia arbuscula",170.53333,-45.91667,"NZ",1269425077
"Bostrychia arbuscula",170.58333,-45.71667,"NZ",1269338492
"Bostrychia arbuscula",170.63818,-45.8234,"NZ",1305324953
"Bostrychia arbuscula",174.18528,-41.84583,"NZ",1269374566
"Bostrychia arbuscula",173.68333,-42.4,"NZ",1269428490
"Bostrychia arbuscula",170.64149,-45.82747,"NZ",1211008805
"Bostrychia arbuscula",170.91667,-45.41667,"NZ",1269257987
"Bostrychia arbuscula",169.78333,-46.38333,"NZ",1269425079
"Bostrychia arbuscula",167.91667,-46.58333,"NZ",1269240392
"Bostrychia arbuscula",173.50312,-42.51853,"NZ",1305324209
"Bostrychia arbuscula",168.14,-46.90458,"NZ",1305323625
"Bostrychia arbuscula",168.13333,-46.88333,"NZ",1269244737
"Bostrychia arbuscula",174.79095,-41.27443,"NZ",1305323280
