"species","lon","lat","countryCode","gbifID"
"Callophyllis laciniata",-9.81103,51.63016,"IE",1313445763
"Callophyllis laciniata",-9.95117,53.8033,"IE",1313446837
"Callophyllis laciniata",6.07717,62.58615,"NO",1236645278
"Callophyllis laciniata",-6.31073,49.93024,"GB",1291527400
"Callophyllis laciniata",-6.34805,49.95764,"GB",1291527312
"Callophyllis laciniata",-5.72905,54.67243,"GB",1133906388
"Callophyllis laciniata",0.91371,51.20854,"GB",1055353878
"Callophyllis laciniata",-9.12936,53.24958,"IE",368080341
"Callophyllis laciniata",-9.62803,53.24583,"IE",368080285
"Callophyllis laciniata",-8.66263,54.27254,"IE",368079902
"Callophyllis laciniata",-9.84455,54.30133,"IE",368080097
"Callophyllis laciniata",-9.92798,54.26553,"IE",368080057
"Callophyllis laciniata",-8.63979,54.32047,"IE",368079994
"Callophyllis laciniata",-9.87784,54.24335,"IE",368080140
"Callophyllis laciniata",-5.10998,51.68543,"GB",806681405
"Callophyllis laciniata",-8.46382,54.84278,"IE",368079769
"Callophyllis laciniata",-9.74079,51.46056,"IE",368079363
"Callophyllis laciniata",-5.27114,58.13682,"GB",1057520317
"Callophyllis laciniata",1.31439,51.12112,"GB",1057208835
"Callophyllis laciniata",-10.28247,51.90782,"IE",368078633
"Callophyllis laciniata",-9.92261,51.63256,"IE",368079007
"Callophyllis laciniata",-8.64048,54.32056,"IE",368079105
"Callophyllis laciniata",-4.6525,51.1625,"GB",1291325261
"Callophyllis laciniata",-4.67463,51.16279,"GB",1291325246
"Callophyllis laciniata",-8.46587,54.84144,"IE",368079168
"Callophyllis laciniata",-8.97127,53.25614,"IE",368077980
"Callophyllis laciniata",-6.03164,52.98117,"IE",368078063
"Callophyllis laciniata",-9.12935,53.24959,"IE",368078009
"Callophyllis laciniata",-8.23891,51.85706,"IE",368077922
"Callophyllis laciniata",-8.29304,51.78064,"IE",368077670
"Callophyllis laciniata",-8.22783,51.83902,"IE",368077894
"Callophyllis laciniata",-8.25187,51.79516,"IE",368077744
"Callophyllis laciniata",-8.663,54.27244,"IE",368078481
"Callophyllis laciniata",-6.98913,52.15413,"IE",368077805
"Callophyllis laciniata",-6.90373,52.15467,"IE",368077829
"Callophyllis laciniata",-5.601,36.004,"ES",415608207
"Callophyllis laciniata",7.15449,58.04047,"NO",239539203
"Callophyllis laciniata",-5.3087,51.73127,"GB",802386202
"Callophyllis laciniata",-5.28043,51.74106,"GB",802386912
"Callophyllis laciniata",-5.29556,51.72985,"GB",802387285
"Callophyllis laciniata",-5.28951,51.72642,"GB",802387088
"Callophyllis laciniata",7.03413,58.04357,"NO",239539179
"Callophyllis laciniata",7.79021,58.04648,"NO",239539182
"Callophyllis laciniata",-4.59295,53.24351,"GB",796176440
"Callophyllis laciniata",-5.23663,51.71619,"GB",806709779
"Callophyllis laciniata",-5.24836,51.73836,"GB",806709467
