"species","lon","lat","countryCode","gbifID"
"Centroceras clavulatum",-117.24523,32.66766,"US",1273843675
"Centroceras clavulatum",-117.2451,32.66764,"US",1269576914
"Centroceras clavulatum",-118.40375,33.74077,"US",1272099275
"Centroceras clavulatum",-117.28149,32.84309,"US",1291081313
"Centroceras clavulatum",-48.35354,-26.47072,"BR",1077376252
"Centroceras clavulatum",175.49278,-36.26667,"NZ",1269418378
"Centroceras clavulatum",175.47972,-36.20833,"NZ",1269418326
"Centroceras clavulatum",-48.30386,-27.1259,"BR",1077376212
"Centroceras clavulatum",-48.36587,-26.49348,"BR",1077376270
"Centroceras clavulatum",-48.37141,-26.49388,"BR",1077376214
"Centroceras clavulatum",-48.33468,-27.0919,"BR",1077376192
"Centroceras clavulatum",-48.22371,-27.27379,"BR",1077376162
"Centroceras clavulatum",-48.26089,-27.23388,"BR",1077376197
"Centroceras clavulatum",174.60639,-37.01361,"NZ",1269420686
"Centroceras clavulatum",-44.38333,-2.51667,"BR",1087724647
"Centroceras clavulatum",173.13458,-35.17686,"NZ",1269423669
"Centroceras clavulatum",173.66778,-35.87333,"NZ",1269404418
"Centroceras clavulatum",138.482769234768,-34.794006193874,"AU",991982880
"Centroceras clavulatum",-48.36971,-27.44307,"BR",1077338941
"Centroceras clavulatum",174.72567,-36.48717,"NZ",1269410395
"Centroceras clavulatum",-48.51863,-27.50988,"BR",1077339148
"Centroceras clavulatum",175.23167,-36.95194,"NZ",1269412273
"Centroceras clavulatum",115.68706,-32.2715900299131,"AU",996946197
"Centroceras clavulatum",175.05861,-36.22167,"NZ",1269397432
"Centroceras clavulatum",116.73309,-35.031290033849,"AU",996951636
"Centroceras clavulatum",174.60639,-37.01278,"NZ",1269401162
"Centroceras clavulatum",-46.1975,-23.64444,"BR",1090655771
"Centroceras clavulatum",175.01694,-36.78583,"NZ",1269390812
"Centroceras clavulatum",137.443898931411,-35.592069376197,"AU",1061528056
"Centroceras clavulatum",174.65917,-36.95694,"NZ",1269390820
"Centroceras clavulatum",137.764696145612,-33.0051121503451,"AU",1061528100
"Centroceras clavulatum",174.90694,-36.85917,"NZ",1269391180
"Centroceras clavulatum",174.7525,-36.26139,"NZ",1269391637
"Centroceras clavulatum",-45.13528,-23.50444,"BR",1087406172
"Centroceras clavulatum",-35.29861,-5.42722,"BR",1095828196
"Centroceras clavulatum",174.74306,-36.99167,"NZ",1269392791
"Centroceras clavulatum",174.79333,-36.94028,"NZ",1269392807
"Centroceras clavulatum",174.79389,-36.35167,"NZ",1269393106
"Centroceras clavulatum",174.50389,-37.05194,"NZ",1269393658
"Centroceras clavulatum",-3.341,36.735,"ES",235569799
"Centroceras clavulatum",174.45278,-36.91861,"NZ",1269393056
"Centroceras clavulatum",-39.03028,-14.4775,"BR",1094175146
"Centroceras clavulatum",175.19639,-36.9375,"NZ",1269393130
"Centroceras clavulatum",174.7625,-36.74528,"NZ",1269390808
"Centroceras clavulatum",174.83667,-36.37,"NZ",1269390861
"Centroceras clavulatum",175.5175,-37.03056,"NZ",1269393049
"Centroceras clavulatum",-46.29333,-24.14028,"BR",1087405371
"Centroceras clavulatum",124.92833,-14.5177800043103,"AU",996898313
"Centroceras clavulatum",-156.533,20.9833,"US",1090315735
"Centroceras clavulatum",145.227,20.0309,"MP",1090225063
"Centroceras clavulatum",-38.93,-13.57833,"BR",1094852016
"Centroceras clavulatum",-38.89667,-13.59861,"BR",1094852017
"Centroceras clavulatum",140.614,36.3662,"JP",380199540
"Centroceras clavulatum",174.59833,-37.04611,"NZ",1269393642
"Centroceras clavulatum",-157.8,21.4833,"US",1090168801
"Centroceras clavulatum",175.17083,-36.72444,"NZ",1269386535
"Centroceras clavulatum",175.93944,-37.39528,"NZ",1269392543
"Centroceras clavulatum",174.46194,-35.52944,"NZ",1269393468
"Centroceras clavulatum",114.86768,-29.2947800251653,"AU",996898467
"Centroceras clavulatum",-80.48278,22.12139,"CU",1095825012
"Centroceras clavulatum",-144.652,13.4006999995741,"none",1090341943
"Centroceras clavulatum",-38.67972,-13.04111,"BR",1094865531
"Centroceras clavulatum",119.61186,-17.0850000068609,"AU",996910142
"Centroceras clavulatum",-156.026,19.6718,"US",1090265365
"Centroceras clavulatum",-156.027,19.6725,"US",1090358486
"Centroceras clavulatum",174.58167,-37.68333,"NZ",1269393061
"Centroceras clavulatum",151.551,-33.0733000311146,"AU",996135605
"Centroceras clavulatum",-156.944,21.1756,"US",1090215245
"Centroceras clavulatum",-156.949,21.1879,"US",1090378693
"Centroceras clavulatum",145.212,20.0176,"MP",1090328619
"Centroceras clavulatum",145.832,17.3169,"MP",1090223735
"Centroceras clavulatum",145.64,18.7576,"MP",1090286957
"Centroceras clavulatum",-155.911,19.4169,"US",1090309634
"Centroceras clavulatum",-48.53778,-25.81222,"BR",1087405274
"Centroceras clavulatum",-46.39,-23.96,"BR",1087402593
"Centroceras clavulatum",-81.3095,29.892,"US",911786499
"Centroceras clavulatum",115.41248,-20.6984800114432,"AU",996845945
"Centroceras clavulatum",-45.16778,-23.52833,"BR",1095826216
"Centroceras clavulatum",-46.81194,-24.19917,"BR",1095826254
"Centroceras clavulatum",-156.901,20.916,"US",35863623
"Centroceras clavulatum",-156.898,20.9139,"US",35869216
"Centroceras clavulatum",-156.888,20.7417,"US",35867148
"Centroceras clavulatum",-156.893,20.7367,"US",35864950
"Centroceras clavulatum",-64.71328,32.36539,"BM",888202404
"Centroceras clavulatum",145.775,16.7163,"MP",1090191887
"Centroceras clavulatum",145.394,19.702,"MP",1090252799
"Centroceras clavulatum",145.744,18.0929,"MP",1090312805
"Centroceras clavulatum",145.207,14.1826,"MP",1090348722
"Centroceras clavulatum",145.815,17.6075,"MP",1090356170
"Centroceras clavulatum",-38.6475,-13.02806,"BR",1094813752
"Centroceras clavulatum",145.286,14.1754,"MP",1090323072
"Centroceras clavulatum",145.818,17.5871,"MP",1090258525
"Centroceras clavulatum",145.788,18.1683,"MP",1090327399
"Centroceras clavulatum",145.23,20.0225,"MP",1090219363
"Centroceras clavulatum",145.835,17.3003,"MP",1090297869
"Centroceras clavulatum",145.572,14.8491,"MP",1090352463
"Centroceras clavulatum",145.704,16.3333,"MP",1090212944
"Centroceras clavulatum",26.5433,-33.7517,"ZA",25140589
"Centroceras clavulatum",26.3242,-33.7669,"ZA",25140587
"Centroceras clavulatum",-64.82294,32.25094,"BM",888202427
"Centroceras clavulatum",-157.703,21.2872,"US",35867200
"Centroceras clavulatum",174.46667,-36.95,"NZ",1269289971
"Centroceras clavulatum",-64.67481,32.38992,"BM",888202553
"Centroceras clavulatum",-109.383,-27.1333,"CL",35864816
"Centroceras clavulatum",-45.08583,-23.43472,"BR",1095823445
"Centroceras clavulatum",-45.07,-23.43,"BR",1087401974
"Centroceras clavulatum",-155.05,19.1667,"US",35863331
"Centroceras clavulatum",-40.329,-21.165,"BR",25158658
"Centroceras clavulatum",-46.13917,-23.85528,"BR",1087401905
"Centroceras clavulatum",-46.25,-23.99,"BR",1087401991
"Centroceras clavulatum",145.77,15.1558,"MP",1090219667
"Centroceras clavulatum",145.788,15.176,"MP",1090255879
"Centroceras clavulatum",-175.926,27.7605,"US",1090344242
"Centroceras clavulatum",-164.708,23.5758,"US",1090359243
"Centroceras clavulatum",-178.307,28.4526,"US",1090352210
"Centroceras clavulatum",-47.55,-24.7,"BR",1087401941
"Centroceras clavulatum",-171.744,25.7654,"US",1090235518
"Centroceras clavulatum",-167.998,24.9966,"US",1090233064
"Centroceras clavulatum",-175.792,27.8266,"US",35853431
"Centroceras clavulatum",-166.171,23.7435,"US",1090236143
"Centroceras clavulatum",-173.979,26.0494,"US",35875339
"Centroceras clavulatum",29.7347,-31.4689,"ZA",25140588
"Centroceras clavulatum",-105.887,21.845,"MX",371229391
"Centroceras clavulatum",29.9728,-31.3194,"ZA",25140591
"Centroceras clavulatum",174.76944,-36.92806,"NZ",1269393081
"Centroceras clavulatum",-44,-23,"BR",1209430937
"Centroceras clavulatum",-48.26102,-27.3519,"BR",1077338873
"Centroceras clavulatum",-159.583,22.215,"US",35867085
"Centroceras clavulatum",-156.05,19.7167,"US",35862597
"Centroceras clavulatum",-157.45,1.95,"KI",35866334
"Centroceras clavulatum",-157.834,21.2772,"US",35861478
"Centroceras clavulatum",-155.833,20.0333,"US",35864813
"Centroceras clavulatum",-159.483,22.215,"US",35868388
"Centroceras clavulatum",-155.928,20.7633,"US",35865006
"Centroceras clavulatum",-156.467,20.8833,"US",35864833
"Centroceras clavulatum",-45.01111,-23.73139,"BR",1095823303
"Centroceras clavulatum",-45.29,-23.84028,"BR",1087401598
"Centroceras clavulatum",-158.183,21.25,"US",35864800
"Centroceras clavulatum",-159.35,21.95,"US",35864807
"Centroceras clavulatum",-158.183,21.4333,"US",35862624
"Centroceras clavulatum",-159.583,22.2,"US",35869967
"Centroceras clavulatum",151.655,-32.0342,"AU",995912324
"Centroceras clavulatum",-159.5,22.2,"US",35866767
"Centroceras clavulatum",-155.5,19.2333,"US",35866291
"Centroceras clavulatum",-156.667,20.85,"US",35862442
"Centroceras clavulatum",-156.017,19.6667,"US",35866425
"Centroceras clavulatum",-156.667,20.8667,"US",35862474
"Centroceras clavulatum",122.2083,-17.9277200078314,"AU",996854884
"Centroceras clavulatum",-157.867,21.2833,"US",35868401
"Centroceras clavulatum",136.85917,-35.36667,"AU",1061518256
"Centroceras clavulatum",-171.068,25.7883,"US",1090258030
"Centroceras clavulatum",-46.79778,-24.19444,"BR",1095823162
"Centroceras clavulatum",-46.17667,-23.91083,"BR",1087401263
"Centroceras clavulatum",21.9486,-34.3,"ZA",25140612
"Centroceras clavulatum",-46.16194,-23.90694,"BR",1087401251
"Centroceras clavulatum",21.4528,-34.3694,"ZA",25140590
"Centroceras clavulatum",21.4167,-34.4,"ZA",25140611
"Centroceras clavulatum",-46.825,-24.20694,"BR",1095823431
"Centroceras clavulatum",-45.34417,-23.99694,"BR",1087401615
"Centroceras clavulatum",148.6761,-20.2734400108503,"AU",993057033
"Centroceras clavulatum",101.01736,15.12704,"TH",1056813768
"Centroceras clavulatum",-64.67481,32.38989,"BM",888202530
"Centroceras clavulatum",-40.4115,-20.5974,"BR",1090876504
"Centroceras clavulatum",-157.783,21.4481,"US",35868182
"Centroceras clavulatum",-46.25028,-23.99056,"BR",1090963156
"Centroceras clavulatum",-157,21.0667,"US",35869485
"Centroceras clavulatum",-156.867,21.0333,"US",35866979
"Centroceras clavulatum",-156.017,19.9333,"US",35866757
"Centroceras clavulatum",-155.867,20.0833,"US",35860580
