"species","lon","lat","countryCode","gbifID"
"Ceramium nitens",-88.07242,16.74328,"BZ",910625237
"Ceramium nitens",-81.70633,24.59217,"US",911786569
"Ceramium nitens",-35.0639,-8.39889,"BR",1087402550
"Ceramium nitens",-64.7367,32.3233,"BM",888203485
"Ceramium nitens",-35.00722,-8.50417,"BR",1095821365
"Ceramium nitens",-81.47677,12.46111,"CO",1316271384
"Ceramium nitens",-81.45694,12.38536,"CO",1316271318
"Ceramium nitens",-88.2417,16.8292,"BZ",888203427
"Ceramium nitens",-73.1639,22.3389,"BS",888203505
"Ceramium nitens",-77.92917,26.6075,"BS",888203531
"Ceramium nitens",-88.08,16.8,"BZ",888203524
"Ceramium nitens",-64.6783,32.3117,"BM",888203443
"Ceramium nitens",-87.5333,17.1833,"BZ",888203504
"Ceramium nitens",-87.53,17.18,"BZ",888203470
"Ceramium nitens",-86.87,20.83,"MX",888203557
"Ceramium nitens",-79.86347,9.405,"PA",888203516
"Ceramium nitens",-75.75733,10.19824,"CO",1062303293
"Ceramium nitens",-77,26.4,"BS",888203467
"Ceramium nitens",-88.68477,17.21767,"BZ",1057438555
"Ceramium nitens",-89.75,22.5,"MX",888203469
