"species","lon","lat","countryCode","gbifID"
"Chaetomorpha melagonium",10.41152,59.05678,"NO",1241150279
"Chaetomorpha melagonium",10.53681,59.18272,"NO",1236091891
"Chaetomorpha melagonium",10.70399,59.2543,"NO",1248642728
"Chaetomorpha melagonium",8.53716,58.27313,"NO",1248650217
"Chaetomorpha melagonium",9.80855,58.99358,"NO",1248629284
"Chaetomorpha melagonium",8.06625,58.1323,"NO",1248637076
"Chaetomorpha melagonium",8.94422,58.5132,"NO",1248629912
"Chaetomorpha melagonium",8.03595,58.1447,"NO",1248636151
"Chaetomorpha melagonium",11.06977,59.02468,"NO",1248637364
"Chaetomorpha melagonium",8.52282,58.25454,"NO",1248654165
"Chaetomorpha melagonium",5.16829,60.19838,"NO",1248631875
"Chaetomorpha melagonium",6.23588,59.32581,"NO",1248606888
"Chaetomorpha melagonium",-6.915,57.839,"GB",1265663264
"Chaetomorpha melagonium",-0.40542,54.30255,"GB",732463341
"Chaetomorpha melagonium",6.77519,58.06587,"NO",1248629470
"Chaetomorpha melagonium",-4.19192,53.21335,"GB",806529087
"Chaetomorpha melagonium",-4.18892,53.2134,"GB",806528005
"Chaetomorpha melagonium",-4.19337,53.21242,"GB",806528663
"Chaetomorpha melagonium",-4.19042,53.21337,"GB",806529854
"Chaetomorpha melagonium",-5.10998,51.68543,"GB",806681407
"Chaetomorpha melagonium",-2.9858,51.3844,"GB",1055401599
"Chaetomorpha melagonium",-4.52813,53.22467,"GB",806680394
"Chaetomorpha melagonium",-4.52818,53.22557,"GB",806680150
"Chaetomorpha melagonium",-7.61591,55.26452,"IE",368079613
"Chaetomorpha melagonium",-7.50115,55.16667,"IE",368079533
"Chaetomorpha melagonium",-5.81492,57.6507,"GB",1057085980
"Chaetomorpha melagonium",-4.26402,52.2453,"GB",806497967
"Chaetomorpha melagonium",-4.20872,53.19056,"GB",806502636
"Chaetomorpha melagonium",10,57,"DK",387622650
"Chaetomorpha melagonium",-4.67648,51.69612,"GB",806507370
