"species","lon","lat","countryCode","gbifID"
"Chrysymenia enteromorpha",-38.63583,-12.72472,"BR",1094900692
"Chrysymenia enteromorpha",-38.52667,-18.5075,"BR",1209389784
"Chrysymenia enteromorpha",-46.29333,-24.14028,"BR",1087405616
"Chrysymenia enteromorpha",-40.50147,-21.09614,"BR",1095827979
"Chrysymenia enteromorpha",-40.57878,-21.07544,"BR",1087406425
"Chrysymenia enteromorpha",-40.68333,-21.03333,"BR",1209350895
"Chrysymenia enteromorpha",-40.71667,-21.03333,"BR",1209350915
"Chrysymenia enteromorpha",-81.55361,9.06028,"PA",888851832
"Chrysymenia enteromorpha",-88.07125,16.69753,"BZ",888364151
"Chrysymenia enteromorpha",-88.07185,16.72677,"BZ",888364124
"Chrysymenia enteromorpha",-88.0737,16.75958,"BZ",888364244
"Chrysymenia enteromorpha",-37.485,-20.146,"BR",25158730
"Chrysymenia enteromorpha",-61.13833,14.62833,"MQ",888364163
"Chrysymenia enteromorpha",-82.6392,26.2803,"US",888364185
"Chrysymenia enteromorpha",-40.56667,-21.45,"BR",1090647701
"Chrysymenia enteromorpha",-82.5833,15.2167,"HN",888364170
"Chrysymenia enteromorpha",-77.41667,33.53833,"US",888364238
"Chrysymenia enteromorpha",-82.58,15.22,"HN",888364114
"Chrysymenia enteromorpha",-82.7336,26.2803,"US",888364204
"Chrysymenia enteromorpha",-77.405,33.52667,"US",888364184
"Chrysymenia enteromorpha",-77.40667,33.51833,"US",888364222
"Chrysymenia enteromorpha",-77.4033,33.51,"US",888364165
"Chrysymenia enteromorpha",-76.8833,34.3167,"US",888364085
"Chrysymenia enteromorpha",-79.715,32.485,"US",888364161
"Chrysymenia enteromorpha",-77.40667,33.53333,"US",888364133
"Chrysymenia enteromorpha",-77.41667,33.52333,"US",888364206
"Chrysymenia enteromorpha",-77.395,33.51167,"US",888364144
"Chrysymenia enteromorpha",-79.71667,32.485,"US",888364174
"Chrysymenia enteromorpha",-77.42,33.51333,"US",888364139
"Chrysymenia enteromorpha",-77.42,33.53,"US",888364197
"Chrysymenia enteromorpha",-76.57167,33.815,"US",888364214
"Chrysymenia enteromorpha",-77.41333,33.51667,"US",888364183
"Chrysymenia enteromorpha",-77.41167,33.525,"US",888364188
"Chrysymenia enteromorpha",-77.41833,33.53667,"US",888364240
"Chrysymenia enteromorpha",-77.41667,33.52833,"US",888364205
"Chrysymenia enteromorpha",-79.86347,9.405,"PA",888364073
"Chrysymenia enteromorpha",-84.3883,28.68,"US",888874823
"Chrysymenia enteromorpha",-76.8833,34.3233,"US",888364177
"Chrysymenia enteromorpha",-67.05,17.9333,"PR",888364171
"Chrysymenia enteromorpha",-67.0417,17.9333,"PR",888364089
"Chrysymenia enteromorpha",-82.9667,26.4,"US",888364168
"Chrysymenia enteromorpha",-65.0333,32.1308,"BM",888364189
