"species","lon","lat","countryCode","gbifID"
"Cladostephus spongiosus",6.07117,62.58269,"NO",1272941574
"Cladostephus spongiosus",6.62307,62.49995,"NO",1272941645
"Cladostephus spongiosus",6.03133,62.50613,"NO",1236354625
"Cladostephus spongiosus",5.54732,62.28503,"NO",1236572677
"Cladostephus spongiosus",5.99903,62.42119,"NO",1236524986
"Cladostephus spongiosus",0.58025,51.88476,"GB",1265658670
"Cladostephus spongiosus",-6.31321,49.91125,"GB",1291527437
"Cladostephus spongiosus",-6.31073,49.93024,"GB",1291527409
"Cladostephus spongiosus",-6.31647,49.91653,"GB",1291527338
"Cladostephus spongiosus",-0.52258,54.4218,"GB",732464104
"Cladostephus spongiosus",-0.74575,54.53399,"GB",732464226
"Cladostephus spongiosus",-0.76545,54.54677,"GB",732464284
"Cladostephus spongiosus",-0.12094,54.10247,"GB",732464424
"Cladostephus spongiosus",-6.915,57.839,"GB",1265663027
"Cladostephus spongiosus",-0.41836,54.32609,"GB",732464539
"Cladostephus spongiosus",-0.26155,54.21516,"GB",732464441
"Cladostephus spongiosus",-0.26001,54.21514,"GB",732464442
"Cladostephus spongiosus",-0.11042,54.13197,"GB",732464673
"Cladostephus spongiosus",-0.07892,54.11799,"GB",732464731
"Cladostephus spongiosus",-0.73198,54.52935,"GB",732464802
"Cladostephus spongiosus",-0.07896,54.11709,"GB",732464747
"Cladostephus spongiosus",-0.11195,54.132,"GB",732464687
"Cladostephus spongiosus",-0.22094,54.16063,"GB",732464873
"Cladostephus spongiosus",-0.10285,54.13006,"GB",732464929
"Cladostephus spongiosus",-0.40542,54.30255,"GB",732463361
"Cladostephus spongiosus",-0.38379,54.2663,"GB",732463360
"Cladostephus spongiosus",-0.39507,54.2723,"GB",732463358
"Cladostephus spongiosus",-0.40546,54.30165,"GB",732463357
"Cladostephus spongiosus",-0.407,54.30167,"GB",732463359
"Cladostephus spongiosus",-0.52255,54.4227,"GB",732463868
"Cladostephus spongiosus",-4.26118,52.24716,"GB",806511568
"Cladostephus spongiosus",-4.26113,52.24626,"GB",806511321
"Cladostephus spongiosus",-4.26402,52.2453,"GB",806510293
"Cladostephus spongiosus",-4.33422,52.21516,"GB",806512627
"Cladostephus spongiosus",-4.26255,52.24533,"GB",806510797
"Cladostephus spongiosus",-8.97397,53.24504,"IE",368080402
"Cladostephus spongiosus",-8.97128,53.25613,"IE",368080432
"Cladostephus spongiosus",-9.7702,53.29388,"IE",368080191
"Cladostephus spongiosus",-9.12936,53.24958,"IE",368080351
"Cladostephus spongiosus",-9.63038,53.36266,"IE",368080252
"Cladostephus spongiosus",-9.87682,53.61727,"IE",368079667
"Cladostephus spongiosus",-4.19192,53.21335,"GB",806529231
"Cladostephus spongiosus",-4.19337,53.21242,"GB",806528840
"Cladostephus spongiosus",-4.19042,53.21337,"GB",806529939
"Cladostephus spongiosus",-9.92798,54.26553,"IE",368080065
"Cladostephus spongiosus",-4.19486,53.21239,"GB",806527808
"Cladostephus spongiosus",-4.18892,53.2134,"GB",806528448
"Cladostephus spongiosus",-8.63979,54.32047,"IE",368080004
"Cladostephus spongiosus",-9.84455,54.30133,"IE",368080104
"Cladostephus spongiosus",-8.72005,54.26485,"IE",368079951
"Cladostephus spongiosus",-8.66263,54.27254,"IE",368079909
"Cladostephus spongiosus",-8.40262,54.89327,"IE",368079862
"Cladostephus spongiosus",-5.10998,51.68543,"GB",806681347
"Cladostephus spongiosus",-8.44804,54.9247,"IE",368079738
"Cladostephus spongiosus",-8.46382,54.84278,"IE",368079777
"Cladostephus spongiosus",1.31439,51.12112,"GB",1056353059
"Cladostephus spongiosus",-3.64106,51.22417,"GB",1055328255
"Cladostephus spongiosus",-9.40446,51.52691,"IE",368079327
"Cladostephus spongiosus",-8.94922,53.16891,"IE",368079229
"Cladostephus spongiosus",-4.41516,52.86732,"GB",806680990
"Cladostephus spongiosus",-4.27323,52.90969,"GB",806517130
"Cladostephus spongiosus",-4.52818,53.22557,"GB",806680221
"Cladostephus spongiosus",-4.27021,52.90885,"GB",806518167
"Cladostephus spongiosus",-4.27026,52.90974,"GB",806518369
"Cladostephus spongiosus",-4.12539,52.83689,"GB",806515686
"Cladostephus spongiosus",-4.12674,52.83417,"GB",806516585
"Cladostephus spongiosus",-4.46962,52.8581,"GB",806680840
"Cladostephus spongiosus",-4.27175,52.90972,"GB",806515492
"Cladostephus spongiosus",-4.26877,52.90977,"GB",806515582
"Cladostephus spongiosus",-4.12679,52.83507,"GB",806516240
"Cladostephus spongiosus",-4.52813,53.22467,"GB",806680402
"Cladostephus spongiosus",-4.27472,52.90966,"GB",806515363
"Cladostephus spongiosus",8,56,"DK",354495921
"Cladostephus spongiosus",-7.50935,55.26452,"IE",368079575
"Cladostephus spongiosus",-7.50115,55.16667,"IE",368079537
"Cladostephus spongiosus",-7.61591,55.26452,"IE",368079618
"Cladostephus spongiosus",-5.81492,57.6507,"GB",1056181463
"Cladostephus spongiosus",-5.45032,58.07179,"GB",1056852471
