"species","lon","lat","countryCode","gbifID"
"Constantinea subulifera",-128.13028,51.65556,"CA",1054800685
"Constantinea subulifera",-126.91667,50.58333,"CA",919120012
"Constantinea subulifera",-130.52,54.31667,"CA",617169508
"Constantinea subulifera",-130.32989,54.22058,"CA",617167697
"Constantinea subulifera",-162.371,54.453,"US",617167917
"Constantinea subulifera",-162.4679,54.456,"US",617168121
"Constantinea subulifera",-135.4,57.09833,"US",919118928
"Constantinea subulifera",-152.82931,58.40533,"US",617168488
"Constantinea subulifera",-152.65475,58.55268,"US",617169677
"Constantinea subulifera",-153.96908,56.95587,"US",617169240
"Constantinea subulifera",-135.35006,57.04211,"US",919119942
"Constantinea subulifera",-153.56356,59.62897,"US",919119837
"Constantinea subulifera",-162.6,54.4,"US",617170588
"Constantinea subulifera",-147.41,60.3,"US",177333325
"Constantinea subulifera",-147.73555,60.48444,"US",12025057
"Constantinea subulifera",-147.73,60.48,"US",177333532
"Constantinea subulifera",-151.54,59.54,"US",177333430
"Constantinea subulifera",-154.11,57.57,"US",177333502
"Constantinea subulifera",-127.4,50.7,"CA",919094613
"Constantinea subulifera",-124.75,49.51667,"CA",919094870
"Constantinea subulifera",-123.93333,49.5,"CA",919095628
"Constantinea subulifera",-160.53056,55.31667,"US",1270729539
"Constantinea subulifera",-125.15,48.8,"CA",919094261
"Constantinea subulifera",-123.28333,48.86667,"CA",919095754
"Constantinea subulifera",-130.5,54.33333,"CA",919092611
"Constantinea subulifera",-130.32833,54.225,"CA",617116440
"Constantinea subulifera",-130.63667,54.02667,"CA",617116740
"Constantinea subulifera",-130.65333,54.005,"CA",617116856
"Constantinea subulifera",-129.15,49.03333,"CA",919109929
"Constantinea subulifera",-128.76667,53.9,"CA",919086282
"Constantinea subulifera",-128.14861,52.19167,"CA",919058920
"Constantinea subulifera",-128.675,52.27639,"CA",919058939
"Constantinea subulifera",-128.075,52.17917,"CA",919058893
"Constantinea subulifera",-128.71667,52.30833,"CA",919058907
"Constantinea subulifera",-123.68333,49.15,"CA",919094187
"Constantinea subulifera",-123.11667,49.3,"CA",919111910
"Constantinea subulifera",-133.49306,55.80417,"US",919091589
"Constantinea subulifera",-133.48111,55.79833,"US",919091770
"Constantinea subulifera",-132.1884,53.7939,"CA",17568088
"Constantinea subulifera",-132.1382,53.2403,"CA",17568304
"Constantinea subulifera",-132.2012,53.6598,"CA",17568326
"Constantinea subulifera",-132,53,"CA",617152351
"Constantinea subulifera",-127.7,50.6,"CA",919110058
"Constantinea subulifera",-126.84167,50.55139,"CA",617152203
"Constantinea subulifera",-134.93389,56.6075,"US",919109945
"Constantinea subulifera",-124.21,49.75,"CA",617152193
"Constantinea subulifera",-131.22836,52.10565,"CA",17568622
"Constantinea subulifera",-124.35,49.46667,"CA",919110200
"Constantinea subulifera",-124.29,49.44833,"CA",617152175
"Constantinea subulifera",-127.96833,52.74333,"CA",617152173
"Constantinea subulifera",-126.3,50.51667,"CA",919110319
"Constantinea subulifera",-127.95,50.93333,"CA",919110272
"Constantinea subulifera",-127.96667,50.9,"CA",919110288
"Constantinea subulifera",-126.15,50.58333,"CA",919110329
"Constantinea subulifera",-123.51667,48.7,"CA",919109497
"Constantinea subulifera",-127.93333,50.11667,"CA",919110175
"Constantinea subulifera",-127.65278,50.60139,"CA",919110132
"Constantinea subulifera",-149.43333,60.1,"US",1270729193
"Constantinea subulifera",-146.37917,61.09028,"US",1270726358
"Constantinea subulifera",-123.48833,48.68333,"CA",617152191
"Constantinea subulifera",-123.65833,49.14167,"CA",617152363
"Constantinea subulifera",-139.15833,58.80278,"US",1270728397
"Constantinea subulifera",-146.775,61.04167,"US",1270729345
"Constantinea subulifera",-146.61667,60.33333,"US",1270727769
"Constantinea subulifera",-129.10333,53.07167,"CA",617152195
"Constantinea subulifera",-135.59167,57.14167,"US",617152135
"Constantinea subulifera",-125.30333,50.08333,"CA",617152196
"Constantinea subulifera",-126.26667,50.55833,"CA",617152414
"Constantinea subulifera",-132.26667,53.675,"CA",617152187
"Constantinea subulifera",-126.29667,50.51,"CA",617152200
"Constantinea subulifera",-127.40167,50.72417,"CA",617152202
"Constantinea subulifera",-135.21667,57.78056,"US",1270729767
"Constantinea subulifera",-125.19833,48.83,"CA",919110371
"Constantinea subulifera",-125.78333,49.06667,"CA",919110034
"Constantinea subulifera",-123.98333,48.4,"CA",919109898
"Constantinea subulifera",-123.78333,49.13333,"CA",919109763
"Constantinea subulifera",-125.91667,49.13333,"CA",919110356
"Constantinea subulifera",-167.06667,53.61667,"US",919110048
"Constantinea subulifera",-147.36667,59.96667,"US",919110246
"Constantinea subulifera",-164.85,54.63333,"US",919110119
"Constantinea subulifera",-167.53833,53.40833,"US",617152056
"Constantinea subulifera",-165.86667,54.175,"US",617152059
"Constantinea subulifera",-153.94167,56.56333,"US",617152075
"Constantinea subulifera",-147.7,60.24667,"US",617152119
"Constantinea subulifera",-160.46167,55.35333,"US",617152068
"Constantinea subulifera",-159.92,55.21,"US",617152069
"Constantinea subulifera",-163.05333,54.69333,"US",617152525
"Constantinea subulifera",-162.595,54.44333,"US",617152066
"Constantinea subulifera",-144.36833,59.99,"US",617152088
"Constantinea subulifera",-146.65833,60.33333,"US",617152113
"Constantinea subulifera",-152.895,58.28667,"US",617152043
"Constantinea subulifera",-146.66667,60.32833,"US",617152117
"Constantinea subulifera",-154.74833,57.295,"US",617152048
"Constantinea subulifera",-155.55833,55.825,"US",617152071
"Constantinea subulifera",-139.75,59.6,"US",919109640
"Constantinea subulifera",-134.65,56.25,"US",919109959
"Constantinea subulifera",-134.65,56.28333,"US",919109716
"Constantinea subulifera",-134.26667,55.83333,"US",919109971
"Constantinea subulifera",-144.55,59.85,"US",919109657
"Constantinea subulifera",-135.08333,58.23333,"US",919109693
"Constantinea subulifera",-135.86667,57.40833,"US",617152096
"Constantinea subulifera",-133.93333,56.50833,"US",617152093
"Constantinea subulifera",-130.46667,54.28333,"CA",919110390
"Constantinea subulifera",-124.74167,49.92,"CA",617152515
"Constantinea subulifera",-126.28667,50.61333,"CA",617152502
"Constantinea subulifera",-126.785,50.54333,"CA",617152509
"Constantinea subulifera",-127.79,50.055,"CA",617152510
"Constantinea subulifera",-127.205,50.62333,"CA",617152504
"Constantinea subulifera",-126.09333,50.485,"CA",617152512
"Constantinea subulifera",-123.98833,49.75167,"CA",617152517
"Constantinea subulifera",-151.56667,59.65,"US",919110156
"Constantinea subulifera",-163.55,55.15,"US",919109879
"Constantinea subulifera",-176.81667,51.78333,"US",919109912
"Constantinea subulifera",-139.76667,59.58333,"US",919110105
"Constantinea subulifera",-135.25,57.13333,"US",919110028
"Constantinea subulifera",-139.73333,59.55,"US",919109819
"Constantinea subulifera",-125.08333,49.85,"CA",919109761
"Constantinea subulifera",-123,48.53333,"US",617152527
"Constantinea subulifera",-123,48.5333,"US",887257107
"Constantinea subulifera",-123,48.533330040019,"US",996532990
"Constantinea subulifera",-123.15,49.31667,"CA",919110300
