"species","lon","lat","countryCode","gbifID"
"Costaria costata",-122.72374,48.02471,"US",1265567944
"Costaria costata",-122.49971,37.49521,"US",1269547807
"Costaria costata",-122.49962,37.49416,"US",1272094122
"Costaria costata",-122.38571,37.1831,"US",1272097322
"Costaria costata",-122.49569,37.4949,"US",1272094424
"Costaria costata",-122.50625,37.50707,"US",1272099770
"Costaria costata",-122.51398,37.51918,"US",1272098453
"Costaria costata",-121.94308,36.51218,"US",1272099745
"Costaria costata",-122.49731,37.4945,"US",1272094715
"Costaria costata",-122.51641,37.51916,"US",1272099026
"Costaria costata",-121.94442,36.51309,"US",1272101423
"Costaria costata",-123.24816,38.51221,"US",1272101148
"Costaria costata",-121.9449,36.51262,"US",1273844826
"Costaria costata",-121.94417,36.51279,"US",1272103851
"Costaria costata",-122.49544,37.49548,"US",1291102138
"Costaria costata",-122.49545,37.49547,"US",1291110167
"Costaria costata",-135.4544,57.5624,"US",1143527776
"Costaria costata",-122.72383,48.02485,"US",1088972947
"Costaria costata",-123.45219,48.43476,"CA",1135523404
"Costaria costata",-122.49919,37.49497,"US",1098900654
"Costaria costata",-122.49934,37.4932,"US",1272118146
"Costaria costata",-122.49737,37.49536,"US",1272118513
"Costaria costata",-122.49657,37.49497,"US",1024217132
"Costaria costata",-123.71733,48.16139,"US",1143566435
"Costaria costata",-122.39585,47.80508,"US",1143566581
"Costaria costata",-122.59508,48.05656,"US",1315073189
"Costaria costata",-122.51713,37.52104,"US",1272117357
"Costaria costata",-123.33269,38.5652,"US",891770791
"Costaria costata",-134.93333,58.60667,"US",617174305
"Costaria costata",-134.68722,58.305,"US",617174312
"Costaria costata",-135.37978,56.97548,"US",617174277
"Costaria costata",-128.135,51.66472,"CA",919120749
"Costaria costata",-122.65806,47.93111,"US",617173530
"Costaria costata",-134.68333,58.30556,"US",919120102
"Costaria costata",-127.02633,50.658,"CA",617172266
"Costaria costata",-126.594,50.79517,"CA",617172290
"Costaria costata",-126.83338,50.58722,"CA",617172797
"Costaria costata",-130.81311,54.2495,"CA",919118033
"Costaria costata",-123.39,48.65,"CA",1001428031
"Costaria costata",-123.32333,48.40611,"CA",919116949
"Costaria costata",-125.54303,48.92075,"CA",919117663
"Costaria costata",-130.32989,54.22058,"CA",617167670
"Costaria costata",-122.30969,37.13164,"US",923919330
"Costaria costata",-135.37278,57.05528,"US",617169885
"Costaria costata",-162.468,54.456,"US",617170592
"Costaria costata",-162.693,54.456,"US",617167921
"Costaria costata",-125.12,48.85,"CA",1001428053
"Costaria costata",-162.681,54.459,"US",617167923
"Costaria costata",-152.83335,58.40448,"US",617169720
"Costaria costata",-153.48385,57.13957,"US",617169169
"Costaria costata",-153.96908,56.95587,"US",617167153
"Costaria costata",-135.34997,57.04006,"US",617172837
"Costaria costata",-125.2055,48.83883,"CA",617169416
"Costaria costata",-147.12,60.39,"US",177333687
"Costaria costata",-147.41,60.3,"US",177333854
"Costaria costata",-147.73,60.48,"US",177334171
"Costaria costata",-147.73555,60.48444,"US",12025108
"Costaria costata",-154.11,57.57,"US",177334133
"Costaria costata",-151.54,59.54,"US",177334016
"Costaria costata",-149.7752,59.65313,"US",617172907
"Costaria costata",-123.71667,48.36667,"CA",919116326
"Costaria costata",-131.091,52.155,"CA",17568448
"Costaria costata",-131.2153,52.0963,"CA",17568444
"Costaria costata",-131.038,52.171,"CA",17568450
"Costaria costata",-131.2136,52.0965,"CA",17568454
"Costaria costata",-131.2284,52.1059,"CA",17568462
"Costaria costata",-131.2242,52.1019,"CA",17568458
"Costaria costata",-131.2173,52.1019,"CA",17568456
"Costaria costata",-131.2236,52.1038,"CA",17568460
"Costaria costata",-131.2142,52.095,"CA",17568452
"Costaria costata",-131.0915,52.1548,"CA",17568466
"Costaria costata",-132.52473,53.15772,"CA",17568576
"Costaria costata",-132.57375,53.1497,"CA",17568566
"Costaria costata",-131.00452,52.21705,"CA",17569081
"Costaria costata",-131.03651,51.96005,"CA",17568944
"Costaria costata",-131.05116,52.06417,"CA",17568546
"Costaria costata",-131.44919,52.60455,"CA",17569181
"Costaria costata",-131.48087,52.73655,"CA",17569217
"Costaria costata",-131.66652,52.58355,"CA",17569237
"Costaria costata",-131.48251,52.73472,"CA",17569205
"Costaria costata",-131.15485,52.09988,"CA",17568884
"Costaria costata",-131.225,52.10105,"CA",17569048
"Costaria costata",-131.0935,52.16005,"CA",17569189
"Costaria costata",-131.44952,52.60405,"CA",17569185
"Costaria costata",-131.46918,52.46789,"CA",17569163
"Costaria costata",-131.61002,52.72972,"CA",17569203
"Costaria costata",-131.55086,52.34388,"CA",17569145
"Costaria costata",-131.48885,52.50805,"CA",17569175
"Costaria costata",-131.07484,52.15555,"CA",17569155
"Costaria costata",-131.298,52.14305,"CA",17568480
"Costaria costata",-131.20502,52.13105,"CA",17568846
"Costaria costata",-130.9405,52.07689,"CA",17568496
"Costaria costata",-150.64333,59.525,"US",617162825
"Costaria costata",-122.76667,48.23333,"US",919094851
"Costaria costata",-123.71667,48.35,"CA",919095454
"Costaria costata",-123.93333,48.38333,"CA",919096919
"Costaria costata",-124.43333,48.51667,"CA",919096064
"Costaria costata",-128.28333,50.65,"CA",919095134
"Costaria costata",-149.44167,60.1,"US",1270727669
"Costaria costata",-125.16667,48.86667,"CA",919095675
"Costaria costata",-122.98333,48.56667,"US",919096647
"Costaria costata",-125.35,50.15,"CA",919095691
"Costaria costata",-117.81667,50.7,"CA",919095719
"Costaria costata",-123.18333,48.83333,"CA",919093823
"Costaria costata",-134.935,58.6075,"US",617172949
"Costaria costata",-132.15,55.01667,"US",1270728616
"Costaria costata",-152.41667,57.83333,"US",1270725793
"Costaria costata",-130.88333,54.28333,"CA",919095581
"Costaria costata",-147.475,60.25,"US",1270726066
"Costaria costata",-123.11667,49.3,"CA",919111559
"Costaria costata",-132.1,52.75,"CA",919123814
"Costaria costata",-128.72222,52.26667,"CA",919115110
"Costaria costata",-131.64912,52.77835,"CA",17568898
"Costaria costata",-131.65108,52.78548,"CA",17568902
"Costaria costata",-131.4392,52.68592,"CA",17568928
"Costaria costata",-131.41846,52.44299,"CA",17568950
"Costaria costata",-131.10184,52.24519,"CA",17568967
"Costaria costata",-131.4363,52.55509,"CA",17568918
"Costaria costata",-131.47241,52.59498,"CA",17568926
"Costaria costata",-132.109,52.7351,"CA",17568392
"Costaria costata",-131.6134,52.58747,"CA",17568924
"Costaria costata",-131.60817,52.90391,"CA",17568892
"Costaria costata",-131.41345,52.66771,"CA",17568930
"Costaria costata",-131.2165,52.07898,"CA",17569014
"Costaria costata",-131.34915,52.54598,"CA",17568938
"Costaria costata",-131.53745,52.91083,"CA",17568890
"Costaria costata",-131.42245,52.62385,"CA",17568936
"Costaria costata",-131.22272,52.34327,"CA",17568980
"Costaria costata",-131.07112,52.15194,"CA",17569032
"Costaria costata",-131.65903,52.81878,"CA",17568904
"Costaria costata",-131.00172,51.92655,"CA",17568992
"Costaria costata",-130.98743,52.11514,"CA",17569030
"Costaria costata",-131.39401,52.54211,"CA",17568940
"Costaria costata",-131.55078,52.76718,"CA",17568894
"Costaria costata",-131.4179,52.57876,"CA",17568916
"Costaria costata",-131.41408,52.64022,"CA",17568934
"Costaria costata",-133.49306,55.80417,"US",919096202
"Costaria costata",-132.4223,53.292,"CA",17568150
"Costaria costata",-132.2873,53.1526,"CA",17568308
"Costaria costata",-132.0343,53.2129,"CA",17568082
"Costaria costata",-132.1884,53.7939,"CA",17568090
"Costaria costata",-127.07778,50.60556,"CA",617088148
"Costaria costata",-127.60833,50.115,"CA",919099257
"Costaria costata",-149.38333,59.98333,"US",1270728044
"Costaria costata",-127.49444,50.11222,"CA",919099209
"Costaria costata",-127.503,50.036,"CA",617129816
"Costaria costata",-127.58333,50.058,"CA",617129811
"Costaria costata",-123.68333,49.15,"CA",919107818
"Costaria costata",-131.43031,52.5784,"CA",17568838
"Costaria costata",-132.34824,53.66903,"CA",17568788
"Costaria costata",-131.5541,52.76525,"CA",17568814
"Costaria costata",-134.78611,58.33889,"US",919094189
"Costaria costata",-132.94508,53.55977,"CA",17568670
"Costaria costata",-132.97939,53.54137,"CA",17568660
"Costaria costata",-131.22836,52.10565,"CA",17568626
"Costaria costata",-132.97652,53.54121,"CA",17568680
"Costaria costata",-131.40405,52.5717,"CA",17568638
"Costaria costata",-123.92833,49.91833,"CA",617088207
"Costaria costata",-132.9779,53.55728,"CA",17568666
"Costaria costata",-149.43333,60.07083,"US",1270726065
"Costaria costata",-149.44149,60.07246,"US",1270727482
"Costaria costata",-133.0558,54.1839,"CA",17568372
"Costaria costata",-132.34448,53.03447,"CA",17568244
"Costaria costata",-129.18,53.06333,"CA",617087809
"Costaria costata",-131.41667,52.58,"CA",617087953
"Costaria costata",-132.97667,54.20333,"CA",617087959
"Costaria costata",-131.1695,52.1071,"CA",17568100
"Costaria costata",-132.9638,54.2268,"CA",17568208
"Costaria costata",-131.14662,52.10146,"CA",17568256
"Costaria costata",-132.534,53.3894,"CA",17568234
"Costaria costata",-132.9873,54.2189,"CA",17568220
"Costaria costata",-127.97667,52.75167,"CA",617087800
"Costaria costata",-129.54167,53.17667,"CA",617087945
"Costaria costata",-132.51167,53.3775,"CA",617087962
"Costaria costata",-131.4153,52.5817,"CA",17568200
"Costaria costata",-132.96167,54.22567,"CA",617087955
"Costaria costata",-124.29,49.44833,"CA",617087947
"Costaria costata",-131.1903,52.3627,"CA",17568342
"Costaria costata",-128.32167,52.235,"CA",617087941
"Costaria costata",-129.17167,53.09333,"CA",617087943
"Costaria costata",-132.9645,54.2371,"CA",17568078
"Costaria costata",-127.77333,51.37333,"CA",617087821
"Costaria costata",-132.34283,53.03467,"CA",617087948
"Costaria costata",-133.0233,54.1883,"CA",17568382
"Costaria costata",-132.96167,54.23833,"CA",617087819
"Costaria costata",-127.96833,52.74333,"CA",617087939
"Costaria costata",-131.145,52.10167,"CA",617087964
"Costaria costata",-122.9667,48.95,"US",1142175782
"Costaria costata",-127.925,50.93333,"CA",617088300
"Costaria costata",-127.96167,50.44167,"CA",617087529
"Costaria costata",-127.26167,49.92333,"CA",617087934
"Costaria costata",-127.71,50.98167,"CA",617088180
"Costaria costata",-127.955,50.92667,"CA",617088296
"Costaria costata",-125.78333,49.06667,"CA",919094018
"Costaria costata",-135.32778,57.03333,"US",1270729397
"Costaria costata",-125.88333,49.1,"CA",919096277
"Costaria costata",-146.65,61.08333,"US",1270725857
"Costaria costata",-146.4733,61.10297,"US",1270726111
"Costaria costata",-146.34833,61.13083,"US",1270729106
"Costaria costata",-135.975,58.475,"US",1270726126
"Costaria costata",-135.87083,58.45833,"US",1270727665
"Costaria costata",-131.9922,53.24963,"CA",17568744
"Costaria costata",-132.02905,53.2174,"CA",17568760
"Costaria costata",-131.97739,53.25858,"CA",17568750
"Costaria costata",-131.9993,53.21888,"CA",17568756
"Costaria costata",-131.67632,53.01082,"CA",17568726
"Costaria costata",-149.43333,60.05,"US",1270728422
"Costaria costata",-136.08333,58.28333,"US",1270729115
"Costaria costata",-146.91667,60.31667,"US",1270726051
"Costaria costata",-136.72083,58.275,"US",1270726635
"Costaria costata",-146.61667,60.33333,"US",1270726153
"Costaria costata",-129.10333,53.07167,"CA",617088058
"Costaria costata",-127.89167,51.86083,"CA",617088056
"Costaria costata",-128.08333,51.7,"CA",919078974
"Costaria costata",-127.63333,50.86667,"CA",919056805
"Costaria costata",-125.21667,48.78333,"CA",919078850
"Costaria costata",-123.60797,48.1381,"US",1270726023
"Costaria costata",-134.25556,58.19861,"US",1270728344
"Costaria costata",-136.375,57.805,"US",1270725836
"Costaria costata",-125.30333,50.08833,"CA",617088043
"Costaria costata",-127.92917,50.88333,"CA",617088048
"Costaria costata",-126.29667,50.51,"CA",617088050
"Costaria costata",-127.72833,50.975,"CA",617088045
"Costaria costata",-127.935,50.92667,"CA",617088147
"Costaria costata",-123.7,48.36667,"CA",919078764
"Costaria costata",-123.4,48.41667,"CA",919078929
"Costaria costata",-123.98333,48.38333,"CA",919078894
"Costaria costata",-123.15,49.31667,"CA",919078913
"Costaria costata",-122.90404,48.76177,"US",1270728055
"Costaria costata",-122.47528,48.65861,"US",1270728608
"Costaria costata",-124.43333,48.55,"CA",919079076
"Costaria costata",-125.55,48.9,"CA",919056800
"Costaria costata",-123.23333,48.41667,"CA",919078796
"Costaria costata",-125.34,48.85417,"CA",919078634
"Costaria costata",-125.12167,48.85167,"CA",919078664
"Costaria costata",-125.18333,48.84333,"CA",919078742
"Costaria costata",-125.195,48.83,"CA",919078774
"Costaria costata",-125.14667,48.83417,"CA",919078737
"Costaria costata",-125.14333,48.81917,"CA",919078649
"Costaria costata",-125.18,48.85139,"CA",919078618
"Costaria costata",-125.135,48.83667,"CA",919078789
"Costaria costata",-125.21333,48.79667,"CA",919078700
"Costaria costata",-125.32917,48.85,"CA",919078732
"Costaria costata",-125.13333,48.79333,"CA",919078613
"Costaria costata",-125.24944,48.83056,"CA",919078753
"Costaria costata",-125.21,48.83583,"CA",919078678
"Costaria costata",-125.16333,48.81806,"CA",919078630
"Costaria costata",-125.07667,48.90583,"CA",919078660
"Costaria costata",-125.16,48.85139,"CA",919078621
"Costaria costata",-125.19833,48.83,"CA",919078679
"Costaria costata",-125.165,48.86583,"CA",919078612
"Costaria costata",-125.155,48.77,"CA",919078616
"Costaria costata",-125.29361,48.87361,"CA",919078658
"Costaria costata",-125.11722,48.88333,"CA",919078643
"Costaria costata",-125.13333,48.83833,"CA",919078772
"Costaria costata",-125.15833,48.81333,"CA",919078745
"Costaria costata",-125.12139,48.92917,"CA",919078782
"Costaria costata",-125.13,48.91583,"CA",919078804
"Costaria costata",-125.16,48.85833,"CA",919078762
"Costaria costata",-125.12,48.89833,"CA",919078768
"Costaria costata",-125.14333,48.8375,"CA",919078739
"Costaria costata",-125.24167,48.83056,"CA",919078773
"Costaria costata",-125.11667,48.855,"CA",919056773
"Costaria costata",-125.16167,48.86917,"CA",919078656
"Costaria costata",-125.18833,48.8025,"CA",919078769
"Costaria costata",-125.16,48.8225,"CA",919078725
"Costaria costata",-125.19667,48.85167,"CA",919078757
"Costaria costata",-125.37417,48.89278,"CA",919078675
"Costaria costata",-125.21806,48.82833,"CA",919078751
"Costaria costata",-125.24167,48.87083,"CA",919078670
"Costaria costata",-124.23333,48.92306,"CA",919078610
"Costaria costata",-124.44667,48.525,"CA",617088040
"Costaria costata",-122.9,48.58333,"US",919079085
"Costaria costata",-123.98333,48.41667,"CA",919078997
"Costaria costata",-123.01667,48.53333,"US",919054559
"Costaria costata",-123.05,49.3,"CA",919078885
"Costaria costata",-127.36667,50.71667,"CA",919078832
"Costaria costata",-128.32,50.80333,"CA",617087873
"Costaria costata",-128.63,50.80833,"CA",617087893
"Costaria costata",-127.68333,50.13167,"CA",617087309
"Costaria costata",-126.57167,49.60833,"CA",617087880
"Costaria costata",-127.12,50.10333,"CA",617087891
"Costaria costata",-127.24667,49.92333,"CA",617087472
"Costaria costata",-127.28083,50.65833,"CA",617087869
"Costaria costata",-128.59333,50.79167,"CA",617087894
"Costaria costata",-127.35333,50.08333,"CA",617087300
"Costaria costata",-127.54167,50.08667,"CA",617087304
"Costaria costata",-127.64667,50.11333,"CA",617087306
"Costaria costata",-127.72833,50.98,"CA",617087871
"Costaria costata",-127.365,50.07167,"CA",617087889
"Costaria costata",-128.24333,50.57333,"CA",617087470
"Costaria costata",-127.28,49.97333,"CA",617087885
"Costaria costata",-128.425,50.78667,"CA",617087311
"Costaria costata",-127.38167,50.72,"CA",617087478
"Costaria costata",-128.42833,50.785,"CA",617087315
"Costaria costata",-127.55667,50.07167,"CA",617087303
"Costaria costata",-128.41167,50.78333,"CA",617042664
"Costaria costata",-127.86833,50.29667,"CA",617087473
"Costaria costata",-127.11833,50.77,"CA",617087876
"Costaria costata",-127.20833,50.00333,"CA",617087886
"Costaria costata",-127.55833,50.85333,"CA",617087427
"Costaria costata",-127.94083,50.90083,"CA",617087896
"Costaria costata",-127.31167,49.98167,"CA",617087298
"Costaria costata",-126.63,49.59333,"CA",617087882
"Costaria costata",-127.96667,50.92417,"CA",617087475
"Costaria costata",-125.19,48.80167,"CA",617087878
"Costaria costata",-123.7,49.13333,"CA",919078777
"Costaria costata",-124.59864,48.38182,"US",1270725977
"Costaria costata",-124.59852,48.38179,"US",1270729097
"Costaria costata",-123.78333,49.13333,"CA",919056759
"Costaria costata",-159.92,55.21,"US",617042828
"Costaria costata",-152.91833,58.28333,"US",617042832
"Costaria costata",-135.34667,57.04167,"US",617039206
"Costaria costata",-134.26667,55.87833,"US",617042825
"Costaria costata",-124.075,44.675,"US",617088335
"Costaria costata",-160.46167,55.35333,"US",617042830
"Costaria costata",-154.74833,57.295,"US",617042590
"Costaria costata",-135.08333,58.23333,"US",919056837
"Costaria costata",-139.75,59.6,"US",919056794
"Costaria costata",-136.58333,58.23333,"US",919056802
"Costaria costata",-135.35,57.03333,"US",919056938
"Costaria costata",-132.88333,54.68333,"US",919056883
"Costaria costata",-137.58333,58.63333,"US",919056851
"Costaria costata",-135.55,56.86667,"US",919056849
"Costaria costata",-134.65,56.25,"US",919056925
"Costaria costata",-132.73333,54.71667,"US",919056850
"Costaria costata",-134.26667,55.83333,"US",919056896
"Costaria costata",-134.66667,56.25,"US",919056881
"Costaria costata",-131.26667,54.91667,"US",919056895
"Costaria costata",-130.81667,54.53333,"CA",919056765
"Costaria costata",-133.03333,54.18333,"CA",919056831
"Costaria costata",-130.75,54.36667,"CA",919056787
"Costaria costata",-132.51667,55.8,"US",919056867
"Costaria costata",-133.68333,56.2,"US",919056829
"Costaria costata",-132.93333,54.16667,"CA",919078866
"Costaria costata",-135.86667,57.40833,"US",617042693
"Costaria costata",-132.93497,54.16635,"CA",17568356
"Costaria costata",-133.60833,55.23333,"US",617042707
"Costaria costata",-132.67167,54.66667,"US",617042788
"Costaria costata",-133.03497,54.1846,"CA",17568438
"Costaria costata",-133.45,55.275,"US",617042818
"Costaria costata",-124.07528,44.67528,"US",1270727153
"Costaria costata",-127.36667,50,"CA",919078724
"Costaria costata",-127.51667,50.1,"CA",919079000
"Costaria costata",-127.35,50.01667,"CA",919078746
"Costaria costata",-129.08333,50.86667,"CA",919056825
"Costaria costata",-128.41667,50.78333,"CA",919078765
"Costaria costata",-128.41667,50.76667,"CA",919079043
"Costaria costata",-127.55,50.08333,"CA",919079021
"Costaria costata",-127.95,50.93,"CA",617087971
"Costaria costata",-127.91,50.13333,"CA",617087969
"Costaria costata",-127.55833,50.09167,"CA",617088023
"Costaria costata",-127.725,50.12333,"CA",617042649
"Costaria costata",-127.63333,50.15833,"CA",617042647
"Costaria costata",-129.075,50.87,"CA",617088262
"Costaria costata",-123.39444,48.38333,"CA",919078636
"Costaria costata",-132.25,54.08333,"CA",919078886
"Costaria costata",-130.83333,54.08333,"CA",919078928
"Costaria costata",-133,54.16667,"CA",919056808
"Costaria costata",-132.95,53.55,"CA",919078919
"Costaria costata",-132.56667,54.08333,"CA",919078934
"Costaria costata",-133.16667,54,"CA",919078908
"Costaria costata",-131.2,52.1,"CA",919078950
"Costaria costata",-132.56833,54.08302,"CA",17568424
"Costaria costata",-128.05,50.87833,"CA",617087656
"Costaria costata",-127.59167,50.82167,"CA",617087649
"Costaria costata",-126.785,50.54333,"CA",617042630
"Costaria costata",-124.79,50.055,"CA",617088279
"Costaria costata",-127.38,50.71667,"CA",617042624
"Costaria costata",-127.93667,50.92333,"CA",617042636
"Costaria costata",-127.575,50.90667,"CA",617042638
"Costaria costata",-127.07833,50.76833,"CA",617087647
"Costaria costata",-127.92667,50.94,"CA",617042637
"Costaria costata",-127.04333,50.60167,"CA",617087642
"Costaria costata",-126.28667,50.61333,"CA",617087644
"Costaria costata",-127.58667,50.90833,"CA",617088275
"Costaria costata",-124.74167,49.92,"CA",617088277
"Costaria costata",-151.7,59.46667,"US",919056844
"Costaria costata",-152.35,57.83333,"US",919056871
"Costaria costata",-139.73333,59.55,"US",919056879
"Costaria costata",-135.25,57.13333,"US",919056901
"Costaria costata",-135.53333,56.85,"US",919056834
"Costaria costata",-135.36667,57.03333,"US",919056840
"Costaria costata",-135.56667,56.85,"US",919056856
"Costaria costata",-126.66667,49.58333,"CA",919078741
"Costaria costata",-125.78333,49.23333,"CA",919078931
"Costaria costata",-125.96667,50.4,"CA",919078930
"Costaria costata",-128.01667,50.51667,"CA",919078681
"Costaria costata",-127.06667,49.85,"CA",919078736
"Costaria costata",-127.1,49.21667,"CA",919078759
"Costaria costata",-125.36667,48.85,"CA",919078659
"Costaria costata",-123.1,49.21667,"CA",919078734
"Costaria costata",-127.7,50.11667,"CA",919078900
"Costaria costata",-126.26667,49.35,"CA",919078723
"Costaria costata",-125.25,50.03333,"CA",919078731
"Costaria costata",-126.56667,49.38333,"CA",919078593
"Costaria costata",-126.61667,49.41667,"CA",919078633
"Costaria costata",-127.41667,49.98333,"CA",919078858
"Costaria costata",-127.43333,50.05,"CA",919078626
"Costaria costata",-127.41667,50.01667,"CA",919078722
"Costaria costata",-125.05,48.71667,"CA",919056813
"Costaria costata",-125.18333,48.81667,"CA",919078735
"Costaria costata",-123.81667,49.21667,"CA",919078703
"Costaria costata",-125.15,50.23333,"CA",919078851
"Costaria costata",-125.08333,49.85,"CA",919078749
"Costaria costata",-124.45,48.53333,"CA",919078641
"Costaria costata",-123.60278,48.31944,"CA",919078686
"Costaria costata",-123.875,48.38333,"CA",919078747
"Costaria costata",-123.30333,48.49583,"CA",919078918
"Costaria costata",-123.01667,48.43333,"US",919079061
"Costaria costata",-123.73056,48.36111,"CA",919078917
"Costaria costata",-123.92222,48.37778,"CA",919078738
"Costaria costata",-123.93889,48.38611,"CA",919078781
"Costaria costata",-123.52778,48.29722,"CA",919078756
"Costaria costata",-124.55,48.55,"CA",919078889
"Costaria costata",-124.44722,48.525,"CA",919078862
"Costaria costata",-132.25163,54.08305,"CA",17568142
"Costaria costata",-126.81667,50.95,"CA",919078727
"Costaria costata",-123.46667,48.85,"CA",919078718
"Costaria costata",-119.4178,36.7781,"US",1055707430
"Costaria costata",-123.96667,49.18333,"CA",617087905
"Costaria costata",-123.3,48.43333,"CA",919079001
"Costaria costata",-124.86667,49.65,"CA",919078754
"Costaria costata",-131.85,55.41667,"US",1270728304
"Costaria costata",-131.99167,55.04222,"US",1270725778
"Costaria costata",-133.63147,56.12279,"US",1270726041
"Costaria costata",-123.35,48.4,"CA",919078770
"Costaria costata",-147.4075,60.3,"US",190583050
"Costaria costata",-122.5085,37.55893,"US",1305323089
"Costaria costata",-122.51738,37.5212,"US",1305324081
"Costaria costata",-130.32833,54.225,"CA",617116398
