"species","lon","lat","countryCode","gbifID"
"Cystophora torulosa",175.39692,-36.47343,"NZ",1265536630
"Cystophora torulosa",174.70087,-41.21767,"NZ",1249297178
"Cystophora torulosa",173.01141,-40.81707,"NZ",1265549868
"Cystophora torulosa",174.01683,-41.27629,"NZ",1272074234
"Cystophora torulosa",173.32083,-41.20691,"NZ",1265532229
"Cystophora torulosa",178.32853,-38.38383,"NZ",1065612287
"Cystophora torulosa",173.70829,-42.41603,"NZ",1270044653
"Cystophora torulosa",175.48528,-36.30194,"NZ",1269418554
"Cystophora torulosa",177.86389,-39.09056,"NZ",1269423291
"Cystophora torulosa",172.651,-43.5375,"NZ",1052572953
"Cystophora torulosa",176.43133,-37.5095,"NZ",1269412937
"Cystophora torulosa",174.82944,-36.43944,"NZ",1269397336
"Cystophora torulosa",175.02806,-36.78111,"NZ",1269395626
"Cystophora torulosa",144.713294011145,-38.3203649293195,"AU",991981638
"Cystophora torulosa",175.17361,-36.74417,"NZ",1269395576
"Cystophora torulosa",175.04944,-36.21111,"NZ",1269397470
"Cystophora torulosa",175.01222,-36.77694,"NZ",1269393693
"Cystophora torulosa",144.606635000386,-38.2948056762026,"AU",991982989
"Cystophora torulosa",177.8,-37.67,"NZ",1007626121
"Cystophora torulosa",173.92,-39.52,"NZ",1007630839
"Cystophora torulosa",174.79,-41.35,"NZ",1007630363
"Cystophora torulosa",174.7875,-36.32111,"NZ",1269393505
"Cystophora torulosa",146.31,-39.03,"AU",1007630661
"Cystophora torulosa",148.32,-41.25,"AU",1007626128
"Cystophora torulosa",145.62,-38.67,"AU",1007626197
"Cystophora torulosa",174.78629,-41.34538,"NZ",1265571215
"Cystophora torulosa",148.29,-42.13,"AU",1007626078
"Cystophora torulosa",144.19,-38.43,"AU",1007626040
"Cystophora torulosa",147.93,-43.01,"AU",1007630671
"Cystophora torulosa",142.24,-38.4,"AU",1007626203
"Cystophora torulosa",174.81694,-36.5975,"NZ",1269391913
"Cystophora torulosa",175.32056,-36.17306,"NZ",1269386424
"Cystophora torulosa",174.8875,-36.60333,"NZ",1269394187
"Cystophora torulosa",174.9,-41.02,"NZ",1003350188
"Cystophora torulosa",175.43,-36.89,"NZ",1007626103
"Cystophora torulosa",174.86056,-36.81028,"NZ",1269385317
"Cystophora torulosa",169.8,-46.44,"NZ",1007626043
"Cystophora torulosa",175.49417,-36.2675,"NZ",1269370669
"Cystophora torulosa",175.48333,-36.21278,"NZ",1269388846
"Cystophora torulosa",145.2,-38.4667,"AU",995155912
"Cystophora torulosa",145.1719,-38.5111,"AU",995147383
"Cystophora torulosa",174.8,-37.83333,"NZ",1269247640
"Cystophora torulosa",175.33333,-36.18333,"NZ",1269329939
"Cystophora torulosa",147.846104715735,-43.147587550047,"AU",1061514753
"Cystophora torulosa",173.85,-41,"NZ",1269240821
"Cystophora torulosa",143.680262803833,-38.7606461778217,"AU",991978228
"Cystophora torulosa",175.1,-36.23361,"NZ",1269418603
"Cystophora torulosa",145.5167,-40.85,"AU",994909017
"Cystophora torulosa",148.292191614092,-42.1336868611231,"AU",1061510677
"Cystophora torulosa",145.517769951637,-40.8487031483698,"AU",1061510734
"Cystophora torulosa",145.51667,-40.85,"AU",919095022
"Cystophora torulosa",148.284341988603,-42.1152744713624,"AU",994478880
"Cystophora torulosa",145.51667,-40.8500000396158,"AU",996307083
"Cystophora torulosa",145.517705343921,-40.8486206215182,"AU",994426002
"Cystophora torulosa",145.284396509528,-42.5986340677935,"AU",994600700
"Cystophora torulosa",145.26773676128,-42.598634219047,"AU",994600654
"Cystophora torulosa",146.217737388108,-43.4986318463752,"AU",994596120
"Cystophora torulosa",147.317712385332,-43.0486188377321,"AU",994587850
