"species","lon","lat","countryCode","gbifID"
"Dasya baillouviana",-38.63583,-12.72472,"BR",1264703272
"Dasya baillouviana",-81.40717,24.58417,"US",911787526
"Dasya baillouviana",-84.52,29.90517,"US",911787653
"Dasya baillouviana",-81.28083,24.65933,"US",1306505460
"Dasya baillouviana",-72.11388,41.305,"US",415950942
"Dasya baillouviana",-40.50147,-21.09614,"BR",1095827956
"Dasya baillouviana",-40.68333,-21.03333,"BR",1209350924
"Dasya baillouviana",-71.41842,41.37023,"US",888245397
"Dasya baillouviana",-71.85027,41.31361,"US",415933987
"Dasya baillouviana",-72.24333,41.30833,"US",415933964
"Dasya baillouviana",-73.07138,41.2025,"US",415933978
"Dasya baillouviana",-81.46583,24.681,"US",911787067
"Dasya baillouviana",-88.08317,16.90433,"BZ",888245421
"Dasya baillouviana",-40.52806,-20.72889,"BR",1087399440
"Dasya baillouviana",-88.2417,16.8292,"BZ",888245275
"Dasya baillouviana",-77.92917,26.6075,"BS",888245395
"Dasya baillouviana",-88.1067,16.88,"BZ",888245450
"Dasya baillouviana",-77.8717,24.8617,"BS",888245465
"Dasya baillouviana",-82.6392,26.2803,"US",888245446
"Dasya baillouviana",-76.89,34.5417,"US",888245205
"Dasya baillouviana",-80.8617,31.405,"US",888245297
"Dasya baillouviana",-82.1011,26.7669,"US",888245440
"Dasya baillouviana",-82.8694,25.2878,"US",888245471
"Dasya baillouviana",-82.3969,25.7647,"US",888245444
"Dasya baillouviana",-82.5269,25.7647,"US",888245437
"Dasya baillouviana",-82.5833,15.2167,"HN",888245167
"Dasya baillouviana",-82.58,15.22,"HN",888245215
"Dasya baillouviana",-76.9,25.5167,"BS",888245298
"Dasya baillouviana",-97.776,23.787,"MX",235906364
"Dasya baillouviana",-88.08,16.8,"BZ",888245456
"Dasya baillouviana",-77.515,33.355,"US",888245195
"Dasya baillouviana",-77.0333,26.3667,"BS",888245042
"Dasya baillouviana",-67.0417,17.9333,"PR",888245392
"Dasya baillouviana",-82.4667,26.4,"US",888245055
"Dasya baillouviana",-81.32,25.92,"US",888245270
"Dasya baillouviana",-81.27,25.12,"US",888245321
"Dasya baillouviana",-81.33,25.22,"US",888245187
"Dasya baillouviana",-63.45675,46.5021,"CA",620534393
"Dasya baillouviana",-63.31299,46.45831,"CA",620534391
"Dasya baillouviana",-71.98722,41.31611,"US",415943920
"Dasya baillouviana",-71.92916,41.30416,"US",415943914
"Dasya baillouviana",-70.68,41.52,"US",178116229
"Dasya baillouviana",-70.6,41.5,"US",178116220
"Dasya baillouviana",-70.58,41.48,"US",122314898
"Dasya baillouviana",-70.86,41.38,"US",178116238
"Dasya baillouviana",-70.6,41.53,"US",122314881
"Dasya baillouviana",-70.63,41.52,"US",122314886
"Dasya baillouviana",-70.78,41.42,"US",178116214
"Dasya baillouviana",-70.59,41.52,"US",178116224
"Dasya baillouviana",-70.61,41.52,"US",178116227
"Dasya baillouviana",-70.64,41.51,"US",122314876
"Dasya baillouviana",-70.59,41.5,"US",178116219
"Dasya baillouviana",-70.75,41.44,"US",122314873
"Dasya baillouviana",-70.63,41.51,"US",178116221
"Dasya baillouviana",-70.62,41.53,"US",178116226
"Dasya baillouviana",-70.61,41.48,"US",178116239
"Dasya baillouviana",-70.65,41.56,"US",122314868
"Dasya baillouviana",-70.61,41.53,"US",178116225
"Dasya baillouviana",-70.63,41.47,"US",122314874
"Dasya baillouviana",-70.68,41.49,"US",122314875
"Dasya baillouviana",-70.59,41.53,"US",178116222
"Dasya baillouviana",-70.71,41.71,"US",178116211
"Dasya baillouviana",-70.8,41.44,"US",178116230
"Dasya baillouviana",-70.66,41.61,"US",178116212
"Dasya baillouviana",-70.99,41.5,"US",178116207
"Dasya baillouviana",-70.81,41.36,"US",178116231
"Dasya baillouviana",-70.59,41.47,"US",122314891
"Dasya baillouviana",-70.7,41.67,"US",122314863
"Dasya baillouviana",-70.97,41.48,"US",122314864
"Dasya baillouviana",-71,41.44,"US",122314867
"Dasya baillouviana",-70.65,41.46,"US",122314892
"Dasya baillouviana",-70.84,41.47,"US",178116208
"Dasya baillouviana",-70.63,41.46,"US",178116232
"Dasya baillouviana",-70.81,41.49,"US",122314871
"Dasya baillouviana",-70.68,41.44,"US",122314894
"Dasya baillouviana",-70.67,41.44,"US",178116235
"Dasya baillouviana",-70.74,41.43,"US",178116237
"Dasya baillouviana",-73.4825,40.89166,"US",415942557
"Dasya baillouviana",-71.37638,41.5375,"US",415928769
"Dasya baillouviana",-70.67361,41.52638,"US",415928768
"Dasya baillouviana",-70.92833,42.2125,"US",415928819
"Dasya baillouviana",-61.55207,16.26148,"GP",1055847389
"Dasya baillouviana",-65.4,44.85,"CA",113843673
"Dasya baillouviana",-73.19611,41.18638,"US",415928823
"Dasya baillouviana",-70.68,41.51,"US",178116404
"Dasya baillouviana",-70.66,41.52,"US",178116403
"Dasya baillouviana",-71.4001,41.4527,"US",240689741
