"species","lon","lat","countryCode","gbifID"
"Delesseria sanguinea",6.45918,62.56194,"NO",1272941399
"Delesseria sanguinea",5.20255,60.24115,"NO",1272941555
"Delesseria sanguinea",6.0974,62.57369,"NO",1272941548
"Delesseria sanguinea",6.16719,62.68456,"NO",1273344221
"Delesseria sanguinea",6.12745,62.56766,"NO",1272941293
"Delesseria sanguinea",9.74,58.99823,"NO",1272941402
"Delesseria sanguinea",-9.83131,53.14021,"IE",1313450888
"Delesseria sanguinea",-9.95117,53.8033,"IE",1313446799
"Delesseria sanguinea",11.03621,59.02137,"NO",1272941471
"Delesseria sanguinea",10.41152,59.05678,"NO",1241162759
"Delesseria sanguinea",5.20928,60.08113,"NO",1235909779
"Delesseria sanguinea",14.63445,67.28801,"NO",1241160538
"Delesseria sanguinea",9.61158,58.87422,"NO",1236975887
"Delesseria sanguinea",9.58654,58.85489,"NO",1236975849
"Delesseria sanguinea",12.5334,56.2328,"SE",1123613580
"Delesseria sanguinea",8.42284,62.94622,"NO",1236190825
"Delesseria sanguinea",12.5181,56.2574,"SE",1132438511
"Delesseria sanguinea",12.4951,56.28,"SE",1132439055
"Delesseria sanguinea",11.3097,59.1044,"SE",1135575024
"Delesseria sanguinea",5.9654,62.49129,"NO",1236354542
"Delesseria sanguinea",18.56358,70.03264,"NO",1236352461
"Delesseria sanguinea",11.4138,58.2708,"SE",1135383747
"Delesseria sanguinea",12.5239,56.2509,"SE",1136907480
"Delesseria sanguinea",6.02094,62.51135,"NO",1236453492
"Delesseria sanguinea",12.4946,56.2835,"SE",1136907744
"Delesseria sanguinea",12.6453,56.7297,"SE",1213786728
"Delesseria sanguinea",12.7555,56.4633,"SE",1212967169
"Delesseria sanguinea",8.42339,62.94658,"NO",1241160518
"Delesseria sanguinea",10.03807,54.53841,"DE",921472339
"Delesseria sanguinea",10.24338,54.43251,"DE",921458867
"Delesseria sanguinea",-10.13772,51.7586,"IE",1133926064
"Delesseria sanguinea",-10.14934,51.75929,"IE",1133925098
"Delesseria sanguinea",9.26766,58.74279,"NO",1248644467
"Delesseria sanguinea",7.603,58.01087,"NO",1248645124
"Delesseria sanguinea",8.06625,58.1323,"NO",1248643670
"Delesseria sanguinea",8.58178,58.3166,"NO",1248644175
"Delesseria sanguinea",9.75365,59.02335,"NO",1248642908
"Delesseria sanguinea",11.06977,59.02468,"NO",1248642687
"Delesseria sanguinea",8.03595,58.1447,"NO",1248643657
"Delesseria sanguinea",9.80855,58.99358,"NO",1248644256
"Delesseria sanguinea",8.94422,58.5132,"NO",1248642785
"Delesseria sanguinea",8.52282,58.25454,"NO",1248644688
"Delesseria sanguinea",10.70399,59.2543,"NO",1248643034
"Delesseria sanguinea",8.53716,58.27313,"NO",1248644476
"Delesseria sanguinea",11.7487,57.5995,"SE",875809694
"Delesseria sanguinea",10.69088,59.30238,"NO",1241164553
"Delesseria sanguinea",-5.72905,54.67243,"GB",1133906387
"Delesseria sanguinea",7.9633,63.03984,"NO",1241153357
"Delesseria sanguinea",-4.26222,52.89821,"GB",806694839
"Delesseria sanguinea",-4.25651,52.90281,"GB",806695114
"Delesseria sanguinea",-4.35649,52.85411,"GB",806694730
"Delesseria sanguinea",-4.36259,52.82971,"GB",806694707
"Delesseria sanguinea",6.04334,59.18419,"NO",1248617111
"Delesseria sanguinea",-4.30837,52.87124,"GB",806694565
"Delesseria sanguinea",-4.35639,52.85231,"GB",806694799
"Delesseria sanguinea",-6.915,57.839,"GB",1265662986
"Delesseria sanguinea",10.60891,59.65812,"NO",1241150504
"Delesseria sanguinea",10.5921,59.66807,"NO",1241152740
"Delesseria sanguinea",10.63029,63.44133,"NO",1241161754
"Delesseria sanguinea",-9.79043,53.94957,"IE",1133910830
"Delesseria sanguinea",-0.38379,54.2663,"GB",732463381
"Delesseria sanguinea",-4.03055,53.31691,"GB",806695589
"Delesseria sanguinea",-0.30444,54.2351,"GB",732463380
"Delesseria sanguinea",0.12251,53.581,"GB",732463783
"Delesseria sanguinea",-4.03201,53.31598,"GB",806695870
"Delesseria sanguinea",-0.40542,54.30255,"GB",732463377
"Delesseria sanguinea",-0.40546,54.30165,"GB",732463379
"Delesseria sanguinea",-4.01567,53.31986,"GB",806695735
"Delesseria sanguinea",-0.52255,54.4227,"GB",732463873
"Delesseria sanguinea",8.72451,58.39387,"NO",1241165368
"Delesseria sanguinea",10.62951,59.41831,"NO",1241164220
"Delesseria sanguinea",8.88457,58.45616,"NO",1054104542
"Delesseria sanguinea",-3.9,48.71,"FR",1006699987
"Delesseria sanguinea",-4.65085,52.90635,"GB",806674273
"Delesseria sanguinea",-4.68935,52.87941,"GB",806673955
"Delesseria sanguinea",-4.69066,52.87668,"GB",806674050
"Delesseria sanguinea",-9.12936,53.24958,"IE",368080355
"Delesseria sanguinea",-4.7095,51.64319,"GB",806677901
