"species","lon","lat","countryCode","gbifID"
"Desmarestia aculeata",-128.15722,51.64139,"CA",1054800861
"Desmarestia aculeata",-162.70194,55.20556,"US",1054800549
"Desmarestia aculeata",-128.15667,51.64083,"CA",919120734
"Desmarestia aculeata",-162.61389,55.28556,"US",919121937
"Desmarestia aculeata",-162.695,54.462,"US",617167933
"Desmarestia aculeata",-130.51667,54.33333,"CA",919116810
"Desmarestia aculeata",-162.681,54.459,"US",617167931
"Desmarestia aculeata",-154.3297,56.88732,"US",617167136
"Desmarestia aculeata",-167.32667,53.41167,"US",617170336
"Desmarestia aculeata",-162.698,54.456,"US",617167935
"Desmarestia aculeata",-165.75828,54.11958,"US",617170005
"Desmarestia aculeata",-165.82028,54.12664,"US",617170026
"Desmarestia aculeata",-147.41,60.3,"US",177333866
"Desmarestia aculeata",-154.11,57.57,"US",177334117
"Desmarestia aculeata",-126.56667,50.52167,"CA",617163876
"Desmarestia aculeata",-123.93333,48.38333,"CA",617163415
"Desmarestia aculeata",-131.55086,52.34388,"CA",17570331
"Desmarestia aculeata",-131.05116,52.06417,"CA",17569721
"Desmarestia aculeata",-131.55669,52.33055,"CA",17570327
"Desmarestia aculeata",-131.44952,52.60405,"CA",17570444
"Desmarestia aculeata",-131.4547,52.69039,"CA",17570525
"Desmarestia aculeata",-131.61069,52.72872,"CA",17570483
"Desmarestia aculeata",-131.02316,51.94222,"CA",17570143
"Desmarestia aculeata",-151.33333,59.6,"US",919097056
"Desmarestia aculeata",-149.44167,60.1,"US",1270726723
"Desmarestia aculeata",-152.78333,57.78883,"US",1270726091
"Desmarestia aculeata",-128.075,52.17917,"CA",617162623
"Desmarestia aculeata",-124.7,49.36667,"CA",919101086
"Desmarestia aculeata",-133.49333,55.81111,"US",919091311
"Desmarestia aculeata",-132.2379,54.0681,"CA",17569389
"Desmarestia aculeata",-131.9992,53.2461,"CA",17569445
"Desmarestia aculeata",-132.4223,53.292,"CA",17569423
"Desmarestia aculeata",-166.6,53.91667,"US",919098406
"Desmarestia aculeata",-134.10556,57.73333,"US",919094121
"Desmarestia aculeata",-133,54.23333,"CA",919099116
"Desmarestia aculeata",-151.55,59.64444,"US",1270729152
"Desmarestia aculeata",-134.78611,58.47222,"US",919108327
"Desmarestia aculeata",-132.975,53.54167,"CA",617128134
"Desmarestia aculeata",-132.95333,53.53667,"CA",617128136
"Desmarestia aculeata",-133.00745,53.5629,"CA",17569811
"Desmarestia aculeata",-132.46378,53.0267,"CA",17569773
"Desmarestia aculeata",-132.95795,53.53667,"CA",17569795
"Desmarestia aculeata",-132.97939,53.54137,"CA",17569789
"Desmarestia aculeata",-149.44149,60.07246,"US",1270729969
"Desmarestia aculeata",-149.43333,60.07083,"US",1270729653
"Desmarestia aculeata",-131.35,52.57667,"CA",617129583
"Desmarestia aculeata",-127.16,50.64833,"CA",617129578
"Desmarestia aculeata",-131.3946,52.5742,"CA",17569553
"Desmarestia aculeata",-127.13833,50.66167,"CA",617128476
"Desmarestia aculeata",-127.77333,51.37333,"CA",617129586
"Desmarestia aculeata",-127.65278,50.60139,"CA",919099170
"Desmarestia aculeata",-134.95,56.41667,"US",1270725711
"Desmarestia aculeata",-146.40139,61.12917,"US",1270729703
"Desmarestia aculeata",-177.56667,51.96667,"US",1270728943
"Desmarestia aculeata",-149.43333,60.1,"US",1270729535
"Desmarestia aculeata",-124.44667,48.525,"CA",617129595
"Desmarestia aculeata",-161.75,58.58333,"US",1270726117
"Desmarestia aculeata",-161.75,58.56667,"US",1270726058
"Desmarestia aculeata",-124.61667,48.36667,"US",919098622
"Desmarestia aculeata",-123.68333,49.15,"CA",919093956
"Desmarestia aculeata",-137.65556,58.6125,"US",1270726774
"Desmarestia aculeata",-136.50833,58.275,"US",1270726059
"Desmarestia aculeata",-122.96667,48.45,"US",919098623
"Desmarestia aculeata",-131.76837,53.02226,"CA",17569829
"Desmarestia aculeata",-131.67632,53.01082,"CA",17569833
"Desmarestia aculeata",-131.97739,53.25858,"CA",17569843
"Desmarestia aculeata",-131.98787,53.25524,"CA",17569839
"Desmarestia aculeata",-132.08171,53.22519,"CA",17569853
"Desmarestia aculeata",-132.02905,53.2174,"CA",17569849
"Desmarestia aculeata",-131.9922,53.24963,"CA",17569841
"Desmarestia aculeata",-132.04869,53.22366,"CA",17569851
"Desmarestia aculeata",-135.85,55.88333,"US",919098503
"Desmarestia aculeata",-149.43333,60.05,"US",1270726267
"Desmarestia aculeata",-146.58333,60.81111,"US",1270729146
"Desmarestia aculeata",-145.775,60.59167,"US",1270728122
"Desmarestia aculeata",-146.775,61.04167,"US",1270726116
"Desmarestia aculeata",-146.715,60.8775,"US",1270727169
"Desmarestia aculeata",-135.34333,57.03667,"US",617128360
"Desmarestia aculeata",-127.45,50.745,"CA",617128487
"Desmarestia aculeata",-135.59167,57.15,"US",617128359
"Desmarestia aculeata",-135.33833,57.03833,"US",617128362
"Desmarestia aculeata",-134.25556,58.19861,"US",1270726112
"Desmarestia aculeata",-135,58.7,"US",1270725715
"Desmarestia aculeata",-127.42222,50.71667,"CA",919099186
"Desmarestia aculeata",-134.85,57.475,"US",1270729602
