"species","lon","lat","countryCode","gbifID"
"Desmarestia ligulata",-117.24517,32.66966,"US",1270046711
"Desmarestia ligulata",-117.24482,32.66805,"US",1269577141
"Desmarestia ligulata",-122.51396,37.51846,"US",1272098983
"Desmarestia ligulata",-122.50785,37.50756,"US",1272103533
"Desmarestia ligulata",-121.9449,36.51262,"US",1291080320
"Desmarestia ligulata",-122.21507,37.0215,"US",1273850066
"Desmarestia ligulata",-122.0301,36.95171,"US",1272098476
"Desmarestia ligulata",-122.70861,37.89528,"US",1272105694
"Desmarestia ligulata",-122.51932,37.52676,"US",1272099468
"Desmarestia ligulata",-122.50517,37.50681,"US",1291080284
"Desmarestia ligulata",-122.49932,37.49439,"US",1272094758
"Desmarestia ligulata",-122.51435,37.51985,"US",1291105846
"Desmarestia ligulata",-122.51617,37.52024,"US",1291109096
"Desmarestia ligulata",-122.52062,37.52098,"US",1291107218
"Desmarestia ligulata",-122.51418,37.51965,"US",1291105769
"Desmarestia ligulata",-122.51431,37.51969,"US",1291105854
"Desmarestia ligulata",-122.23782,37.04572,"US",1143519309
"Desmarestia ligulata",-122.511,37.5115,"US",1272075371
"Desmarestia ligulata",-121.09141,35.53966,"US",1132409701
"Desmarestia ligulata",-122.60121,37.87453,"US",899957872
"Desmarestia ligulata",-128.15667,51.64083,"CA",617174178
"Desmarestia ligulata",-152.66667,58.55,"US",919117686
"Desmarestia ligulata",-154.01667,56.75,"US",617167160
"Desmarestia ligulata",-59.462,-51.519,"FK",1057355377
"Desmarestia ligulata",-132.52666,54.05972,"CA",17569715
"Desmarestia ligulata",-73.99556,-41.89722,"CL",910568888
"Desmarestia ligulata",-123.93333,48.38333,"CA",617163413
"Desmarestia ligulata",-131.46918,52.46789,"CA",17570405
"Desmarestia ligulata",-131.1174,52.1624,"CA",17570313
"Desmarestia ligulata",-131.24118,52.13588,"CA",17569905
"Desmarestia ligulata",-131.48251,52.73472,"CA",17570480
"Desmarestia ligulata",-131.15533,52.10005,"CA",17569965
"Desmarestia ligulata",-73.40472,-39.82417,"CL",910569163
"Desmarestia ligulata",-70.92167,-53.625,"CL",910568431
"Desmarestia ligulata",-73.82833,-41.85944,"CL",910569122
"Desmarestia ligulata",-69.65028,-53.63472,"CL",910567969
"Desmarestia ligulata",-68.24583,-54.8675,"AR",910568513
"Desmarestia ligulata",-73.45944,-41.79278,"CL",910569013
"Desmarestia ligulata",-73.44139,-39.86306,"CL",910568131
"Desmarestia ligulata",-73.95444,-41.85861,"CL",910569587
"Desmarestia ligulata",-71.84694,-35.91694,"CL",910568747
"Desmarestia ligulata",-70.90583,-53.17056,"CL",910569367
"Desmarestia ligulata",-67.60639,-54.93278,"CL",910569334
"Desmarestia ligulata",-72.98056,-36.60889,"CL",910569756
"Desmarestia ligulata",-73.39417,-39.86083,"CL",910568811
"Desmarestia ligulata",-73.47861,-42.88528,"CL",910569576
"Desmarestia ligulata",-73.40028,-39.79556,"CL",910569421
"Desmarestia ligulata",-73.1625,-36.8175,"CL",910568338
"Desmarestia ligulata",-73.71083,-43.11306,"CL",910569779
"Desmarestia ligulata",-70.44028,-53.30667,"CL",910569208
"Desmarestia ligulata",-73.40278,-39.86917,"CL",910569044
"Desmarestia ligulata",-73.21833,-39.43944,"CL",910568910
"Desmarestia ligulata",-73.65389,-41.60444,"CL",910569694
"Desmarestia ligulata",-130.5,54.33333,"CA",919092560
"Desmarestia ligulata",-125.15,48.8,"CA",919114468
"Desmarestia ligulata",-132.1,52.75,"CA",919123824
"Desmarestia ligulata",-131.00172,51.92655,"CA",17570193
"Desmarestia ligulata",-130.95267,52.10613,"CA",17570187
"Desmarestia ligulata",-131.4392,52.68592,"CA",17570069
"Desmarestia ligulata",-130.9687,52.01199,"CA",17570205
"Desmarestia ligulata",-131.14531,52.09768,"CA",17570225
"Desmarestia ligulata",-131.24583,52.37128,"CA",17570173
"Desmarestia ligulata",-131.0143,52.18174,"CA",17570259
"Desmarestia ligulata",-131.27219,52.29826,"CA",17570161
"Desmarestia ligulata",-131.60428,52.96284,"CA",17569981
"Desmarestia ligulata",-131.50986,52.60396,"CA",17570029
