"species","lon","lat","countryCode","gbifID"
"Dictyota dichotoma",-64.79214,18.33972,"VI",891130389
"Dictyota dichotoma",-77.58983,33.48567,"US",1306505131
"Dictyota dichotoma",-94.888,16.335,"MX",370384162
"Dictyota dichotoma",-94.868,16.334,"MX",370384246
"Dictyota dichotoma",-64.67,32.33,"BM",888254620
"Dictyota dichotoma",-80.8833,31.3933,"US",888254805
"Dictyota dichotoma",-96.78,15.733,"MX",370360675
"Dictyota dichotoma",-43.17444,-22.91139,"BR",1087396165
"Dictyota dichotoma",-77.415,33.52667,"US",888254892
"Dictyota dichotoma",-77.415,33.54167,"US",888254927
"Dictyota dichotoma",-77.42,33.53,"US",888254895
"Dictyota dichotoma",-77.41667,33.53833,"US",888254881
"Dictyota dichotoma",-76.59667,34.40333,"US",888254904
"Dictyota dichotoma",-77.395,33.51167,"US",888254958
"Dictyota dichotoma",-79.715,32.485,"US",888254873
"Dictyota dichotoma",-77.40333,33.52,"US",888254936
"Dictyota dichotoma",-79.71667,32.485,"US",888254859
"Dictyota dichotoma",-88.08,16.8,"BZ",888254967
"Dictyota dichotoma",-77.41833,33.53667,"US",888254875
"Dictyota dichotoma",-75.35833,35.34167,"US",888254840
"Dictyota dichotoma",-79.86347,9.405,"PA",888254673
"Dictyota dichotoma",-94.75,16.3,"MX",370368258
"Dictyota dichotoma",-77.2858,34.3367,"US",888254858
"Dictyota dichotoma",-94.583,16.25,"MX",370368188
"Dictyota dichotoma",-77.6,24.22,"BS",888254597
"Dictyota dichotoma",-77.58,25.02,"BS",888254693
"Dictyota dichotoma",-77.75,24.675,"BS",888254621
"Dictyota dichotoma",-77.5917,25.03,"BS",888254656
"Dictyota dichotoma",-77.37,23.6583,"BS",888254625
"Dictyota dichotoma",-67.05,17.9333,"PR",888254787
"Dictyota dichotoma",-94.034,16.025,"MX",370368227
"Dictyota dichotoma",-80.4022,25.1378,"US",888254719
"Dictyota dichotoma",-82.535,27.2433,"US",888837844
"Dictyota dichotoma",-81.75,24.7,"US",888254612
"Dictyota dichotoma",-81.32,25.92,"US",888254776
"Dictyota dichotoma",-81.32,24.97,"US",888254587
"Dictyota dichotoma",-81.27,25.12,"US",888254829
"Dictyota dichotoma",-81.3167,25.0833,"US",888254828
"Dictyota dichotoma",-35.26111,-9.61806,"BR",1087394138
"Dictyota dichotoma",-35.02222,-9.025,"BR",1087394121
"Dictyota dichotoma",-95.192,16.17,"MX",370370074
"Dictyota dichotoma",-81.155,24.7033,"US",888254809
"Dictyota dichotoma",-89.75,22.5,"MX",888254574
"Dictyota dichotoma",-65.0875,32.0722,"BM",888254649
"Dictyota dichotoma",-70.0792,12.3506,"AW",888254720
