"species","lon","lat","countryCode","gbifID"
"Dilsea carnosa",6.07117,62.58269,"NO",1272941382
"Dilsea carnosa",6.02094,62.51135,"NO",1272941581
"Dilsea carnosa",-9.82114,51.63,"IE",1313444535
"Dilsea carnosa",-9.95117,53.8033,"IE",1313446826
"Dilsea carnosa",-9.65139,53.12487,"IE",1313450883
"Dilsea carnosa",-9.83131,53.14021,"IE",1313450906
"Dilsea carnosa",12.5334,56.2328,"SE",1123640284
"Dilsea carnosa",6.07717,62.58615,"NO",1236645369
"Dilsea carnosa",12.6104,56.8187,"SE",1213782547
"Dilsea carnosa",-10.13772,51.7586,"IE",1133926047
"Dilsea carnosa",-10.13342,51.75958,"IE",1133925297
"Dilsea carnosa",9.80855,58.99358,"NO",1248629802
"Dilsea carnosa",10.70399,59.2543,"NO",1248643010
"Dilsea carnosa",8.03595,58.1447,"NO",1248635784
"Dilsea carnosa",8.06625,58.1323,"NO",1248635796
"Dilsea carnosa",9.26766,58.74279,"NO",1248661521
"Dilsea carnosa",8.94422,58.5132,"NO",1248636522
"Dilsea carnosa",8.53716,58.27313,"NO",1248644150
"Dilsea carnosa",7.603,58.01087,"NO",1248629750
"Dilsea carnosa",8.58178,58.3166,"NO",1248629327
"Dilsea carnosa",-6.34805,49.95764,"GB",1291527356
"Dilsea carnosa",-6.31073,49.93024,"GB",1291527420
"Dilsea carnosa",-5.72905,54.67243,"GB",1133906383
"Dilsea carnosa",-4.29931,52.8966,"GB",806694946
"Dilsea carnosa",-4.25651,52.90281,"GB",806695073
"Dilsea carnosa",-4.26222,52.89821,"GB",806694843
"Dilsea carnosa",-4.35639,52.85231,"GB",806694804
"Dilsea carnosa",-0.41839,54.32519,"GB",732464548
"Dilsea carnosa",-6.915,57.839,"GB",1265663178
"Dilsea carnosa",-0.10285,54.13006,"GB",732464934
"Dilsea carnosa",5.54702,58.67797,"NO",1236678287
"Dilsea carnosa",10.63029,63.44133,"NO",1241161764
"Dilsea carnosa",-0.39507,54.2723,"GB",732463387
"Dilsea carnosa",-0.38379,54.2663,"GB",732463386
"Dilsea carnosa",-0.11479,54.10327,"GB",732463840
"Dilsea carnosa",-0.52255,54.4227,"GB",732463875
"Dilsea carnosa",10.01592,58.97857,"NO",1241177603
"Dilsea carnosa",9.82071,58.97669,"NO",1241162320
"Dilsea carnosa",-9.12936,53.24958,"IE",368080357
"Dilsea carnosa",-9.7702,53.29388,"IE",368080198
"Dilsea carnosa",-9.87682,53.61727,"IE",368079672
"Dilsea carnosa",-3.95421,50.30798,"GB",1055856455
"Dilsea carnosa",-9.92798,54.26553,"IE",368080069
"Dilsea carnosa",-8.72005,54.26485,"IE",368079956
"Dilsea carnosa",-8.66263,54.27254,"IE",368079912
"Dilsea carnosa",-9.87784,54.24335,"IE",368080151
"Dilsea carnosa",-4.6972,51.65517,"GB",806677422
"Dilsea carnosa",-9.62803,53.24583,"IE",368080299
"Dilsea carnosa",-4.70228,51.64336,"GB",806677651
"Dilsea carnosa",-4.71426,51.65028,"GB",806677853
"Dilsea carnosa",-4.88476,51.62552,"GB",806678451
"Dilsea carnosa",-4.69672,51.64708,"GB",806677723
"Dilsea carnosa",-4.69073,51.64362,"GB",806677760
"Dilsea carnosa",-8.63979,54.32047,"IE",368080011
"Dilsea carnosa",-4.73244,51.63996,"GB",806677566
"Dilsea carnosa",11.7265,57.578,"SE",854674147
"Dilsea carnosa",11.5716,57.6366,"SE",854672876
"Dilsea carnosa",11.6083,57.6469,"SE",854674930
"Dilsea carnosa",-8.40262,54.89327,"IE",368079867
"Dilsea carnosa",11.7444,57.5498,"SE",854671640
"Dilsea carnosa",-5.10998,51.68543,"GB",806681425
"Dilsea carnosa",11.6727,57.6066,"SE",854676020
"Dilsea carnosa",11.6699,57.5305,"SE",854674567
"Dilsea carnosa",11.6676,57.5309,"SE",854673449
"Dilsea carnosa",-8.38947,54.87705,"IE",368079832
