"species","lon","lat","countryCode","gbifID"
"Eudesme virescens",15,55,"DK",354508121
"Eudesme virescens",-4.41516,52.86732,"GB",806681005
"Eudesme virescens",17.438,58.7249,"SE",851320679
"Eudesme virescens",17.4409,58.7229,"SE",851322445
"Eudesme virescens",17.4647,58.6824,"SE",851321143
"Eudesme virescens",17.4224,58.7441,"SE",851320834
"Eudesme virescens",17.3747,58.7343,"SE",851320940
"Eudesme virescens",-18.60547,64.99759,"IS",1135518559
"Eudesme virescens",18.97236,69.70308,"NO",239488795
"Eudesme virescens",-13,65,"IS",354508107
"Eudesme virescens",-14,64,"IS",354508108
"Eudesme virescens",-18,65,"IS",354508102
"Eudesme virescens",-18,66,"IS",354508101
"Eudesme virescens",10,57,"DK",354508006
"Eudesme virescens",10.93,57.37,"DK",354507958
"Eudesme virescens",-21,65,"IS",354508054
"Eudesme virescens",-22,65,"IS",354508055
"Eudesme virescens",-23,65,"IS",354508058
"Eudesme virescens",-22,64,"IS",354508063
"Eudesme virescens",-22,66,"IS",354508056
"Eudesme virescens",-23,64,"IS",354508061
"Eudesme virescens",-22,63,"IS",354508062
"Eudesme virescens",-4.33321,53.42871,"GB",796237318
"Eudesme virescens",-4.50535,53.41174,"GB",796182503
"Eudesme virescens",-4.23255,52.75489,"GB",806732973
"Eudesme virescens",-4.22788,52.75048,"GB",806463395
"Eudesme virescens",-4.26826,52.72903,"GB",806464779
"Eudesme virescens",23.25,59.82,"FI",354507946
"Eudesme virescens",-4.27136,52.73167,"GB",806465254
"Eudesme virescens",-4.31629,52.71282,"GB",806464578
"Eudesme virescens",12,55,"DK",354507995
"Eudesme virescens",12.6,55.68,"DK",354507945
"Eudesme virescens",-3.175,59.02,"GB",1056382572
"Eudesme virescens",-8.476,54.945,"IE",23919183
"Eudesme virescens",-7,62,"FO",354507980
"Eudesme virescens",-6,62,"FO",354507979
"Eudesme virescens",-6.72,62.12,"FO",354507936
"Eudesme virescens",-7,62.18,"FO",354507937
"Eudesme virescens",-7.02,62.18,"FO",354507935
"Eudesme virescens",7.98402,58.11797,"NO",1248608203
"Eudesme virescens",11,56,"DK",354507993
"Eudesme virescens",12,56,"DK",354507994
"Eudesme virescens",12.07,56.55,"DK",354507933
"Eudesme virescens",11.18,56.15,"DK",354507934
"Eudesme virescens",10.62,57.5,"DK",354507971
"Eudesme virescens",10.62,57.47,"DK",354507951
"Eudesme virescens",-4.56667,48.29167,"FR",1141443701
"Eudesme virescens",10.62,56.53,"DK",354507944
"Eudesme virescens",10,56,"DK",354507978
"Eudesme virescens",10.77,55.93,"DK",354507967
"Eudesme virescens",10,55,"DK",354507983
"Eudesme virescens",13.02351,55.59028,"SE",1065681349
"Eudesme virescens",7.8096,58.05677,"NO",239539304
"Eudesme virescens",7.81082,58.07116,"NO",239539320
"Eudesme virescens",11.13,55.88,"DK",354507931
"Eudesme virescens",11,55,"DK",354507988
"Eudesme virescens",11.12,57.33,"DK",354507932
"Eudesme virescens",11,57,"DK",354507982
"Eudesme virescens",6.5744,58.20629,"NO",239539260
"Eudesme virescens",10.63,55.88,"DK",354507965
"Eudesme virescens",-6.32778,49.92161,"GB",1057345462
"Eudesme virescens",-3.14586,56.23267,"GB",1055778917
"Eudesme virescens",-5.18725,51.75532,"GB",790637952
"Eudesme virescens",11.02,57.3,"DK",354507956
"Eudesme virescens",10.92,57.37,"DK",354507952
"Eudesme virescens",7.55765,57.96696,"NO",239539706
"Eudesme virescens",-2.41693,56.94925,"GB",1057108096
"Eudesme virescens",-5.20743,51.93738,"GB",790634598
"Eudesme virescens",-1.239,60.287,"GB",1056636927
"Eudesme virescens",-17,66,"IS",354508024
"Eudesme virescens",-21,66,"IS",354508032
"Eudesme virescens",-2.44531,55.76818,"GB",1057017203
"Eudesme virescens",-2.7027,55.93757,"GB",1057231703
"Eudesme virescens",-6.915,57.839,"GB",1056094974
"Eudesme virescens",-6.12,56.495,"GB",1056398713
"Eudesme virescens",12.6,55.77,"DK",354507947
"Eudesme virescens",-4.669,51.178,"GB",1055822249
"Eudesme virescens",-63.95171,44.52643,"CA",686192823
"Eudesme virescens",17.51492,58.93874,"SE",788796763
"Eudesme virescens",-20,66,"IS",354508044
"Eudesme virescens",-15,66,"IS",354508045
"Eudesme virescens",-13,64,"IS",354508048
"Eudesme virescens",-14,65,"IS",354508049
"Eudesme virescens",-63.55649,44.49181,"CA",686192879
"Eudesme virescens",-5.15525,51.71211,"GB",790589501
"Eudesme virescens",-5.15588,51.7004,"GB",790588937
"Eudesme virescens",-5.18574,51.75447,"GB",790588185
"Eudesme virescens",-5.14878,51.70239,"GB",790589127
"Eudesme virescens",-5.18736,51.69505,"GB",790647452
"Eudesme virescens",-63.5825,44.45,"CA",620533822
"Eudesme virescens",12.08,55.15,"DK",354507948
"Eudesme virescens",-70.475,41.765,"US",415942996
"Eudesme virescens",-70.37916,41.73944,"US",415942995
"Eudesme virescens",-50.33333,64.4,"GL",1141268991
"Eudesme virescens",-70.92361,41.45,"US",415943828
"Eudesme virescens",16,56,"SE",1052346914
"Eudesme virescens",17,57,"SE",1052346923
"Eudesme virescens",-3.11824,56.22887,"GB",1065681866
"Eudesme virescens",15,56,"SE",1052346882
"Eudesme virescens",14,56,"SE",1052346893
"Eudesme virescens",-71.85777,41.07194,"US",415942532
"Eudesme virescens",12.57321,56.2593,"SE",788798198
"Eudesme virescens",11.44486,58.24867,"SE",788796465
"Eudesme virescens",12.92779,55.58285,"SE",788769476
"Eudesme virescens",11,58,"SE",1052346890
"Eudesme virescens",9.92,57.04722,"DK",788782440
"Eudesme virescens",-63.63759,44.69684,"CA",686192803
"Eudesme virescens",13.00276,55.60694,"SE",788769535
"Eudesme virescens",12.69537,55.90822,"SE",788797004
"Eudesme virescens",9,55,"DK",354508097
"Eudesme virescens",14.22632,55.68596,"SE",788796943
"Eudesme virescens",-5.27945,56.87141,"GB",1057578313
"Eudesme virescens",12.95671,55.77092,"SE",788796232
"Eudesme virescens",9,57,"DK",354508086
"Eudesme virescens",8,56,"DK",354508083
"Eudesme virescens",11.3673,58.56754,"SE",788798378
"Eudesme virescens",12.02232,57.41314,"SE",788796289
"Eudesme virescens",-6.97,62.17,"FO",354507941
"Eudesme virescens",-6.96056,62.11306,"FO",788782793
"Eudesme virescens",7.88528,54.1825,"DE",63862515
"Eudesme virescens",-70.67361,41.52638,"US",415933054
"Eudesme virescens",-18.23222,65.85917,"IS",788786343
"Eudesme virescens",-71.38333,41.48888,"US",415933052
"Eudesme virescens",11.47,55.08,"DK",354507972
"Eudesme virescens",10.9,57.4,"DK",354507954
"Eudesme virescens",-52.92,65.42,"GL",354507943
"Eudesme virescens",-5.19661,55.63328,"GB",1056115967
"Eudesme virescens",-2.109,54.15535,"GB",1055892456
"Eudesme virescens",-68.77722,44.2125,"US",415933055
"Eudesme virescens",-4.2026,56.4907,"GB",1055635405
"Eudesme virescens",10.72,54.98,"DK",354507962
"Eudesme virescens",11.13,55.33,"DK",354507961
"Eudesme virescens",9.7,55.5,"DK",354507963
"Eudesme virescens",9.6,55.7,"DK",354507964
"Eudesme virescens",-5.57357,55.68701,"GB",1055973349
"Eudesme virescens",-4.53615,55.42799,"GB",1056912099
"Eudesme virescens",-4.60632,50.50383,"GB",1056798164
"Eudesme virescens",-5.06662,50.15288,"GB",1056106665
"Eudesme virescens",18,59,"SE",1052346915
"Eudesme virescens",12.56944,55.67583,"DK",788786522
"Eudesme virescens",18,56,"SE",1052346883
"Eudesme virescens",18,57,"SE",1052346901
"Eudesme virescens",10.48111,55.53806,"DK",788798857
"Eudesme virescens",17,58,"SE",1052346886
"Eudesme virescens",-5.54,50.12,"GB",1056361423
"Eudesme virescens",-3.64852,50.60359,"GB",1055488127
"Eudesme virescens",-70.65,41.51,"US",122308830
"Eudesme virescens",-70.65278,41.5093,"US",1305331002
"Eudesme virescens",-70.98333,42.425,"US",415933053
"Eudesme virescens",-70.66,41.52,"US",178112541
"Eudesme virescens",-4.52112,53.22438,"GB",1305326007
"Eudesme virescens",-70.68,41.51,"US",178112542
"Eudesme virescens",-2.58662,56.27577,"GB",1305326104
"Eudesme virescens",-4.97597,50.53957,"GB",1305331151
"Eudesme virescens",-2.44574,50.60477,"GB",1055429407
"Eudesme virescens",-3.19437,55.83761,"GB",1056726453
"Eudesme virescens",4.19067,53.61508,"NL",22205280
"Eudesme virescens",-5.18661,51.70497,"GB",790647242
"Eudesme virescens",-4.74213,54.88218,"GB",1056689182
"Eudesme virescens",-4.68338,54.07,"GB",1305331119
"Eudesme virescens",-65.4,44.85,"CA",113843864
"Eudesme virescens",-6.10727,53.25182,"IE",1305323178
"Eudesme virescens",-70.6705,41.52173,"US",1305331011
