"species","lon","lat","countryCode","gbifID"
"Gracilariopsis longissima",0.91371,51.20854,"GB",1265658741
"Gracilariopsis longissima",1.14274,51.07228,"GB",1265658844
"Gracilariopsis longissima",1.4047,51.18076,"GB",1265658797
"Gracilariopsis longissima",-6.34805,49.95764,"GB",1291527370
"Gracilariopsis longissima",-6.31321,49.91125,"GB",1291527466
"Gracilariopsis longissima",-6.31073,49.93024,"GB",1291527432
"Gracilariopsis longissima",0.22159,50.95236,"GB",1265658788
"Gracilariopsis longissima",1.16133,51.37145,"GB",1056220005
"Gracilariopsis longissima",1.29088,51.93759,"GB",1055977105
"Gracilariopsis longissima",-4.41516,52.86732,"GB",806681218
"Gracilariopsis longissima",-8.68,40.63,"PT",1001543451
"Gracilariopsis longissima",0.48487,51.61096,"GB",1056717205
"Gracilariopsis longissima",-2.75834,54.39329,"GB",1055320987
"Gracilariopsis longissima",-5.81,43.63,"ES",211616803
"Gracilariopsis longissima",1.24799,51.10168,"GB",1055566507
"Gracilariopsis longissima",-4.44303,52.83437,"GB",806683270
"Gracilariopsis longissima",-4.46789,52.82756,"GB",806683342
"Gracilariopsis longissima",-4.42691,52.8383,"GB",806682281
"Gracilariopsis longissima",-4.46891,52.81945,"GB",806683408
"Gracilariopsis longissima",-4.37939,52.86534,"GB",806682695
"Gracilariopsis longissima",-4.43013,52.84273,"GB",806682252
"Gracilariopsis longissima",-4.47735,52.83726,"GB",806683302
"Gracilariopsis longissima",-4.47704,52.83187,"GB",806683319
"Gracilariopsis longissima",-4.45419,52.82155,"GB",806683371
"Gracilariopsis longissima",-4.44911,52.83695,"GB",806683251
"Gracilariopsis longissima",0.58025,51.88476,"GB",1057368693
"Gracilariopsis longissima",7.88528,54.1825,"DE",63862664
"Gracilariopsis longissima",4.87,61.6,"NO",354513625
"Gracilariopsis longissima",-5.11155,51.68719,"GB",790665277
"Gracilariopsis longissima",1.29967,52.65855,"GB",1055553978
"Gracilariopsis longissima",-5.79,43.61,"ES",211616902
"Gracilariopsis longissima",-5.61,35.98,"ES",178308340
"Gracilariopsis longissima",-13.6167,29.0333,"ES",37006885
"Gracilariopsis longissima",-15.81667,11.33333,"GW",1140555622
"Gracilariopsis longissima",-2.12,49.2,"JE",354513622
"Gracilariopsis longissima",-2.25,49.18,"JE",354513621
"Gracilariopsis longissima",-3.2,50.7,"GB",354513624
"Gracilariopsis longissima",-4.47,55.37,"GB",354513623
"Gracilariopsis longissima",-2.02362,49.21176,"JE",1265656445
"Gracilariopsis longissima",-0.32,39.35,"ES",214664517
"Gracilariopsis longissima",-4.53791,54.22762,"IM",1055365623
"Gracilariopsis longissima",0.18,38.77,"ES",178308344
"Gracilariopsis longissima",-6.24336,49.95824,"GB",1057269066
"Gracilariopsis longissima",3.03,43.03,"FR",214664523
"Gracilariopsis longissima",-16.36667,33.03333,"PT",1140793334
"Gracilariopsis longissima",9,57,"DK",354513668
"Gracilariopsis longissima",-16.33333,33.03333,"PT",1141413404
"Gracilariopsis longissima",-1.07192,50.68778,"GB",1265657068
"Gracilariopsis longissima",-1.09793,50.68957,"GB",1265656876
"Gracilariopsis longissima",-1.32153,50.76168,"GB",1265657206
"Gracilariopsis longissima",-0.92365,50.79613,"GB",1265657184
"Gracilariopsis longissima",4.06667,51.4875,"NL",1141293766
"Gracilariopsis longissima",4.0667,51.4875,"NL",888294443
"Gracilariopsis longissima",-1.21222,50.73907,"GB",1265657294
"Gracilariopsis longissima",-1.26017,49.5859,"FR",1265656630
"Gracilariopsis longissima",-2.15036,55.91535,"GB",1265656819
"Gracilariopsis longissima",-2.66154,56.06385,"GB",1265656380
"Gracilariopsis longissima",9.97,57.6,"DK",354513633
"Gracilariopsis longissima",-0.7509,50.75934,"GB",1265657273
"Gracilariopsis longissima",-1.28502,50.78388,"GB",1265656490
"Gracilariopsis longissima",-4.08071,50.3153,"GB",1265657591
"Gracilariopsis longissima",-0.67579,50.78031,"GB",1265656551
"Gracilariopsis longissima",-4.45136,50.34975,"GB",1265656515
"Gracilariopsis longissima",-1.09485,50.78103,"GB",1265656691
"Gracilariopsis longissima",-1.08747,50.77773,"GB",1265656711
"Gracilariopsis longissima",-4.78111,48.35807,"FR",1265657166
"Gracilariopsis longissima",-1.07182,50.75016,"GB",1265657688
"Gracilariopsis longissima",-1.10468,50.83522,"GB",1265657402
"Gracilariopsis longissima",-4.43333,48.33333,"FR",1265657060
