"species","lon","lat","countryCode","gbifID"
"Halopteris filicina",0.91371,51.20854,"GB",1056791170
"Halopteris filicina",-3.386,36.708,"ES",235570271
"Halopteris filicina",-4.66406,51.1903,"GB",1291325314
"Halopteris filicina",-3.8263,36.7517,"ES",235570290
"Halopteris filicina",-3.72,36.7187,"ES",199517676
"Halopteris filicina",-6.313,36.534,"ES",415609576
"Halopteris filicina",-3.7238,36.7187,"ES",199517686
"Halopteris filicina",-3.7737,36.736,"ES",199517691
"Halopteris filicina",-3.723,36.7182,"ES",199517696
"Halopteris filicina",-3.7227,36.7203,"ES",199517693
"Halopteris filicina",-6.387,36.644,"ES",910445375
"Halopteris filicina",-5.61,35.98,"ES",910445371
"Halopteris filicina",-4.6388,36.5091,"ES",235570361
"Halopteris filicina",-4.7117,36.4756,"ES",235570363
"Halopteris filicina",-7.202,37.209,"ES",235570259
"Halopteris filicina",-5.601,36.004,"ES",415609563
"Halopteris filicina",-5.28043,51.74106,"GB",802386944
"Halopteris filicina",1.39,41.14,"ES",178307284
"Halopteris filicina",-4.56303,53.40737,"GB",806707547
"Halopteris filicina",-5.26282,51.73796,"GB",806708332
"Halopteris filicina",-5.24836,51.73836,"GB",806708944
"Halopteris filicina",-4.4591,52.80347,"GB",806472875
"Halopteris filicina",-5.23377,51.73696,"GB",802389386
"Halopteris filicina",-4.75736,51.64568,"GB",796235734
"Halopteris filicina",-4.23098,52.75312,"GB",806463685
"Halopteris filicina",-4.23713,52.7575,"GB",806463891
"Halopteris filicina",-4.31166,52.70931,"GB",806464212
"Halopteris filicina",-4.23255,52.75489,"GB",806733016
"Halopteris filicina",-4.22636,52.74961,"GB",806463195
"Halopteris filicina",-4.27136,52.73167,"GB",806465075
"Halopteris filicina",-4.22483,52.74874,"GB",806459347
"Halopteris filicina",-4.36432,52.69748,"GB",806457645
"Halopteris filicina",-4.4593,52.80706,"GB",806460361
"Halopteris filicina",3.18,39.98,"ES",178308140
"Halopteris filicina",0.66,39.9,"ES",214664140
"Halopteris filicina",-6.94,43.57,"ES",211616713
"Halopteris filicina",-3.026,35.9235,"ES",199517561
"Halopteris filicina",-3.0225,35.9365,"ES",199517557
"Halopteris filicina",-3.0393,35.938,"ES",199517576
"Halopteris filicina",-5.18735,51.95187,"GB",796119182
"Halopteris filicina",-27.94647,38.4549,"PT",1057147026
"Halopteris filicina",-5.8,43.64,"ES",211616714
"Halopteris filicina",-2.05,36.82,"ES",178307657
"Halopteris filicina",132.256,33.758,"JP",209893804
"Halopteris filicina",-16.098,28.459,"ES",235580103
"Halopteris filicina",4.0344,39.8911,"ES",888383498
"Halopteris filicina",2.9333,41.7,"ES",888383485
"Halopteris filicina",2.9431,39.1114,"ES",888383513
"Halopteris filicina",132.21667,33.78,"JP",617164460
"Halopteris filicina",132.217,33.78,"JP",37063223
"Halopteris filicina",-13.97335,28.9695,"ES",235580192
"Halopteris filicina",-16.034,28.17,"ES",235580120
"Halopteris filicina",138.734,36.482,"JP",1057301599
"Halopteris filicina",2.71,39.52,"ES",178307650
"Halopteris filicina",-2.2,43.31,"ES",178308243
"Halopteris filicina",-2.41,43.32,"ES",178308244
"Halopteris filicina",0.23,38.75,"ES",214664545
"Halopteris filicina",-4.17575,52.77483,"GB",252059039
"Halopteris filicina",-4.88827,51.85323,"GB",1056628723
"Halopteris filicina",-6.40443,49.87422,"GB",1057529222
"Halopteris filicina",-6.32778,49.92161,"GB",1057553431
"Halopteris filicina",0.2,38.76,"ES",214664544
"Halopteris filicina",-5.26992,51.73596,"GB",790698296
"Halopteris filicina",-31.15,39.43333,"PT",1141579077
"Halopteris filicina",3.88,39.97,"ES",178307656
"Halopteris filicina",-5.26161,51.70111,"GB",790628407
"Halopteris filicina",-5.26852,51.69642,"GB",790629192
"Halopteris filicina",-5.27265,51.6936,"GB",790629625
"Halopteris filicina",-5.18725,51.75532,"GB",790637989
"Halopteris filicina",-2.32,43.31,"ES",178308245
"Halopteris filicina",-5.27143,51.73682,"GB",790631826
"Halopteris filicina",-4.12815,50.33579,"GB",1265655786
"Halopteris filicina",-1.15587,50.7819,"GB",1265655517
"Halopteris filicina",-3.56691,50.34023,"GB",1265655455
"Halopteris filicina",-3.72718,50.22592,"GB",1265655421
"Halopteris filicina",-2.13446,50.61074,"GB",1265656110
"Halopteris filicina",-5.20888,51.93734,"GB",790634175
"Halopteris filicina",-5.20743,51.93738,"GB",790634609
"Halopteris filicina",-5.20749,51.93828,"GB",790634860
"Halopteris filicina",-2.90522,50.73303,"GB",1265655620
"Halopteris filicina",-0.67579,50.78031,"GB",1265656116
"Halopteris filicina",-4.65776,51.16366,"GB",1265656072
"Halopteris filicina",-4.50886,48.63223,"FR",1265655799
"Halopteris filicina",-4.6615,51.18543,"GB",1265655768
"Halopteris filicina",-4.6679,51.19739,"GB",1265656139
"Halopteris filicina",-6.92056,52.12139,"IE",1265656167
"Halopteris filicina",-5.15645,51.70848,"GB",790589336
"Halopteris filicina",-5.15821,51.69224,"GB",790588733
"Halopteris filicina",-5.15588,51.7004,"GB",790588948
"Halopteris filicina",-5.18574,51.75447,"GB",790588204
"Halopteris filicina",-5.16795,51.68658,"GB",790588592
"Halopteris filicina",-5.27127,51.69454,"GB",790590019
"Halopteris filicina",-5.15683,51.69318,"GB",790647977
"Halopteris filicina",-5.16091,51.71016,"GB",790576239
"Halopteris filicina",-0.13806,50.81897,"GB",1057195459
