"species","lon","lat","countryCode","gbifID"
"Halurus equisetifolius",-9.7702,53.29388,"IE",368080209
"Halurus equisetifolius",-9.87682,53.61727,"IE",368079679
"Halurus equisetifolius",-9.62803,53.24583,"IE",368080308
"Halurus equisetifolius",-8.72005,54.26485,"IE",368079963
"Halurus equisetifolius",-9.84455,54.30133,"IE",368080114
"Halurus equisetifolius",-8.66263,54.27254,"IE",368079918
"Halurus equisetifolius",-5.10998,51.68543,"GB",806681433
"Halurus equisetifolius",-4.41516,52.86732,"GB",806681014
"Halurus equisetifolius",-5.0404,51.61889,"GB",806526555
"Halurus equisetifolius",-7.61591,55.26452,"IE",368079631
"Halurus equisetifolius",-5.29556,51.72985,"GB",802387615
"Halurus equisetifolius",-4.93796,51.59902,"GB",310814766
"Halurus equisetifolius",-1.42491,55.03704,"GB",310815249
"Halurus equisetifolius",-9.7708,53.29388,"IE",368078276
"Halurus equisetifolius",-4.54348,52.13618,"GB",806476858
"Halurus equisetifolius",-4.26402,52.2453,"GB",806473798
"Halurus equisetifolius",-8.17849,51.79283,"IE",368077724
"Halurus equisetifolius",-8.72071,54.26509,"IE",368078539
"Halurus equisetifolius",-8.663,54.27244,"IE",368078497
"Halurus equisetifolius",-4.62355,54.06965,"IM",310811187
"Halurus equisetifolius",-1.42964,50.7297,"GB",310811006
"Halurus equisetifolius",-1.25487,50.75929,"GB",310810887
"Halurus equisetifolius",-1.54336,50.69333,"GB",310810835
"Halurus equisetifolius",-1.07186,50.69232,"GB",310811080
"Halurus equisetifolius",-5.3087,51.73127,"GB",802386234
"Halurus equisetifolius",0.91371,51.20854,"GB",1056131548
"Halurus equisetifolius",-3.42253,51.37492,"GB",796282993
"Halurus equisetifolius",-4.36225,52.2191,"GB",806628588
"Halurus equisetifolius",-4.91147,52.01883,"GB",796196471
"Halurus equisetifolius",-4.62289,53.24285,"GB",796204183
"Halurus equisetifolius",-5.13676,52.06117,"GB",796184240
"Halurus equisetifolius",-5.13048,51.97139,"GB",796184382
"Halurus equisetifolius",-4.6284,53.33266,"GB",796241397
"Halurus equisetifolius",-4.47581,53.42135,"GB",796182169
"Halurus equisetifolius",-3.75066,51.50088,"GB",796230095
"Halurus equisetifolius",-4.30584,53.13117,"GB",806700821
"Halurus equisetifolius",-4.06076,53.28942,"GB",806700632
"Halurus equisetifolius",-4.17282,53.22089,"GB",806701258
"Halurus equisetifolius",-4.89682,51.62208,"GB",796233280
"Halurus equisetifolius",-4.97932,51.9978,"GB",796181066
"Halurus equisetifolius",-4.96145,51.61597,"GB",796150171
"Halurus equisetifolius",-4.94079,51.59805,"GB",796150742
"Halurus equisetifolius",-3.96313,51.59959,"GB",796084941
"Halurus equisetifolius",-3.95102,51.63712,"GB",796280173
"Halurus equisetifolius",-4.03411,53.3128,"GB",796165065
"Halurus equisetifolius",-4.01911,53.31306,"GB",796164685
"Halurus equisetifolius",-4.09131,51.54476,"GB",796168533
"Halurus equisetifolius",-4.23542,51.5421,"GB",796226451
"Halurus equisetifolius",-4.32279,51.55839,"GB",796211733
"Halurus equisetifolius",-4.37951,51.53927,"GB",796212313
"Halurus equisetifolius",-4.24197,51.54333,"GB",796226964
"Halurus equisetifolius",-4.8183,51.63748,"GB",796105288
"Halurus equisetifolius",-5.05793,51.65397,"GB",796157390
"Halurus equisetifolius",-4.24541,53.17638,"GB",796113612
"Halurus equisetifolius",-4.1496,53.22086,"GB",796147306
"Halurus equisetifolius",-5.11184,51.70203,"GB",796232427
"Halurus equisetifolius",-4.468,53.15624,"GB",796243886
"Halurus equisetifolius",-4.23098,52.75312,"GB",806463687
