"species","lon","lat","countryCode","gbifID"
"Halymenia floresii",-38.91278,-13.67667,"BR",1094904701
"Halymenia floresii",-82.5045,27.058,"US",911787821
"Halymenia floresii",-38.68333,-19.03333,"BR",1209538113
"Halymenia floresii",-34.89917,-8.28222,"BR",1095827748
"Halymenia floresii",-35.29861,-5.42722,"BR",1087406647
"Halymenia floresii",-38.70722,-13.05806,"BR",1094865580
"Halymenia floresii",-38.3,-17.9,"BR",1209538121
"Halymenia floresii",-40.56208,-21.09722,"BR",1095827986
"Halymenia floresii",-40.57878,-21.07544,"BR",1095827984
"Halymenia floresii",-40.50147,-21.09614,"BR",1095827981
"Halymenia floresii",-40.75,-20.91667,"BR",1209350905
"Halymenia floresii",-90.042,21.167,"MX",370520300
"Halymenia floresii",-88.964,21.383,"MX",370520367
"Halymenia floresii",-89.244,21.344,"MX",370520398
"Halymenia floresii",-40.6456,-20.8058,"BR",1087397721
"Halymenia floresii",-35.262,-5.516,"BR",1087397819
"Halymenia floresii",-60.90417,14.445,"MQ",888241500
"Halymenia floresii",-40.8339,-21.0111,"BR",1087397690
"Halymenia floresii",-40.7219,-20.8378,"BR",1087397036
"Halymenia floresii",-82.6994,24.6028,"US",888241584
"Halymenia floresii",-82.6392,26.2803,"US",888241579
"Halymenia floresii",-81.6633,25.2967,"US",888241582
"Halymenia floresii",-81.8,25.2944,"US",888241613
"Halymenia floresii",-34.78333,-7.11667,"BR",1089153618
"Halymenia floresii",-34.7,-7.16667,"BR",1089153602
"Halymenia floresii",-82.5833,15.2167,"HN",888241487
"Halymenia floresii",-34.85,-6.61667,"BR",1089152371
"Halymenia floresii",-77.42,33.51333,"US",888241596
"Halymenia floresii",-77.40667,33.53333,"US",888241585
"Halymenia floresii",-77.40333,33.52,"US",888241559
"Halymenia floresii",-77.395,33.51167,"US",888241561
"Halymenia floresii",-77.41167,33.52333,"US",888241608
"Halymenia floresii",-77.41667,33.53833,"US",888241565
"Halymenia floresii",-77.41333,33.56667,"US",888241562
"Halymenia floresii",-77.41833,33.53667,"US",888241599
"Halymenia floresii",-77.41667,33.52833,"US",888241550
"Halymenia floresii",-77.40833,33.53333,"US",888241598
"Halymenia floresii",-82.1558,25.7656,"US",888241604
"Halymenia floresii",-79.86347,9.405,"PA",888241424
"Halymenia floresii",-97.792,22.271,"MX",235906441
"Halymenia floresii",-84.5,29.6167,"US",888241534
"Halymenia floresii",-67.05,17.9333,"PR",888241564
"Halymenia floresii",-67.05,17.93333,"PR",1141755681
"Halymenia floresii",-67.04167,17.93333,"PR",1141634153
"Halymenia floresii",-67.0417,17.9333,"PR",888241477
"Halymenia floresii",-81.58,24.78,"US",888241580
"Halymenia floresii",-66.46234,18.22133,"PR",1057266818
"Halymenia floresii",-61.55207,16.26148,"GP",1055529017
