"species","lon","lat","countryCode","gbifID"
"Halymenia latifolia",0.68,39.9,"ES",214664935
"Halymenia latifolia",0.66,39.82,"ES",214665152
"Halymenia latifolia",-8.87,40.17,"PT",354515386
"Halymenia latifolia",-5.06662,50.15288,"GB",1055555642
"Halymenia latifolia",-22.78333,15.96667,"CV",1141309307
"Halymenia latifolia",-22.76667,15.98333,"CV",1141209628
"Halymenia latifolia",-23,15.91667,"CV",1141751884
"Halymenia latifolia",3.12,42.45,"FR",214665215
"Halymenia latifolia",-14.01778,28.16722,"ES",1141742736
"Halymenia latifolia",-6.31785,31.88362,"MA",1057083331
"Halymenia latifolia",5.28166,43.37008,"FR",812122002
"Halymenia latifolia",0.72035,39.86197,"ES",188078433
"Halymenia latifolia",5.15502,43.28268,"FR",812118160
