"species","lon","lat","countryCode","gbifID"
"Hypoglossum hypoglossoides",12.9073,56.6275,"SE",1213022550
"Hypoglossum hypoglossoides",12.7268,56.6431,"SE",1212445035
"Hypoglossum hypoglossoides",12.6225,56.4263,"SE",1212967364
"Hypoglossum hypoglossoides",1.4047,51.18076,"GB",1265658808
"Hypoglossum hypoglossoides",-6.31073,49.93024,"GB",1291527440
"Hypoglossum hypoglossoides",1.14274,51.07228,"GB",1265658760
"Hypoglossum hypoglossoides",-6.915,57.839,"GB",1265663021
"Hypoglossum hypoglossoides",0.91371,51.20854,"GB",1265658726
"Hypoglossum hypoglossoides",-4.56077,52.9425,"GB",806696401
"Hypoglossum hypoglossoides",1.36209,51.38661,"GB",1055306321
"Hypoglossum hypoglossoides",1.08447,51.3701,"GB",1056663779
"Hypoglossum hypoglossoides",-8.97397,53.24504,"IE",368080409
"Hypoglossum hypoglossoides",-8.97128,53.25613,"IE",368080442
"Hypoglossum hypoglossoides",-9.12936,53.24958,"IE",368080365
"Hypoglossum hypoglossoides",-4.24685,53.17545,"GB",806532748
"Hypoglossum hypoglossoides",1.36233,51.13566,"GB",1056287995
"Hypoglossum hypoglossoides",-5.10998,51.68543,"GB",806681395
"Hypoglossum hypoglossoides",-3.64106,51.22417,"GB",1056456240
"Hypoglossum hypoglossoides",-9.74079,51.46056,"IE",368079389
"Hypoglossum hypoglossoides",-5.0404,51.61889,"GB",806526451
"Hypoglossum hypoglossoides",-7.50115,55.16667,"IE",368079552
"Hypoglossum hypoglossoides",-2.13193,55.89205,"GB",310812099
"Hypoglossum hypoglossoides",-5.64433,57.34176,"GB",1056705134
"Hypoglossum hypoglossoides",2.55196,46.5645,"FR",1057342929
"Hypoglossum hypoglossoides",-9.96811,51.69395,"IE",368078775
"Hypoglossum hypoglossoides",-9.6762,51.86184,"IE",368078749
"Hypoglossum hypoglossoides",-3.5842,51.2339,"GB",1055434538
"Hypoglossum hypoglossoides",-4.69458,51.68401,"GB",806507481
"Hypoglossum hypoglossoides",-4.67653,51.69702,"GB",806508795
"Hypoglossum hypoglossoides",-4.69725,51.68035,"GB",806507668
"Hypoglossum hypoglossoides",-4.67648,51.69612,"GB",806509119
"Hypoglossum hypoglossoides",-4.69089,51.6706,"GB",806508069
"Hypoglossum hypoglossoides",-4.69591,51.68218,"GB",806507610
"Hypoglossum hypoglossoides",-4.69597,51.68308,"GB",806507304
"Hypoglossum hypoglossoides",-9.59405,53.33722,"IE",368078348
"Hypoglossum hypoglossoides",-9.55718,53.33811,"IE",368078387
"Hypoglossum hypoglossoides",-9.12935,53.24959,"IE",368078033
"Hypoglossum hypoglossoides",0.22159,50.95236,"GB",1057602776
"Hypoglossum hypoglossoides",-8.29295,51.81191,"IE",368077879
"Hypoglossum hypoglossoides",-8.25187,51.79516,"IE",368077759
"Hypoglossum hypoglossoides",-3.778,36.742,"ES",235570296
"Hypoglossum hypoglossoides",-4.62355,54.06965,"IM",310811190
"Hypoglossum hypoglossoides",-1.25487,50.75929,"GB",310810892
"Hypoglossum hypoglossoides",-1.42964,50.7297,"GB",310811008
"Hypoglossum hypoglossoides",-5.27584,51.96743,"GB",796292578
"Hypoglossum hypoglossoides",-3.83003,53.33274,"GB",806659262
"Hypoglossum hypoglossoides",-4.30435,53.13119,"GB",806659098
"Hypoglossum hypoglossoides",-4.12354,52.73801,"GB",806629093
"Hypoglossum hypoglossoides",-4.12955,52.7397,"GB",806629206
"Hypoglossum hypoglossoides",-5.28951,51.72642,"GB",802387236
"Hypoglossum hypoglossoides",-5.29556,51.72985,"GB",802387730
"Hypoglossum hypoglossoides",-5.3087,51.73127,"GB",802386572
"Hypoglossum hypoglossoides",-5.28043,51.74106,"GB",802387052
"Hypoglossum hypoglossoides",-5.07207,51.70262,"GB",806535790
"Hypoglossum hypoglossoides",-5.07767,51.69978,"GB",806533637
"Hypoglossum hypoglossoides",-5.08803,51.7031,"GB",806533846
"Hypoglossum hypoglossoides",-5.07936,51.70333,"GB",806535203
"Hypoglossum hypoglossoides",-5.09092,51.70303,"GB",806534572
"Hypoglossum hypoglossoides",-2.37405,50.63426,"GB",310811312
"Hypoglossum hypoglossoides",-3.94717,51.54724,"GB",796210645
"Hypoglossum hypoglossoides",-4.03961,51.56591,"GB",796211307
"Hypoglossum hypoglossoides",-4.09131,51.54476,"GB",796209573
"Hypoglossum hypoglossoides",-4.53539,52.94125,"GB",796208359
"Hypoglossum hypoglossoides",-4.48453,52.96301,"GB",796218980
"Hypoglossum hypoglossoides",-3.48057,51.39218,"GB",796219517
"Hypoglossum hypoglossoides",-3.66261,51.45719,"GB",796214159
"Hypoglossum hypoglossoides",-3.50871,51.37384,"GB",796220526
"Hypoglossum hypoglossoides",-3.677,51.45699,"GB",796214713
"Hypoglossum hypoglossoides",-3.42253,51.37492,"GB",796283000
"Hypoglossum hypoglossoides",-4.46507,52.17202,"GB",806628529
"Hypoglossum hypoglossoides",-4.53901,52.26309,"GB",806628032
"Hypoglossum hypoglossoides",-4.27879,52.24772,"GB",806628332
"Hypoglossum hypoglossoides",-4.33328,52.22507,"GB",806627674
"Hypoglossum hypoglossoides",-4.83968,51.97876,"GB",796291115
"Hypoglossum hypoglossoides",-5.13649,51.96358,"GB",796221824
"Hypoglossum hypoglossoides",-4.54365,53.43566,"GB",806706807
"Hypoglossum hypoglossoides",-4.60594,53.41992,"GB",806706059
"Hypoglossum hypoglossoides",-4.56303,53.40737,"GB",806707556
"Hypoglossum hypoglossoides",-4.60399,53.30172,"GB",796177990
"Hypoglossum hypoglossoides",-4.59514,53.41566,"GB",806705778
"Hypoglossum hypoglossoides",0.58025,51.88476,"GB",1055936179
"Hypoglossum hypoglossoides",-4.60599,53.42082,"GB",806706253
"Hypoglossum hypoglossoides",-4.57904,53.27393,"GB",806707752
"Hypoglossum hypoglossoides",-5.15583,51.67881,"GB",806710994
"Hypoglossum hypoglossoides",-5.18446,51.67444,"GB",806710387
"Hypoglossum hypoglossoides",-5.12519,51.67514,"GB",806713123
"Hypoglossum hypoglossoides",-4.45248,53.40834,"GB",796194938
"Hypoglossum hypoglossoides",-5.15074,51.68884,"GB",806711544
"Hypoglossum hypoglossoides",-5.23663,51.71619,"GB",806709868
"Hypoglossum hypoglossoides",-5.26427,51.73792,"GB",806707881
"Hypoglossum hypoglossoides",-3.81112,51.57191,"GB",796205936
"Hypoglossum hypoglossoides",-4.72489,52.11504,"GB",806561951
"Hypoglossum hypoglossoides",-4.18607,53.21615,"GB",806697685
"Hypoglossum hypoglossoides",-4.17273,53.21909,"GB",806697988
"Hypoglossum hypoglossoides",-4.89619,51.73678,"GB",806703160
"Hypoglossum hypoglossoides",-4.12159,53.24519,"GB",806698156
"Hypoglossum hypoglossoides",-4.18158,53.21623,"GB",806700015
"Hypoglossum hypoglossoides",-4.88289,51.73261,"GB",806703297
"Hypoglossum hypoglossoides",-4.89161,51.75578,"GB",806703046
"Hypoglossum hypoglossoides",-4.30584,53.13117,"GB",806700830
"Hypoglossum hypoglossoides",-5.33208,51.85205,"GB",806471714
"Hypoglossum hypoglossoides",-4.9851,51.97516,"GB",796192015
"Hypoglossum hypoglossoides",-4.90375,51.61741,"GB",796269080
"Hypoglossum hypoglossoides",-4.96145,51.61597,"GB",796147561
"Hypoglossum hypoglossoides",-5.33698,51.8789,"GB",806472281
"Hypoglossum hypoglossoides",-4.73377,52.78216,"GB",806472611
"Hypoglossum hypoglossoides",-3.7278,53.3491,"GB",796163879
"Hypoglossum hypoglossoides",-4.94211,51.59621,"GB",806471481
"Hypoglossum hypoglossoides",-3.97479,51.56882,"GB",796206405
"Hypoglossum hypoglossoides",-4.4591,52.80347,"GB",806472848
"Hypoglossum hypoglossoides",-4.23542,51.5421,"GB",796226392
"Hypoglossum hypoglossoides",-4.24197,51.54333,"GB",796226953
"Hypoglossum hypoglossoides",-4.85137,51.64613,"GB",796092651
"Hypoglossum hypoglossoides",-3.82699,53.33189,"GB",796106402
"Hypoglossum hypoglossoides",-4.8691,51.64075,"GB",796092110
"Hypoglossum hypoglossoides",-4.75416,51.6525,"GB",796235547
