"species","lon","lat","countryCode","gbifID"
"Kallymenia reniformis",3.94389,48.705,"FR",1019529722
"Kallymenia reniformis",-4.71667,48.59222,"FR",1019529836
"Kallymenia reniformis",-5.04306,48.47278,"FR",1019529850
"Kallymenia reniformis",-4.86,48.37639,"FR",1019529797
"Kallymenia reniformis",-1.86472,49.56083,"FR",1019529702
"Kallymenia reniformis",-2.01806,48.60472,"FR",1019529710
"Kallymenia reniformis",-2.04861,48.68833,"FR",1019529709
"Kallymenia reniformis",-2.11806,48.66722,"FR",1019529697
"Kallymenia reniformis",-2.11806,48.70056,"FR",1019529715
"Kallymenia reniformis",-2.04972,48.68778,"FR",1019529694
"Kallymenia reniformis",-2.24667,48.70806,"FR",1019529714
"Kallymenia reniformis",-1.81917,49.09333,"FR",1019529730
"Kallymenia reniformis",-4.66406,51.1903,"GB",1291325343
"Kallymenia reniformis",-5.974,36.176,"ES",910445400
"Kallymenia reniformis",-6.3248,36.5053,"ES",910445401
"Kallymenia reniformis",-5.29556,51.72985,"GB",802387491
"Kallymenia reniformis",-5.28043,51.74106,"GB",802386751
"Kallymenia reniformis",-5.28951,51.72642,"GB",802387239
"Kallymenia reniformis",-5.3087,51.73127,"GB",802386423
"Kallymenia reniformis",-1.94833,49.70194,"FR",1019529717
"Kallymenia reniformis",-5.23663,51.71619,"GB",806709872
"Kallymenia reniformis",-5.55,54.38,"GB",1008395574
"Kallymenia reniformis",-5.14942,51.69068,"GB",806711767
"Kallymenia reniformis",-5.13171,51.68576,"GB",806712213
"Kallymenia reniformis",-5.23946,51.71521,"GB",806709657
"Kallymenia reniformis",-5.12519,51.67514,"GB",806713126
"Kallymenia reniformis",-5.24836,51.73836,"GB",806709508
"Kallymenia reniformis",-5.18446,51.67444,"GB",806710390
"Kallymenia reniformis",-5.26282,51.73796,"GB",806708719
"Kallymenia reniformis",-5.26427,51.73792,"GB",806707884
"Kallymenia reniformis",-5.15074,51.68884,"GB",806711551
"Kallymenia reniformis",-6.15,43.56,"ES",211616707
"Kallymenia reniformis",-5.13898,51.70715,"GB",806705407
"Kallymenia reniformis",-5.33208,51.85205,"GB",806471716
"Kallymenia reniformis",-5.33698,51.8789,"GB",806472283
"Kallymenia reniformis",-4.64497,52.90738,"GB",806690954
"Kallymenia reniformis",-4.69033,52.87129,"GB",806690700
"Kallymenia reniformis",-4.6045,52.92716,"GB",806691465
"Kallymenia reniformis",-4.68769,52.87675,"GB",806452852
"Kallymenia reniformis",-5.09375,51.70205,"GB",790649746
"Kallymenia reniformis",-4.69176,52.87036,"GB",806454210
"Kallymenia reniformis",-4.69324,52.87033,"GB",806454312
"Kallymenia reniformis",-4.69181,52.87126,"GB",806454915
"Kallymenia reniformis",-4.69307,52.86763,"GB",806454637
"Kallymenia reniformis",-4.69044,52.87309,"GB",806454807
"Kallymenia reniformis",-4.6917,52.86946,"GB",806455007
"Kallymenia reniformis",-4.69302,52.86673,"GB",806453939
"Kallymenia reniformis",-4.60632,50.50383,"GB",1055396474
"Kallymenia reniformis",-6.24,43.59,"ES",211616773
"Kallymenia reniformis",-5.11155,51.68719,"GB",790665244
"Kallymenia reniformis",-5.24389,51.73668,"GB",790665172
"Kallymenia reniformis",-4.97026,51.69535,"GB",790611168
"Kallymenia reniformis",-6.55,43.54,"ES",211617072
"Kallymenia reniformis",-6.659,52.079,"IE",24189043
"Kallymenia reniformis",-6.2,43.57,"ES",211617068
"Kallymenia reniformis",-2.25,49.18,"JE",354517237
"Kallymenia reniformis",-3.64852,50.60359,"GB",1057613949
"Kallymenia reniformis",-4.88827,51.85323,"GB",1056916152
"Kallymenia reniformis",-6.40443,49.87422,"GB",1055764982
"Kallymenia reniformis",-6.32778,49.92161,"GB",1056835937
"Kallymenia reniformis",-6.32873,49.91337,"GB",1055637051
"Kallymenia reniformis",-5.30532,51.74307,"GB",1055506374
"Kallymenia reniformis",-24.36667,16.56667,"CV",1139612519
"Kallymenia reniformis",-5.28682,51.72919,"GB",790698564
"Kallymenia reniformis",-5.26992,51.73596,"GB",790698320
"Kallymenia reniformis",-24.76667,16.73333,"CV",1138441223
"Kallymenia reniformis",-13.55,28.91667,"ES",1138773692
"Kallymenia reniformis",-13.41667,29.13333,"ES",1138441211
"Kallymenia reniformis",-5.47672,51.73092,"GB",790633303
"Kallymenia reniformis",-5.47831,51.73267,"GB",790632413
"Kallymenia reniformis",-5.2454,51.73754,"GB",790633683
"Kallymenia reniformis",-5.26161,51.70111,"GB",790628412
"Kallymenia reniformis",-5.26839,51.69462,"GB",790629389
"Kallymenia reniformis",-5.27265,51.6936,"GB",790629642
"Kallymenia reniformis",-5.28309,51.69781,"GB",790628110
"Kallymenia reniformis",-5.26438,51.69923,"GB",790628634
"Kallymenia reniformis",-5.26852,51.69642,"GB",790629203
"Kallymenia reniformis",-5.18725,51.75532,"GB",790638016
"Kallymenia reniformis",-5.29417,51.73078,"GB",790632697
"Kallymenia reniformis",-5.27143,51.73682,"GB",790631833
"Kallymenia reniformis",-5.28701,51.73188,"GB",790632076
"Kallymenia reniformis",-5.29838,51.72887,"GB",790632268
"Kallymenia reniformis",-5.29562,51.73074,"GB",790632551
"Kallymenia reniformis",-5.29962,51.74592,"GB",790631406
"Kallymenia reniformis",-5.30239,51.74405,"GB",790631163
"Kallymenia reniformis",-5.30107,51.74588,"GB",790631291
"Kallymenia reniformis",-6.31391,49.9128,"GB",1055684017
"Kallymenia reniformis",-4.1471,50.34977,"GB",1265656941
"Kallymenia reniformis",-4.12815,50.33579,"GB",1265656748
"Kallymenia reniformis",-2.24623,50.62153,"GB",1265656722
"Kallymenia reniformis",-1.15587,50.7819,"GB",1265656557
"Kallymenia reniformis",-4.12277,50.34949,"GB",1265656497
"Kallymenia reniformis",-3.56691,50.34023,"GB",1265657576
"Kallymenia reniformis",-3.72718,50.22592,"GB",1265657337
"Kallymenia reniformis",-4.14966,50.33326,"GB",1265656714
"Kallymenia reniformis",-1.239,60.287,"GB",1055869143
"Kallymenia reniformis",-3.9859,48.72678,"FR",1265657112
"Kallymenia reniformis",-6.915,57.839,"GB",1057065598
"Kallymenia reniformis",-4.6739,51.16127,"GB",1265656579
"Kallymenia reniformis",-4.6662,51.16046,"GB",1265657283
"Kallymenia reniformis",-4.66219,51.17645,"GB",1265656250
"Kallymenia reniformis",-4.65067,51.16328,"GB",1265657202
"Kallymenia reniformis",-6.12,56.495,"GB",1056324509
"Kallymenia reniformis",-5.08775,48.45843,"FR",1265657775
"Kallymenia reniformis",-4.50886,48.63223,"FR",1265656682
"Kallymenia reniformis",-6.30112,49.91076,"GB",1057322979
"Kallymenia reniformis",-3.78064,50.21534,"GB",1265657313
"Kallymenia reniformis",-8.56635,57.81081,"GB",1265656977
"Kallymenia reniformis",-4.65034,51.16255,"GB",1265656670
"Kallymenia reniformis",-4.67463,51.16279,"GB",1265656687
"Kallymenia reniformis",-4.669,51.178,"GB",1057377322
"Kallymenia reniformis",-3.50109,50.38569,"GB",1265656283
"Kallymenia reniformis",-4.2026,56.4907,"GB",1055361432
"Kallymenia reniformis",-5.66002,57.54605,"GB",1265657287
"Kallymenia reniformis",-5.39142,57.62481,"GB",1056787596
"Kallymenia reniformis",-5.15645,51.70848,"GB",790589338
